obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	ecmwf_dates	ecmwf_ws_table_h	ecmwf_ws_table	ecmwf_station_names
606	2025-09-01	9	4.6	SERRAI	2025-09-01	9	2.68926	SERRAI
606	2025-09-02	9	1	SERRAI	2025-09-02	9	1.4096	SERRAI
606	2025-09-03	9	1	SERRAI	2025-09-03	9	0.69197	SERRAI
606	2025-09-04	9	1.5	SERRAI	2025-09-04	9	2.20274	SERRAI
606	2025-09-05	9	1.5	SERRAI	2025-09-05	9	1.89244	SERRAI
606	2025-09-06	9	2.1	SERRAI	2025-09-06	9	1.61698	SERRAI
606	2025-09-07	9	1	SERRAI	2025-09-07	9	1.91039	SERRAI
606	2025-09-08	9	1	SERRAI	2025-09-08	9	1.21364	SERRAI
606	2025-09-09	9	1	SERRAI	2025-09-09	9	0.995745	SERRAI
606	2025-09-10	9	1	SERRAI	2025-09-10	9	0.491372	SERRAI
606	2025-09-11	9	1	SERRAI	2025-09-11	9	0.670059	SERRAI
606	2025-09-12	9	0.5	SERRAI	2025-09-12	9	1.13579	SERRAI
606	2025-09-13	9	1.5	SERRAI	2025-09-13	9	1.47269	SERRAI
606	2025-09-14	9	1	SERRAI	2025-09-14	9	2.17046	SERRAI
606	2025-09-15	9	1.5	SERRAI	2025-09-15	9	0.858574	SERRAI
606	2025-09-16	9	1	SERRAI	2025-09-16	9	0.619069	SERRAI
606	2025-09-17	9	1	SERRAI	2025-09-17	9	2.36147	SERRAI
606	2025-09-18	9	1.5	SERRAI	2025-09-18	9	3.50309	SERRAI
606	2025-09-19	9	1	SERRAI	2025-09-19	9	1.45209	SERRAI
606	2025-09-20	9	1	SERRAI	2025-09-20	9	2.37834	SERRAI
606	2025-09-21	9	1.5	SERRAI	2025-09-21	9	1.68675	SERRAI
606	2025-09-22	9	1	SERRAI	2025-09-22	9	0.954246	SERRAI
606	2025-09-23	9	1	SERRAI	2025-09-23	9	0.872677	SERRAI
606	2025-09-24	9	1	SERRAI	2025-09-24	9	0.763702	SERRAI
606	2025-09-25	9	2.6	SERRAI	2025-09-25	9	2.37236	SERRAI
606	2025-09-26	9	1.5	SERRAI	2025-09-26	9	2.52852	SERRAI
606	2025-09-27	9	2.1	SERRAI	2025-09-27	9	1.59159	SERRAI
606	2025-09-28	9	0.5	SERRAI	2025-09-28	9	1.50498	SERRAI
606	2025-09-29	9	1	SERRAI	2025-09-29	9	1.27938	SERRAI
606	2025-09-30	9	1.5	SERRAI	2025-09-30	9	1.32612	SERRAI
613	2025-09-01	9	2.1	FLORINA	2025-09-01	9	2.5372	FLORINA
613	2025-09-02	9	2.1	FLORINA	2025-09-02	9	1.71534	FLORINA
613	2025-09-03	9	1.5	FLORINA	2025-09-03	9	1.22766	FLORINA
613	2025-09-04	9	1	FLORINA	2025-09-04	9	3.09523	FLORINA
613	2025-09-05	9	2.6	FLORINA	2025-09-05	9	2.94235	FLORINA
613	2025-09-06	9	2.1	FLORINA	2025-09-06	9	2.5561	FLORINA
613	2025-09-07	9	2.6	FLORINA	2025-09-07	9	3.46077	FLORINA
613	2025-09-08	9	1.5	FLORINA	2025-09-08	9	1.11842	FLORINA
613	2025-09-09	9	1.5	FLORINA	2025-09-09	9	2.9012	FLORINA
613	2025-09-10	9	1.5	FLORINA	2025-09-10	9	2.05281	FLORINA
613	2025-09-11	9	1	FLORINA	2025-09-11	9	1.21751	FLORINA
613	2025-09-12	9	3.1	FLORINA	2025-09-12	9	2.68976	FLORINA
613	2025-09-13	9	2.1	FLORINA	2025-09-13	9	0.420456	FLORINA
613	2025-09-14	9	1.5	FLORINA	2025-09-14	9	2.86791	FLORINA
613	2025-09-15	9	3.6	FLORINA	2025-09-15	9	4.32402	FLORINA
613	2025-09-16	9	1.5	FLORINA	2025-09-16	9	1.85466	FLORINA
613	2025-09-17	9	3.1	FLORINA	2025-09-17	9	5.41686	FLORINA
613	2025-09-18	9	6.7	FLORINA	2025-09-18	9	5.47467	FLORINA
613	2025-09-19	9	3.6	FLORINA	2025-09-19	9	4.57036	FLORINA
613	2025-09-20	9	1.5	FLORINA	2025-09-20	9	2.15246	FLORINA
613	2025-09-21	9	3.1	FLORINA	2025-09-21	9	1.51166	FLORINA
613	2025-09-22	9	1.5	FLORINA	2025-09-22	9	1.32272	FLORINA
613	2025-09-23	9	1.5	FLORINA	2025-09-23	9	1.24407	FLORINA
613	2025-09-24	9	1	FLORINA	2025-09-24	9	1.87839	FLORINA
613	2025-09-25	9	3.1	FLORINA	2025-09-25	9	1.71538	FLORINA
613	2025-09-27	9	4.6	FLORINA	2025-09-27	9	3.39014	FLORINA
613	2025-09-28	9	3.6	FLORINA	2025-09-28	9	3.39487	FLORINA
613	2025-09-29	9	1.5	FLORINA	2025-09-29	9	1.265	FLORINA
613	2025-09-30	9	1.5	FLORINA	2025-09-30	9	2.00973	FLORINA
622	2025-09-01	9	6.2	THESSALONIKI (AIRPORT)	2025-09-01	9	4.66487	THESSALONIKI (AIRPORT)
622	2025-09-02	9	3.6	THESSALONIKI (AIRPORT)	2025-09-02	9	1.51789	THESSALONIKI (AIRPORT)
622	2025-09-03	9	4.1	THESSALONIKI (AIRPORT)	2025-09-03	9	1.86804	THESSALONIKI (AIRPORT)
622	2025-09-04	9	3.6	THESSALONIKI (AIRPORT)	2025-09-04	9	2.5702	THESSALONIKI (AIRPORT)
622	2025-09-05	9	3.6	THESSALONIKI (AIRPORT)	2025-09-05	9	2.60737	THESSALONIKI (AIRPORT)
622	2025-09-06	9	3.6	THESSALONIKI (AIRPORT)	2025-09-06	9	1.68405	THESSALONIKI (AIRPORT)
622	2025-09-07	9	4.6	THESSALONIKI (AIRPORT)	2025-09-07	9	3.30121	THESSALONIKI (AIRPORT)
622	2025-09-08	9	3.1	THESSALONIKI (AIRPORT)	2025-09-08	9	2.30291	THESSALONIKI (AIRPORT)
622	2025-09-09	9	3.6	THESSALONIKI (AIRPORT)	2025-09-09	9	3.88842	THESSALONIKI (AIRPORT)
622	2025-09-10	9	4.1	THESSALONIKI (AIRPORT)	2025-09-10	9	2.17826	THESSALONIKI (AIRPORT)
622	2025-09-11	9	4.1	THESSALONIKI (AIRPORT)	2025-09-11	9	1.73542	THESSALONIKI (AIRPORT)
622	2025-09-12	9	6.7	THESSALONIKI (AIRPORT)	2025-09-12	9	4.38733	THESSALONIKI (AIRPORT)
622	2025-09-13	9	3.1	THESSALONIKI (AIRPORT)	2025-09-13	9	2.17801	THESSALONIKI (AIRPORT)
622	2025-09-14	9	3.6	THESSALONIKI (AIRPORT)	2025-09-14	9	2.44905	THESSALONIKI (AIRPORT)
622	2025-09-15	9	2.1	THESSALONIKI (AIRPORT)	2025-09-15	9	2.93418	THESSALONIKI (AIRPORT)
