obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	ecmwf_dates	ecmwf_ws_table_h	ecmwf_ws_table	ecmwf_station_names
622	2025-11-12	9	6.2	THESSALONIKI (AIRPORT)	2025-11-11	33	4.02303	THESSALONIKI (AIRPORT)
622	2025-11-13	9	2.6	THESSALONIKI (AIRPORT)	2025-11-12	33	1.8972	THESSALONIKI (AIRPORT)
622	2025-11-14	9	1.5	THESSALONIKI (AIRPORT)	2025-11-13	33	1.73793	THESSALONIKI (AIRPORT)
622	2025-11-15	9	1	THESSALONIKI (AIRPORT)	2025-11-14	33	1.08143	THESSALONIKI (AIRPORT)
622	2025-11-16	9	2.1	THESSALONIKI (AIRPORT)	2025-11-15	33	1.36782	THESSALONIKI (AIRPORT)
622	2025-11-17	9	1.5	THESSALONIKI (AIRPORT)	2025-11-16	33	2.4454	THESSALONIKI (AIRPORT)
622	2025-11-18	9	5.1	THESSALONIKI (AIRPORT)	2025-11-17	33	4.05373	THESSALONIKI (AIRPORT)
622	2025-11-19	9	3.1	THESSALONIKI (AIRPORT)	2025-11-18	33	1.25399	THESSALONIKI (AIRPORT)
622	2025-11-20	9	1	THESSALONIKI (AIRPORT)	2025-11-19	33	5.68208	THESSALONIKI (AIRPORT)
622	2025-11-21	9	4.6	THESSALONIKI (AIRPORT)	2025-11-20	33	5.70888	THESSALONIKI (AIRPORT)
622	2025-11-22	9	2.1	THESSALONIKI (AIRPORT)	2025-11-21	33	2.74611	THESSALONIKI (AIRPORT)
622	2025-11-23	9	2.6	THESSALONIKI (AIRPORT)	2025-11-22	33	1.74245	THESSALONIKI (AIRPORT)
622	2025-11-24	9	1.5	THESSALONIKI (AIRPORT)	2025-11-23	33	2.79129	THESSALONIKI (AIRPORT)
622	2025-11-25	9	1.5	THESSALONIKI (AIRPORT)	2025-11-24	33	1.67275	THESSALONIKI (AIRPORT)
622	2025-11-26	9	2.6	THESSALONIKI (AIRPORT)	2025-11-25	33	2.91838	THESSALONIKI (AIRPORT)
622	2025-11-27	9	1	THESSALONIKI (AIRPORT)	2025-11-26	33	0.214497	THESSALONIKI (AIRPORT)
622	2025-11-28	9	2.1	THESSALONIKI (AIRPORT)	2025-11-27	33	2.43372	THESSALONIKI (AIRPORT)
622	2025-11-29	9	3.6	THESSALONIKI (AIRPORT)	2025-11-28	33	4.67238	THESSALONIKI (AIRPORT)
622	2025-11-30	9	6.2	THESSALONIKI (AIRPORT)	2025-11-29	33	4.91661	THESSALONIKI (AIRPORT)
624	2025-11-02	9	2.6	CHRYSOPOULI (AIRPORT)	2025-11-01	33	1.33192	CHRYSOPOULI (AIRPORT)
624	2025-11-03	9	0	CHRYSOPOULI (AIRPORT)	2025-11-02	33	0.236275	CHRYSOPOULI (AIRPORT)
624	2025-11-04	9	3.6	CHRYSOPOULI (AIRPORT)	2025-11-03	33	1.49947	CHRYSOPOULI (AIRPORT)
624	2025-11-05	9	0	CHRYSOPOULI (AIRPORT)	2025-11-04	33	4.21432	CHRYSOPOULI (AIRPORT)
624	2025-11-06	9	2.6	CHRYSOPOULI (AIRPORT)	2025-11-05	33	2.73403	CHRYSOPOULI (AIRPORT)
624	2025-11-07	9	0	CHRYSOPOULI (AIRPORT)	2025-11-06	33	2.12406	CHRYSOPOULI (AIRPORT)
624	2025-11-08	9	5.1	CHRYSOPOULI (AIRPORT)	2025-11-07	33	3.32439	CHRYSOPOULI (AIRPORT)
624	2025-11-09	9	0	CHRYSOPOULI (AIRPORT)	2025-11-08	33	2.60957	CHRYSOPOULI (AIRPORT)
624	2025-11-10	9	3.1	CHRYSOPOULI (AIRPORT)	2025-11-09	33	1.87218	CHRYSOPOULI (AIRPORT)
624	2025-11-11	9	4.1	CHRYSOPOULI (AIRPORT)	2025-11-10	33	3.05607	CHRYSOPOULI (AIRPORT)
624	2025-11-12	9	1.5	CHRYSOPOULI (AIRPORT)	2025-11-11	33	1.09876	CHRYSOPOULI (AIRPORT)
624	2025-11-13	9	0	CHRYSOPOULI (AIRPORT)	2025-11-12	33	0.799446	CHRYSOPOULI (AIRPORT)
624	2025-11-14	9	0	CHRYSOPOULI (AIRPORT)	2025-11-13	33	0.386998	CHRYSOPOULI (AIRPORT)
624	2025-11-15	9	1	CHRYSOPOULI (AIRPORT)	2025-11-14	33	0.259858	CHRYSOPOULI (AIRPORT)
624	2025-11-16	9	1.5	CHRYSOPOULI (AIRPORT)	2025-11-15	33	0.593603	CHRYSOPOULI (AIRPORT)
624	2025-11-17	9	1	CHRYSOPOULI (AIRPORT)	2025-11-16	33	1.42268	CHRYSOPOULI (AIRPORT)
624	2025-11-18	9	0	CHRYSOPOULI (AIRPORT)	2025-11-17	33	1.07157	CHRYSOPOULI (AIRPORT)
624	2025-11-19	9	1.5	CHRYSOPOULI (AIRPORT)	2025-11-18	33	0.974872	CHRYSOPOULI (AIRPORT)
624	2025-11-20	9	0	CHRYSOPOULI (AIRPORT)	2025-11-19	33	1.36581	CHRYSOPOULI (AIRPORT)
624	2025-11-21	9	6	CHRYSOPOULI (AIRPORT)	2025-11-20	33	3.65386	CHRYSOPOULI (AIRPORT)
624	2025-11-22	9	3	CHRYSOPOULI (AIRPORT)	2025-11-21	33	1.75795	CHRYSOPOULI (AIRPORT)
624	2025-11-23	9	11	CHRYSOPOULI (AIRPORT)	2025-11-22	33	5.95121	CHRYSOPOULI (AIRPORT)
624	2025-11-24	9	1	CHRYSOPOULI (AIRPORT)	2025-11-23	33	0.126752	CHRYSOPOULI (AIRPORT)
624	2025-11-25	9	0	CHRYSOPOULI (AIRPORT)	2025-11-24	33	1.4508	CHRYSOPOULI (AIRPORT)
624	2025-11-26	9	1.5	CHRYSOPOULI (AIRPORT)	2025-11-25	33	3.5249	CHRYSOPOULI (AIRPORT)
624	2025-11-27	9	5.1	CHRYSOPOULI (AIRPORT)	2025-11-26	33	1.54168	CHRYSOPOULI (AIRPORT)
624	2025-11-28	9	3.6	CHRYSOPOULI (AIRPORT)	2025-11-27	33	5.54667	CHRYSOPOULI (AIRPORT)
624	2025-11-29	9	9	CHRYSOPOULI (AIRPORT)	2025-11-28	33	3.73273	CHRYSOPOULI (AIRPORT)
624	2025-11-30	9	5	CHRYSOPOULI (AIRPORT)	2025-11-29	33	0.703735	CHRYSOPOULI (AIRPORT)
627	2025-11-02	9	6.2	ALEXANDROUPOLI (AIRPORT)	2025-11-01	33	5.05364	ALEXANDROUPOLI (AIRPORT)
627	2025-11-03	9	2.6	ALEXANDROUPOLI (AIRPORT)	2025-11-02	33	0.723086	ALEXANDROUPOLI (AIRPORT)
627	2025-11-04	9	11	ALEXANDROUPOLI (AIRPORT)	2025-11-03	33	4.53571	ALEXANDROUPOLI (AIRPORT)
627	2025-11-05	9	8.2	ALEXANDROUPOLI (AIRPORT)	2025-11-04	33	7.02079	ALEXANDROUPOLI (AIRPORT)
627	2025-11-06	9	4.1	ALEXANDROUPOLI (AIRPORT)	2025-11-05	33	6.31839	ALEXANDROUPOLI (AIRPORT)
627	2025-11-07	9	4.1	ALEXANDROUPOLI (AIRPORT)	2025-11-06	33	5.52044	ALEXANDROUPOLI (AIRPORT)
627	2025-11-08	9	7	ALEXANDROUPOLI (AIRPORT)	2025-11-07	33	3.60021	ALEXANDROUPOLI (AIRPORT)
627	2025-11-09	9	4.1	ALEXANDROUPOLI (AIRPORT)	2025-11-08	33	6.1295	ALEXANDROUPOLI (AIRPORT)
627	2025-11-10	9	4.1	ALEXANDROUPOLI (AIRPORT)	2025-11-09	33	4.89901	ALEXANDROUPOLI (AIRPORT)
627	2025-11-11	9	2.1	ALEXANDROUPOLI (AIRPORT)	2025-11-10	33	3.965	ALEXANDROUPOLI (AIRPORT)
627	2025-11-12	9	5.1	ALEXANDROUPOLI (AIRPORT)	2025-11-11	33	3.88267	ALEXANDROUPOLI (AIRPORT)
627	2025-11-13	9	2.1	ALEXANDROUPOLI (AIRPORT)	2025-11-12	33	2.77438	ALEXANDROUPOLI (AIRPORT)
627	2025-11-14	9	2.6	ALEXANDROUPOLI (AIRPORT)	2025-11-13	33	1.21606	ALEXANDROUPOLI (AIRPORT)
627	2025-11-15	9	4	ALEXANDROUPOLI (AIRPORT)	2025-11-14	33	0.98056	ALEXANDROUPOLI (AIRPORT)
627	2025-11-16	9	0	ALEXANDROUPOLI (AIRPORT)	2025-11-15	33	0.550037	ALEXANDROUPOLI (AIRPORT)
627	2025-11-17	9	6.7	ALEXANDROUPOLI (AIRPORT)	2025-11-16	33	7.42579	ALEXANDROUPOLI (AIRPORT)
627	2025-11-18	9	9.3	ALEXANDROUPOLI (AIRPORT)	2025-11-17	33	10.3432	ALEXANDROUPOLI (AIRPORT)
627	2025-11-19	9	7.7	ALEXANDROUPOLI (AIRPORT)	2025-11-18	33	10.3556	ALEXANDROUPOLI (AIRPORT)
627	2025-11-20	9	6.2	ALEXANDROUPOLI (AIRPORT)	2025-11-19	33	8.20479	ALEXANDROUPOLI (AIRPORT)
627	2025-11-21	9	10.3	ALEXANDROUPOLI (AIRPORT)	2025-11-20	33	8.09393	ALEXANDROUPOLI (AIRPORT)
627	2025-11-22	9	6.2	ALEXANDROUPOLI (AIRPORT)	2025-11-21	33	9.13267	ALEXANDROUPOLI (AIRPORT)
627	2025-11-23	9	3.1	ALEXANDROUPOLI (AIRPORT)	2025-11-22	33	4.37585	ALEXANDROUPOLI (AIRPORT)
627	2025-11-24	9	5.1	ALEXANDROUPOLI (AIRPORT)	2025-11-23	33	4.31332	ALEXANDROUPOLI (AIRPORT)
627	2025-11-25	9	2.6	ALEXANDROUPOLI (AIRPORT)	2025-11-24	33	6.01429	ALEXANDROUPOLI (AIRPORT)
627	2025-11-26	9	7.7	ALEXANDROUPOLI (AIRPORT)	2025-11-25	33	8.82615	ALEXANDROUPOLI (AIRPORT)
627	2025-11-27	9	7.7	ALEXANDROUPOLI (AIRPORT)	2025-11-26	33	8.47001	ALEXANDROUPOLI (AIRPORT)
627	2025-11-28	9	3.1	ALEXANDROUPOLI (AIRPORT)	2025-11-27	33	3.6004	ALEXANDROUPOLI (AIRPORT)
627	2025-11-29	9	5.1	ALEXANDROUPOLI (AIRPORT)	2025-11-28	33	3.4334	ALEXANDROUPOLI (AIRPORT)
627	2025-11-30	9	4.1	ALEXANDROUPOLI (AIRPORT)	2025-11-29	33	3.06217	ALEXANDROUPOLI (AIRPORT)
632	2025-11-02	9	0	KOZANI (AIRPORT)	2025-11-01	33	0.587987	KOZANI (AIRPORT)
632	2025-11-03	9	1.5	KOZANI (AIRPORT)	2025-11-02	33	0.723521	KOZANI (AIRPORT)
632	2025-11-04	9	6.2	KOZANI (AIRPORT)	2025-11-03	33	2.45415	KOZANI (AIRPORT)
632	2025-11-05	9	7.2	KOZANI (AIRPORT)	2025-11-04	33	2.58625	KOZANI (AIRPORT)
632	2025-11-06	9	1.5	KOZANI (AIRPORT)	2025-11-05	33	0.788022	KOZANI (AIRPORT)
632	2025-11-07	9	2.1	KOZANI (AIRPORT)	2025-11-06	33	1.90392	KOZANI (AIRPORT)
632	2025-11-08	9	2.1	KOZANI (AIRPORT)	2025-11-07	33	1.47027	KOZANI (AIRPORT)
632	2025-11-09	9	0	KOZANI (AIRPORT)	2025-11-08	33	1.04054	KOZANI (AIRPORT)
632	2025-11-10	9	2.1	KOZANI (AIRPORT)	2025-11-09	33	1.38815	KOZANI (AIRPORT)
632	2025-11-11	9	0	KOZANI (AIRPORT)	2025-11-10	33	0.688542	KOZANI (AIRPORT)
632	2025-11-12	9	4.1	KOZANI (AIRPORT)	2025-11-11	33	0.928673	KOZANI (AIRPORT)
632	2025-11-13	9	0	KOZANI (AIRPORT)	2025-11-12	33	1.04685	KOZANI (AIRPORT)
