obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	icon_dates	icon_ws_table_h	icon_ws_table	icon_station_names
622	2025-10-05	12	2.1	THESSALONIKI (AIRPORT)	2025-10-05	12	1.36609	THESSALONIKI (AIRPORT)
622	2025-10-06	12	1.5	THESSALONIKI (AIRPORT)	2025-10-06	12	3.4665	THESSALONIKI (AIRPORT)
622	2025-10-07	12	10.3	THESSALONIKI (AIRPORT)	2025-10-07	12	6.7673	THESSALONIKI (AIRPORT)
622	2025-10-08	12	10.3	THESSALONIKI (AIRPORT)	2025-10-08	12	6.87729	THESSALONIKI (AIRPORT)
622	2025-10-09	12	7.7	THESSALONIKI (AIRPORT)	2025-10-09	12	7.38122	THESSALONIKI (AIRPORT)
622	2025-10-10	12	2.1	THESSALONIKI (AIRPORT)	2025-10-10	12	3.40091	THESSALONIKI (AIRPORT)
622	2025-10-11	12	9.3	THESSALONIKI (AIRPORT)	2025-10-11	12	10.0438	THESSALONIKI (AIRPORT)
622	2025-10-12	12	2.1	THESSALONIKI (AIRPORT)	2025-10-12	12	3.49104	THESSALONIKI (AIRPORT)
622	2025-10-13	12	4.6	THESSALONIKI (AIRPORT)	2025-10-13	12	4.58406	THESSALONIKI (AIRPORT)
622	2025-10-14	12	4.1	THESSALONIKI (AIRPORT)	2025-10-14	12	3.9706	THESSALONIKI (AIRPORT)
622	2025-10-15	12	3.6	THESSALONIKI (AIRPORT)	2025-10-15	12	2.39925	THESSALONIKI (AIRPORT)
622	2025-10-16	12	3.1	THESSALONIKI (AIRPORT)	2025-10-16	12	1.73952	THESSALONIKI (AIRPORT)
622	2025-10-17	12	3.1	THESSALONIKI (AIRPORT)	2025-10-17	12	1.70918	THESSALONIKI (AIRPORT)
622	2025-10-18	12	2.6	THESSALONIKI (AIRPORT)	2025-10-18	12	2.08285	THESSALONIKI (AIRPORT)
622	2025-10-19	12	5.7	THESSALONIKI (AIRPORT)	2025-10-19	12	3.83094	THESSALONIKI (AIRPORT)
622	2025-10-20	12	1.5	THESSALONIKI (AIRPORT)	2025-10-20	12	0.776446	THESSALONIKI (AIRPORT)
622	2025-10-21	12	5.1	THESSALONIKI (AIRPORT)	2025-10-21	12	0.973739	THESSALONIKI (AIRPORT)
622	2025-10-22	12	3.1	THESSALONIKI (AIRPORT)	2025-10-22	12	1.26647	THESSALONIKI (AIRPORT)
622	2025-10-23	12	2.6	THESSALONIKI (AIRPORT)	2025-10-23	12	2.30873	THESSALONIKI (AIRPORT)
622	2025-10-24	12	2.1	THESSALONIKI (AIRPORT)	2025-10-24	12	1.69498	THESSALONIKI (AIRPORT)
622	2025-10-25	12	2.1	THESSALONIKI (AIRPORT)	2025-10-25	12	2.40514	THESSALONIKI (AIRPORT)
622	2025-10-26	12	5.1	THESSALONIKI (AIRPORT)	2025-10-26	12	4.09979	THESSALONIKI (AIRPORT)
622	2025-10-27	12	5.1	THESSALONIKI (AIRPORT)	2025-10-27	12	0.629685	THESSALONIKI (AIRPORT)
