obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	icon_dates	icon_ws_table_h	icon_ws_table	icon_station_names
606	2025-11-01	9	0.5	SERRAI	2025-11-01	9	1.31181	SERRAI
606	2025-11-02	9	0.5	SERRAI	2025-11-02	9	0.459266	SERRAI
606	2025-11-03	9	1	SERRAI	2025-11-03	9	0.437831	SERRAI
606	2025-11-04	9	0	SERRAI	2025-11-04	9	0.671263	SERRAI
606	2025-11-05	9	1	SERRAI	2025-11-05	9	1.0339	SERRAI
606	2025-11-06	9	0.5	SERRAI	2025-11-06	9	0.490418	SERRAI
606	2025-11-07	9	0	SERRAI	2025-11-07	9	0.70478	SERRAI
606	2025-11-08	9	1	SERRAI	2025-11-08	9	1.85855	SERRAI
606	2025-11-09	9	0.5	SERRAI	2025-11-09	9	0.450787	SERRAI
606	2025-11-10	9	0	SERRAI	2025-11-10	9	0.523281	SERRAI
606	2025-11-11	9	3.1	SERRAI	2025-11-11	9	3.79099	SERRAI
606	2025-11-12	9	0.5	SERRAI	2025-11-12	9	0.34659	SERRAI
606	2025-11-13	9	0.5	SERRAI	2025-11-13	9	0.726464	SERRAI
606	2025-11-14	9	0.5	SERRAI	2025-11-14	9	0.4534	SERRAI
606	2025-11-15	9	0.5	SERRAI	2025-11-15	9	0.404366	SERRAI
606	2025-11-16	9	1	SERRAI	2025-11-16	9	0.290146	SERRAI
606	2025-11-17	9	1	SERRAI	2025-11-17	9	1.63681	SERRAI
606	2025-11-18	9	0.5	SERRAI	2025-11-18	9	0.876173	SERRAI
606	2025-11-19	9	0.5	SERRAI	2025-11-19	9	0.807161	SERRAI
606	2025-11-20	9	0.5	SERRAI	2025-11-20	9	0.487434	SERRAI
606	2025-11-24	9	0.5	SERRAI	2025-11-24	9	0.460578	SERRAI
606	2025-11-25	9	1	SERRAI	2025-11-25	9	0.389811	SERRAI
606	2025-11-26	9	0.5	SERRAI	2025-11-26	9	0.768033	SERRAI
613	2025-11-01	9	1	FLORINA	2025-11-01	9	1.12641	FLORINA
613	2025-11-02	9	1	FLORINA	2025-11-02	9	1.07949	FLORINA
613	2025-11-03	9	0.5	FLORINA	2025-11-03	9	1.24162	FLORINA
613	2025-11-04	9	3.6	FLORINA	2025-11-04	9	3.77369	FLORINA
613	2025-11-05	9	0.5	FLORINA	2025-11-05	9	0.456678	FLORINA
613	2025-11-06	9	0.5	FLORINA	2025-11-06	9	1.3241	FLORINA
613	2025-11-07	9	4.6	FLORINA	2025-11-07	9	3.55811	FLORINA
613	2025-11-08	9	1.5	FLORINA	2025-11-08	9	3.31061	FLORINA
613	2025-11-09	9	0	FLORINA	2025-11-09	9	0.697188	FLORINA
613	2025-11-10	9	1.5	FLORINA	2025-11-10	9	2.07414	FLORINA
613	2025-11-11	9	2.1	FLORINA	2025-11-11	9	1.10194	FLORINA
613	2025-11-12	9	1.5	FLORINA	2025-11-12	9	1.04065	FLORINA
613	2025-11-13	9	0.5	FLORINA	2025-11-13	9	0.9428	FLORINA
613	2025-11-14	9	0.5	FLORINA	2025-11-14	9	0.720739	FLORINA
613	2025-11-15	9	0.5	FLORINA	2025-11-15	9	0.792183	FLORINA
613	2025-11-16	9	0	FLORINA	2025-11-16	9	0.491513	FLORINA
613	2025-11-17	9	3.1	FLORINA	2025-11-17	9	2.05681	FLORINA
613	2025-11-18	9	4.1	FLORINA	2025-11-18	9	4.12801	FLORINA
613	2025-11-19	9	0	FLORINA	2025-11-19	9	2.86431	FLORINA
613	2025-11-20	9	4.1	FLORINA	2025-11-20	9	3.9031	FLORINA
613	2025-11-21	9	2	FLORINA	2025-11-21	9	3.16686	FLORINA
613	2025-11-22	9	8	FLORINA	2025-11-22	9	3.33228	FLORINA
613	2025-11-23	9	6	FLORINA	2025-11-23	9	2.95225	FLORINA
613	2025-11-24	9	2.1	FLORINA	2025-11-24	9	1.33406	FLORINA
613	2025-11-25	9	3.1	FLORINA	2025-11-25	9	4.06337	FLORINA
613	2025-11-26	9	5.1	FLORINA	2025-11-26	9	3.9534	FLORINA
613	2025-11-27	9	1.5	FLORINA	2025-11-27	9	0.427117	FLORINA
613	2025-11-28	9	2.6	FLORINA	2025-11-28	9	1.56655	FLORINA
613	2025-11-29	9	5	FLORINA	2025-11-29	9	1.67467	FLORINA
613	2025-11-30	9	2	FLORINA	2025-11-30	9	0.569795	FLORINA
622	2025-11-01	9	2.1	THESSALONIKI (AIRPORT)	2025-11-01	9	1.52007	THESSALONIKI (AIRPORT)
622	2025-11-02	9	0.5	THESSALONIKI (AIRPORT)	2025-11-02	9	1.42482	THESSALONIKI (AIRPORT)
622	2025-11-03	9	2.1	THESSALONIKI (AIRPORT)	2025-11-03	9	0.77753	THESSALONIKI (AIRPORT)
622	2025-11-04	9	6.2	THESSALONIKI (AIRPORT)	2025-11-04	9	6.08841	THESSALONIKI (AIRPORT)
622	2025-11-05	9	6.2	THESSALONIKI (AIRPORT)	2025-11-05	9	3.07415	THESSALONIKI (AIRPORT)
622	2025-11-06	9	1	THESSALONIKI (AIRPORT)	2025-11-06	9	0.597529	THESSALONIKI (AIRPORT)
622	2025-11-07	9	1	THESSALONIKI (AIRPORT)	2025-11-07	9	1.24778	THESSALONIKI (AIRPORT)
622	2025-11-08	9	7.2	THESSALONIKI (AIRPORT)	2025-11-08	9	5.86162	THESSALONIKI (AIRPORT)
622	2025-11-09	9	2.6	THESSALONIKI (AIRPORT)	2025-11-09	9	1.4833	THESSALONIKI (AIRPORT)
622	2025-11-10	9	3.1	THESSALONIKI (AIRPORT)	2025-11-10	9	0.326245	THESSALONIKI (AIRPORT)
622	2025-11-11	9	3.6	THESSALONIKI (AIRPORT)	2025-11-11	9	6.28733	THESSALONIKI (AIRPORT)
622	2025-11-12	9	6.2	THESSALONIKI (AIRPORT)	2025-11-12	9	3.32111	THESSALONIKI (AIRPORT)
622	2025-11-13	9	2.6	THESSALONIKI (AIRPORT)	2025-11-13	9	0.89559	THESSALONIKI (AIRPORT)
622	2025-11-14	9	1.5	THESSALONIKI (AIRPORT)	2025-11-14	9	0.618075	THESSALONIKI (AIRPORT)
622	2025-11-15	9	1	THESSALONIKI (AIRPORT)	2025-11-15	9	0.232489	THESSALONIKI (AIRPORT)
622	2025-11-16	9	2.1	THESSALONIKI (AIRPORT)	2025-11-16	9	0.428941	THESSALONIKI (AIRPORT)
622	2025-11-17	9	1.5	THESSALONIKI (AIRPORT)	2025-11-17	9	1.46678	THESSALONIKI (AIRPORT)
622	2025-11-18	9	5.1	THESSALONIKI (AIRPORT)	2025-11-18	9	3.17939	THESSALONIKI (AIRPORT)
622	2025-11-19	9	3.1	THESSALONIKI (AIRPORT)	2025-11-19	9	0.724142	THESSALONIKI (AIRPORT)
