obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	ecmwf_dates	ecmwf_ws_table_h	ecmwf_ws_table	ecmwf_station_names
606	2025-09-02	21	0	SERRAI	2025-09-01	45	0.920635	SERRAI
606	2025-09-03	21	0.5	SERRAI	2025-09-02	45	0.271889	SERRAI
606	2025-09-04	21	0.5	SERRAI	2025-09-03	45	0.54232	SERRAI
606	2025-09-05	21	0.5	SERRAI	2025-09-04	45	0.855094	SERRAI
606	2025-09-06	21	0.5	SERRAI	2025-09-05	45	0.836274	SERRAI
606	2025-09-07	21	0	SERRAI	2025-09-06	45	0.495747	SERRAI
606	2025-09-08	21	0	SERRAI	2025-09-07	45	1.06416	SERRAI
606	2025-09-09	21	1	SERRAI	2025-09-08	45	0.488262	SERRAI
606	2025-09-10	21	0.5	SERRAI	2025-09-09	45	1.109	SERRAI
606	2025-09-11	21	1	SERRAI	2025-09-10	45	0.563946	SERRAI
606	2025-09-12	21	1	SERRAI	2025-09-11	45	0.825235	SERRAI
606	2025-09-13	21	0	SERRAI	2025-09-12	45	0.637686	SERRAI
606	2025-09-14	21	0.5	SERRAI	2025-09-13	45	0.884835	SERRAI
606	2025-09-15	21	0.5	SERRAI	2025-09-14	45	0.223963	SERRAI
606	2025-09-16	21	0	SERRAI	2025-09-15	45	0.841112	SERRAI
606	2025-09-17	21	2.1	SERRAI	2025-09-16	45	0.801505	SERRAI
606	2025-09-18	21	0	SERRAI	2025-09-17	45	0.626912	SERRAI
606	2025-09-19	21	0.5	SERRAI	2025-09-18	45	0.658347	SERRAI
606	2025-09-20	21	0	SERRAI	2025-09-19	45	0.477101	SERRAI
606	2025-09-21	21	0	SERRAI	2025-09-20	45	0.285762	SERRAI
606	2025-09-22	21	0.5	SERRAI	2025-09-21	45	0.0308122	SERRAI
606	2025-09-23	21	0	SERRAI	2025-09-22	45	0.327263	SERRAI
606	2025-09-24	21	0.5	SERRAI	2025-09-23	45	0.908315	SERRAI
606	2025-09-25	21	0	SERRAI	2025-09-24	45	0.582956	SERRAI
606	2025-09-26	21	0	SERRAI	2025-09-25	45	1.08585	SERRAI
606	2025-09-27	21	0.5	SERRAI	2025-09-26	45	0.470548	SERRAI
606	2025-09-28	21	0.5	SERRAI	2025-09-27	45	0.354835	SERRAI
606	2025-09-29	21	0	SERRAI	2025-09-28	45	1.07665	SERRAI
606	2025-09-30	21	0	SERRAI	2025-09-29	45	1.49282	SERRAI
613	2025-09-02	21	1.5	FLORINA	2025-09-01	45	1.00807	FLORINA
613	2025-09-03	21	1.5	FLORINA	2025-09-02	45	1.09614	FLORINA
613	2025-09-04	21	0	FLORINA	2025-09-03	45	1.45327	FLORINA
613	2025-09-05	21	0.5	FLORINA	2025-09-04	45	0.620833	FLORINA
613	2025-09-06	21	0	FLORINA	2025-09-05	45	1.47206	FLORINA
613	2025-09-07	21	1	FLORINA	2025-09-06	45	0.596365	FLORINA
613	2025-09-08	21	0.5	FLORINA	2025-09-07	45	1.23789	FLORINA
613	2025-09-09	21	1	FLORINA	2025-09-08	45	1.01694	FLORINA
613	2025-09-10	21	3.1	FLORINA	2025-09-09	45	1.61143	FLORINA
613	2025-09-11	21	1.5	FLORINA	2025-09-10	45	0.47438	FLORINA
613	2025-09-12	21	0.5	FLORINA	2025-09-11	45	1.28891	FLORINA
613	2025-09-13	21	3.1	FLORINA	2025-09-12	45	1.96163	FLORINA
613	2025-09-14	21	0.5	FLORINA	2025-09-13	45	1.18784	FLORINA
613	2025-09-15	21	0	FLORINA	2025-09-14	45	1.29408	FLORINA
613	2025-09-16	21	1	FLORINA	2025-09-15	45	1.51609	FLORINA
613	2025-09-17	21	4.1	FLORINA	2025-09-16	45	4.13195	FLORINA
613	2025-09-18	21	1	FLORINA	2025-09-17	45	2.5516	FLORINA
613	2025-09-19	21	0	FLORINA	2025-09-18	45	1.81583	FLORINA
613	2025-09-20	21	0.5	FLORINA	2025-09-19	45	0.551665	FLORINA
613	2025-09-21	21	1.5	FLORINA	2025-09-20	45	1.54471	FLORINA
613	2025-09-22	21	2.6	FLORINA	2025-09-21	45	2.02636	FLORINA
613	2025-09-23	21	2.6	FLORINA	2025-09-22	45	1.60851	FLORINA
613	2025-09-24	21	1	FLORINA	2025-09-23	45	0.424158	FLORINA
613	2025-09-25	21	2.6	FLORINA	2025-09-24	45	2.36547	FLORINA
613	2025-09-26	21	2.1	FLORINA	2025-09-25	45	1.28296	FLORINA
613	2025-09-27	21	2.6	FLORINA	2025-09-26	45	1.2201	FLORINA
613	2025-09-28	21	2.6	FLORINA	2025-09-27	45	1.7288	FLORINA
613	2025-09-29	21	2.6	FLORINA	2025-09-28	45	0.756988	FLORINA
613	2025-09-30	21	1	FLORINA	2025-09-29	45	0.867609	FLORINA
622	2025-09-02	21	2.6	THESSALONIKI (AIRPORT)	2025-09-01	45	2.37059	THESSALONIKI (AIRPORT)
622	2025-09-03	21	0	THESSALONIKI (AIRPORT)	2025-09-02	45	0.372972	THESSALONIKI (AIRPORT)
622	2025-09-04	21	1.5	THESSALONIKI (AIRPORT)	2025-09-03	45	1.87638	THESSALONIKI (AIRPORT)
622	2025-09-05	21	2.1	THESSALONIKI (AIRPORT)	2025-09-04	45	2.14011	THESSALONIKI (AIRPORT)
622	2025-09-06	21	1.5	THESSALONIKI (AIRPORT)	2025-09-05	45	3.06873	THESSALONIKI (AIRPORT)
622	2025-09-07	21	1.5	THESSALONIKI (AIRPORT)	2025-09-06	45	1.88676	THESSALONIKI (AIRPORT)
622	2025-09-08	21	2.1	THESSALONIKI (AIRPORT)	2025-09-07	45	2.86499	THESSALONIKI (AIRPORT)
