obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	icon_dates	icon_ws_table_h	icon_ws_table	icon_station_names
606	2025-11-02	3	0	SERRAI	2025-11-01	27	0.609519	SERRAI
606	2025-11-03	3	0.5	SERRAI	2025-11-02	27	0.36617	SERRAI
606	2025-11-04	3	0.5	SERRAI	2025-11-03	27	0.596	SERRAI
606	2025-11-05	3	0	SERRAI	2025-11-04	27	1.00312	SERRAI
606	2025-11-06	3	0	SERRAI	2025-11-05	27	0.164911	SERRAI
606	2025-11-07	3	0	SERRAI	2025-11-06	27	0.464532	SERRAI
606	2025-11-08	3	0	SERRAI	2025-11-07	27	0.801495	SERRAI
606	2025-11-09	3	0	SERRAI	2025-11-08	27	0.458639	SERRAI
606	2025-11-10	3	1.5	SERRAI	2025-11-09	27	0.67044	SERRAI
606	2025-11-11	3	0	SERRAI	2025-11-10	27	1.30575	SERRAI
606	2025-11-12	3	0.5	SERRAI	2025-11-11	27	0.413828	SERRAI
606	2025-11-13	3	0	SERRAI	2025-11-12	27	0.626327	SERRAI
606	2025-11-14	3	0	SERRAI	2025-11-13	27	0.62729	SERRAI
606	2025-11-15	3	0	SERRAI	2025-11-14	27	0.459941	SERRAI
606	2025-11-16	3	0.5	SERRAI	2025-11-15	27	0.408527	SERRAI
606	2025-11-17	3	0	SERRAI	2025-11-16	27	0.415957	SERRAI
606	2025-11-18	3	1	SERRAI	2025-11-17	27	0.95466	SERRAI
606	2025-11-19	3	0.5	SERRAI	2025-11-18	27	1.69576	SERRAI
606	2025-11-20	3	0.5	SERRAI	2025-11-19	27	0.535037	SERRAI
606	2025-11-21	3	1	SERRAI	2025-11-20	27	4.10187	SERRAI
613	2025-11-02	3	1	FLORINA	2025-11-01	27	0.622073	FLORINA
613	2025-11-03	3	1.5	FLORINA	2025-11-02	27	0.545979	FLORINA
613	2025-11-04	3	0.5	FLORINA	2025-11-03	27	1.94001	FLORINA
613	2025-11-05	3	1	FLORINA	2025-11-04	27	0.542746	FLORINA
613	2025-11-06	3	0	FLORINA	2025-11-05	27	0.413483	FLORINA
613	2025-11-07	3	1.5	FLORINA	2025-11-06	27	0.752225	FLORINA
613	2025-11-09	3	0.5	FLORINA	2025-11-08	27	0.805444	FLORINA
613	2025-11-10	3	2.1	FLORINA	2025-11-09	27	0.415046	FLORINA
613	2025-11-11	3	1.5	FLORINA	2025-11-10	27	0.795364	FLORINA
613	2025-11-12	3	0.5	FLORINA	2025-11-11	27	1.31808	FLORINA
613	2025-11-13	3	0	FLORINA	2025-11-12	27	0.89112	FLORINA
613	2025-11-14	3	0	FLORINA	2025-11-13	27	0.827415	FLORINA
613	2025-11-15	3	0	FLORINA	2025-11-14	27	1.07353	FLORINA
613	2025-11-16	3	0	FLORINA	2025-11-15	27	0.815219	FLORINA
613	2025-11-17	3	0.5	FLORINA	2025-11-16	27	0.439253	FLORINA
613	2025-11-18	3	4.6	FLORINA	2025-11-17	27	2.89199	FLORINA
613	2025-11-20	3	2.1	FLORINA	2025-11-19	27	1.29684	FLORINA
613	2025-11-21	3	2.1	FLORINA	2025-11-20	27	3.02998	FLORINA
613	2025-11-22	3	7	FLORINA	2025-11-21	27	2.07321	FLORINA
613	2025-11-23	3	5	FLORINA	2025-11-22	27	1.45553	FLORINA
613	2025-11-24	3	4	FLORINA	2025-11-23	27	1.84886	FLORINA
613	2025-11-25	3	7	FLORINA	2025-11-24	27	0.82563	FLORINA
613	2025-11-26	3	4	FLORINA	2025-11-25	27	2.50459	FLORINA
613	2025-11-27	3	2	FLORINA	2025-11-26	27	0.532116	FLORINA
613	2025-11-28	3	5	FLORINA	2025-11-27	27	1.7996	FLORINA
613	2025-11-29	3	2	FLORINA	2025-11-28	27	0.248204	FLORINA
613	2025-11-30	3	3	FLORINA	2025-11-29	27	0.768867	FLORINA
622	2025-11-02	3	3.1	THESSALONIKI (AIRPORT)	2025-11-01	27	1.29983	THESSALONIKI (AIRPORT)
622	2025-11-03	3	1.5	THESSALONIKI (AIRPORT)	2025-11-02	27	1.02422	THESSALONIKI (AIRPORT)
622	2025-11-04	3	1.5	THESSALONIKI (AIRPORT)	2025-11-03	27	1.2088	THESSALONIKI (AIRPORT)
622	2025-11-05	3	6.2	THESSALONIKI (AIRPORT)	2025-11-04	27	5.16792	THESSALONIKI (AIRPORT)
622	2025-11-06	3	1.5	THESSALONIKI (AIRPORT)	2025-11-05	27	1.00432	THESSALONIKI (AIRPORT)
622	2025-11-07	3	2.6	THESSALONIKI (AIRPORT)	2025-11-06	27	0.959067	THESSALONIKI (AIRPORT)
622	2025-11-08	3	3.1	THESSALONIKI (AIRPORT)	2025-11-07	27	1.79276	THESSALONIKI (AIRPORT)
622	2025-11-09	3	1	THESSALONIKI (AIRPORT)	2025-11-08	27	0.787649	THESSALONIKI (AIRPORT)
622	2025-11-10	3	3.1	THESSALONIKI (AIRPORT)	2025-11-09	27	1.77353	THESSALONIKI (AIRPORT)
622	2025-11-11	3	1.5	THESSALONIKI (AIRPORT)	2025-11-10	27	0.970659	THESSALONIKI (AIRPORT)
622	2025-11-12	3	2.1	THESSALONIKI (AIRPORT)	2025-11-11	27	1.67879	THESSALONIKI (AIRPORT)
622	2025-11-13	3	1	THESSALONIKI (AIRPORT)	2025-11-12	27	1.15888	THESSALONIKI (AIRPORT)
622	2025-11-14	3	1.5	THESSALONIKI (AIRPORT)	2025-11-13	27	1.16492	THESSALONIKI (AIRPORT)
622	2025-11-15	3	1.5	THESSALONIKI (AIRPORT)	2025-11-14	27	1.05383	THESSALONIKI (AIRPORT)
622	2025-11-16	3	1.5	THESSALONIKI (AIRPORT)	2025-11-15	27	1.20839	THESSALONIKI (AIRPORT)
622	2025-11-17	3	1	THESSALONIKI (AIRPORT)	2025-11-16	27	1.02192	THESSALONIKI (AIRPORT)
622	2025-11-18	3	3.1	THESSALONIKI (AIRPORT)	2025-11-17	27	2.77195	THESSALONIKI (AIRPORT)
622	2025-11-19	3	2.1	THESSALONIKI (AIRPORT)	2025-11-18	27	3.93276	THESSALONIKI (AIRPORT)
622	2025-11-20	3	2.6	THESSALONIKI (AIRPORT)	2025-11-19	27	3.27891	THESSALONIKI (AIRPORT)
622	2025-11-21	3	2.6	THESSALONIKI (AIRPORT)	2025-11-20	27	3.40548	THESSALONIKI (AIRPORT)
622	2025-11-22	3	2.1	THESSALONIKI (AIRPORT)	2025-11-21	27	2.93283	THESSALONIKI (AIRPORT)
622	2025-11-23	3	2.6	THESSALONIKI (AIRPORT)	2025-11-22	27	1.49606	THESSALONIKI (AIRPORT)
622	2025-11-24	3	1.5	THESSALONIKI (AIRPORT)	2025-11-23	27	1.56671	THESSALONIKI (AIRPORT)
622	2025-11-25	3	1.5	THESSALONIKI (AIRPORT)	2025-11-24	27	0.649979	THESSALONIKI (AIRPORT)
622	2025-11-26	3	1	THESSALONIKI (AIRPORT)	2025-11-25	27	0.761197	THESSALONIKI (AIRPORT)
622	2025-11-27	3	1.5	THESSALONIKI (AIRPORT)	2025-11-26	27	3.54532	THESSALONIKI (AIRPORT)
622	2025-11-28	3	1.5	THESSALONIKI (AIRPORT)	2025-11-27	27	1.55805	THESSALONIKI (AIRPORT)
622	2025-11-29	3	1	THESSALONIKI (AIRPORT)	2025-11-28	27	1.04157	THESSALONIKI (AIRPORT)
622	2025-11-30	3	3.1	THESSALONIKI (AIRPORT)	2025-11-29	27	3.353	THESSALONIKI (AIRPORT)
624	2025-11-27	3	14	CHRYSOPOULI (AIRPORT)	2025-11-26	27	2.71348	CHRYSOPOULI (AIRPORT)
624	2025-11-28	3	7	CHRYSOPOULI (AIRPORT)	2025-11-27	27	3.98227	CHRYSOPOULI (AIRPORT)
624	2025-11-30	3	4	CHRYSOPOULI (AIRPORT)	2025-11-29	27	0.81574	CHRYSOPOULI (AIRPORT)
627	2025-11-02	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-01	27	3.43718	ALEXANDROUPOLI (AIRPORT)
627	2025-11-03	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-02	27	2.34125	ALEXANDROUPOLI (AIRPORT)
627	2025-11-04	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-03	27	1.59724	ALEXANDROUPOLI (AIRPORT)
627	2025-11-05	3	9	ALEXANDROUPOLI (AIRPORT)	2025-11-04	27	7.22362	ALEXANDROUPOLI (AIRPORT)
627	2025-11-06	3	10	ALEXANDROUPOLI (AIRPORT)	2025-11-05	27	6.95268	ALEXANDROUPOLI (AIRPORT)
627	2025-11-07	3	10	ALEXANDROUPOLI (AIRPORT)	2025-11-06	27	3.16778	ALEXANDROUPOLI (AIRPORT)
627	2025-11-08	3	4	ALEXANDROUPOLI (AIRPORT)	2025-11-07	27	3.49854	ALEXANDROUPOLI (AIRPORT)
627	2025-11-09	3	6	ALEXANDROUPOLI (AIRPORT)	2025-11-08	27	5.38367	ALEXANDROUPOLI (AIRPORT)
627	2025-11-10	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-09	27	1.64166	ALEXANDROUPOLI (AIRPORT)
627	2025-11-11	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-10	27	5.76447	ALEXANDROUPOLI (AIRPORT)
627	2025-11-12	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-11	27	2.16579	ALEXANDROUPOLI (AIRPORT)
627	2025-11-13	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-12	27	1.82579	ALEXANDROUPOLI (AIRPORT)
627	2025-11-14	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-13	27	1.80528	ALEXANDROUPOLI (AIRPORT)
627	2025-11-15	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-14	27	2.16529	ALEXANDROUPOLI (AIRPORT)
627	2025-11-16	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-15	27	1.16981	ALEXANDROUPOLI (AIRPORT)
627	2025-11-17	3	3.1	ALEXANDROUPOLI (AIRPORT)	2025-11-16	27	3.96084	ALEXANDROUPOLI (AIRPORT)
627	2025-11-18	3	7.7	ALEXANDROUPOLI (AIRPORT)	2025-11-17	27	11.5802	ALEXANDROUPOLI (AIRPORT)
627	2025-11-19	3	9.3	ALEXANDROUPOLI (AIRPORT)	2025-11-18	27	11.3299	ALEXANDROUPOLI (AIRPORT)
627	2025-11-20	3	7.7	ALEXANDROUPOLI (AIRPORT)	2025-11-19	27	8.77744	ALEXANDROUPOLI (AIRPORT)
627	2025-11-21	3	5.7	ALEXANDROUPOLI (AIRPORT)	2025-11-20	27	8.12166	ALEXANDROUPOLI (AIRPORT)
627	2025-11-22	3	7.7	ALEXANDROUPOLI (AIRPORT)	2025-11-21	27	7.25104	ALEXANDROUPOLI (AIRPORT)
627	2025-11-23	3	7.2	ALEXANDROUPOLI (AIRPORT)	2025-11-22	27	8.98528	ALEXANDROUPOLI (AIRPORT)
627	2025-11-24	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-23	27	3.25622	ALEXANDROUPOLI (AIRPORT)
627	2025-11-25	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-24	27	2.20922	ALEXANDROUPOLI (AIRPORT)
627	2025-11-26	3	7.7	ALEXANDROUPOLI (AIRPORT)	2025-11-25	27	10.7332	ALEXANDROUPOLI (AIRPORT)
627	2025-11-27	3	7.7	ALEXANDROUPOLI (AIRPORT)	2025-11-26	27	7.56041	ALEXANDROUPOLI (AIRPORT)
627	2025-11-28	3	1.5	ALEXANDROUPOLI (AIRPORT)	2025-11-27	27	4.04429	ALEXANDROUPOLI (AIRPORT)
627	2025-11-29	3	3.6	ALEXANDROUPOLI (AIRPORT)	2025-11-28	27	4.45408	ALEXANDROUPOLI (AIRPORT)
627	2025-11-30	3	0	ALEXANDROUPOLI (AIRPORT)	2025-11-29	27	4.17028	ALEXANDROUPOLI (AIRPORT)
632	2025-11-02	3	1.5	KOZANI (AIRPORT)	2025-11-01	27	1.67501	KOZANI (AIRPORT)
632	2025-11-03	3	0	KOZANI (AIRPORT)	2025-11-02	27	1.38794	KOZANI (AIRPORT)
632	2025-11-04	3	1.5	KOZANI (AIRPORT)	2025-11-03	27	1.39668	KOZANI (AIRPORT)
632	2025-11-05	3	5.1	KOZANI (AIRPORT)	2025-11-04	27	4.94992	KOZANI (AIRPORT)
632	2025-11-06	3	1.5	KOZANI (AIRPORT)	2025-11-05	27	2.03074	KOZANI (AIRPORT)
632	2025-11-07	3	0	KOZANI (AIRPORT)	2025-11-06	27	0.862936	KOZANI (AIRPORT)
632	2025-11-08	3	0	KOZANI (AIRPORT)	2025-11-07	27	0.590111	KOZANI (AIRPORT)
632	2025-11-09	3	1.5	KOZANI (AIRPORT)	2025-11-08	27	0.811336	KOZANI (AIRPORT)
632	2025-11-10	3	0	KOZANI (AIRPORT)	2025-11-09	27	0.939643	KOZANI (AIRPORT)
632	2025-11-11	3	0	KOZANI (AIRPORT)	2025-11-10	27	1.57624	KOZANI (AIRPORT)
632	2025-11-12	3	5.1	KOZANI (AIRPORT)	2025-11-11	27	1.95978	KOZANI (AIRPORT)
632	2025-11-13	3	2.1	KOZANI (AIRPORT)	2025-11-12	27	2.32215	KOZANI (AIRPORT)
632	2025-11-14	3	1.5	KOZANI (AIRPORT)	2025-11-13	27	2.32598	KOZANI (AIRPORT)
632	2025-11-15	3	2.6	KOZANI (AIRPORT)	2025-11-14	27	2.1618	KOZANI (AIRPORT)
