obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	ecmwf_dates	ecmwf_ws_table_h	ecmwf_ws_table	ecmwf_station_names
606	2025-11-01	0	0.5	SERRAI	2025-11-01	0	0.413221	SERRAI
606	2025-11-02	0	0.5	SERRAI	2025-11-02	0	0.496749	SERRAI
606	2025-11-03	0	0	SERRAI	2025-11-03	0	0.121858	SERRAI
606	2025-11-05	0	0.5	SERRAI	2025-11-05	0	1.4244	SERRAI
606	2025-11-06	0	0.5	SERRAI	2025-11-06	0	0.642739	SERRAI
606	2025-11-07	0	0	SERRAI	2025-11-07	0	0.134574	SERRAI
606	2025-11-08	0	0	SERRAI	2025-11-08	0	1.17793	SERRAI
606	2025-11-09	0	0	SERRAI	2025-11-09	0	0.406598	SERRAI
606	2025-11-10	0	0.5	SERRAI	2025-11-10	0	1.71811	SERRAI
606	2025-11-11	0	0.5	SERRAI	2025-11-11	0	0.800252	SERRAI
606	2025-11-12	0	1	SERRAI	2025-11-12	0	0.20699	SERRAI
606	2025-11-13	0	0.5	SERRAI	2025-11-13	0	0.238089	SERRAI
606	2025-11-14	0	0.5	SERRAI	2025-11-14	0	0.131001	SERRAI
606	2025-11-15	0	0	SERRAI	2025-11-15	0	0.375449	SERRAI
606	2025-11-16	0	0.5	SERRAI	2025-11-16	0	0.0977401	SERRAI
606	2025-11-17	0	0	SERRAI	2025-11-17	0	0.302064	SERRAI
606	2025-11-18	0	0.5	SERRAI	2025-11-18	0	2.70413	SERRAI
606	2025-11-19	0	0	SERRAI	2025-11-19	0	1.2885	SERRAI
606	2025-11-20	0	1	SERRAI	2025-11-20	0	0.436021	SERRAI
606	2025-11-21	0	0.5	SERRAI	2025-11-21	0	3.59216	SERRAI
613	2025-11-01	0	0	FLORINA	2025-11-01	0	0.375042	FLORINA
613	2025-11-02	0	0.5	FLORINA	2025-11-02	0	0.90464	FLORINA
613	2025-11-03	0	0	FLORINA	2025-11-03	0	1.57832	FLORINA
613	2025-11-04	0	2	FLORINA	2025-11-04	0	0.602212	FLORINA
613	2025-11-05	0	2.1	FLORINA	2025-11-05	0	3.93266	FLORINA
613	2025-11-06	0	0	FLORINA	2025-11-06	0	0.82492	FLORINA
613	2025-11-07	0	0.5	FLORINA	2025-11-07	0	1.30304	FLORINA
613	2025-11-08	0	5.7	FLORINA	2025-11-08	0	2.47729	FLORINA
613	2025-11-09	0	1.5	FLORINA	2025-11-09	0	1.24745	FLORINA
613	2025-11-10	0	2.6	FLORINA	2025-11-10	0	1.62313	FLORINA
613	2025-11-11	0	1.5	FLORINA	2025-11-11	0	0.782117	FLORINA
613	2025-11-12	0	2.6	FLORINA	2025-11-12	0	1.59325	FLORINA
613	2025-11-13	0	0.5	FLORINA	2025-11-13	0	0.504349	FLORINA
613	2025-11-14	0	0	FLORINA	2025-11-14	0	0.624726	FLORINA
613	2025-11-15	0	0.5	FLORINA	2025-11-15	0	0.641473	FLORINA
613	2025-11-16	0	0	FLORINA	2025-11-16	0	0.65335	FLORINA
