obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
622	2025-11-02	THESSALONIKI (AIRPORT)	15	75	2025-11-01	39	100
622	2025-11-03	THESSALONIKI (AIRPORT)	15	88	2025-11-02	39	100
622	2025-11-04	THESSALONIKI (AIRPORT)	15	100	2025-11-03	39	100
622	2025-11-05	THESSALONIKI (AIRPORT)	15	88	2025-11-04	39	100
622	2025-11-06	THESSALONIKI (AIRPORT)	15	100	2025-11-05	39	81.8398
622	2025-11-07	THESSALONIKI (AIRPORT)	15	63	2025-11-06	39	62.2852
622	2025-11-08	THESSALONIKI (AIRPORT)	15	88	2025-11-07	39	100
622	2025-11-09	THESSALONIKI (AIRPORT)	15	63	2025-11-08	39	100
622	2025-11-10	THESSALONIKI (AIRPORT)	15	88	2025-11-09	39	100
622	2025-11-11	THESSALONIKI (AIRPORT)	15	25	2025-11-10	39	0
622	2025-11-12	THESSALONIKI (AIRPORT)	15	13	2025-11-11	39	2.74414
622	2025-11-13	THESSALONIKI (AIRPORT)	15	38	2025-11-12	39	0
622	2025-11-14	THESSALONIKI (AIRPORT)	15	13	2025-11-13	39	0
622	2025-11-15	THESSALONIKI (AIRPORT)	15	50	2025-11-14	39	83.2422
622	2025-11-16	THESSALONIKI (AIRPORT)	15	13	2025-11-15	39	0.257812
622	2025-11-17	THESSALONIKI (AIRPORT)	15	88	2025-11-16	39	100
622	2025-11-18	THESSALONIKI (AIRPORT)	15	75	2025-11-17	39	100
622	2025-11-19	THESSALONIKI (AIRPORT)	15	100	2025-11-18	39	100
622	2025-11-20	THESSALONIKI (AIRPORT)	15	75	2025-11-19	39	64.3691
622	2025-11-21	THESSALONIKI (AIRPORT)	15	88	2025-11-20	39	100
622	2025-11-22	THESSALONIKI (AIRPORT)	15	63	2025-11-21	39	21.3555
622	2025-11-23	THESSALONIKI (AIRPORT)	15	25	2025-11-22	39	0.279297
622	2025-11-24	THESSALONIKI (AIRPORT)	15	0	2025-11-23	39	0
622	2025-11-25	THESSALONIKI (AIRPORT)	15	88	2025-11-24	39	100
622	2025-11-26	THESSALONIKI (AIRPORT)	15	75	2025-11-25	39	100
622	2025-11-27	THESSALONIKI (AIRPORT)	15	88	2025-11-26	39	100
622	2025-11-28	THESSALONIKI (AIRPORT)	15	88	2025-11-27	39	100
622	2025-11-29	THESSALONIKI (AIRPORT)	15	13	2025-11-28	39	98.5488
622	2025-11-30	THESSALONIKI (AIRPORT)	15	38	2025-11-29	39	0
624	2025-11-02	CHRYSOPOULI (AIRPORT)	15	63	2025-11-01	39	6.34375
624	2025-11-03	CHRYSOPOULI (AIRPORT)	15	38	2025-11-02	39	96.6309
624	2025-11-04	CHRYSOPOULI (AIRPORT)	15	100	2025-11-03	39	100
624	2025-11-05	CHRYSOPOULI (AIRPORT)	15	88	2025-11-04	39	100
624	2025-11-06	CHRYSOPOULI (AIRPORT)	15	100	2025-11-05	39	95.5
624	2025-11-07	CHRYSOPOULI (AIRPORT)	15	50	2025-11-06	39	58.0547
624	2025-11-08	CHRYSOPOULI (AIRPORT)	15	88	2025-11-07	39	100
624	2025-11-09	CHRYSOPOULI (AIRPORT)	15	88	2025-11-08	39	100
624	2025-11-10	CHRYSOPOULI (AIRPORT)	15	88	2025-11-09	39	100
624	2025-11-11	CHRYSOPOULI (AIRPORT)	15	88	2025-11-10	39	96.3926
624	2025-11-12	CHRYSOPOULI (AIRPORT)	15	63	2025-11-11	39	100
624	2025-11-13	CHRYSOPOULI (AIRPORT)	15	63	2025-11-12	39	0.966797
624	2025-11-14	CHRYSOPOULI (AIRPORT)	15	25	2025-11-13	39	0.910156
624	2025-11-15	CHRYSOPOULI (AIRPORT)	15	25	2025-11-14	39	0.925781
624	2025-11-16	CHRYSOPOULI (AIRPORT)	15	13	2025-11-15	39	0.640625
624	2025-11-17	CHRYSOPOULI (AIRPORT)	15	75	2025-11-16	39	97.5586
624	2025-11-18	CHRYSOPOULI (AIRPORT)	15	88	2025-11-17	39	100
624	2025-11-19	CHRYSOPOULI (AIRPORT)	15	88	2025-11-18	39	100
624	2025-11-20	CHRYSOPOULI (AIRPORT)	15	50	2025-11-19	39	100
624	2025-11-21	CHRYSOPOULI (AIRPORT)	15	63	2025-11-20	39	96.3125
624	2025-11-22	CHRYSOPOULI (AIRPORT)	15	63	2025-11-21	39	2.95312
624	2025-11-23	CHRYSOPOULI (AIRPORT)	15	38	2025-11-22	39	5.81836
624	2025-11-24	CHRYSOPOULI (AIRPORT)	15	13	2025-11-23	39	0
624	2025-11-25	CHRYSOPOULI (AIRPORT)	15	88	2025-11-24	39	100
624	2025-11-26	CHRYSOPOULI (AIRPORT)	15	75	2025-11-25	39	100
624	2025-11-27	CHRYSOPOULI (AIRPORT)	15	88	2025-11-26	39	100
624	2025-11-28	CHRYSOPOULI (AIRPORT)	15	75	2025-11-27	39	100
624	2025-11-29	CHRYSOPOULI (AIRPORT)	15	63	2025-11-28	39	71.7129
624	2025-11-30	CHRYSOPOULI (AIRPORT)	15	25	2025-11-29	39	7.26562
627	2025-11-02	ALEXANDROUPOLI (AIRPORT)	15	63	2025-11-01	39	70.4844
627	2025-11-03	ALEXANDROUPOLI (AIRPORT)	15	50	2025-11-02	39	6.84766
627	2025-11-04	ALEXANDROUPOLI (AIRPORT)	15	100	2025-11-03	39	100
627	2025-11-05	ALEXANDROUPOLI (AIRPORT)	15	100	2025-11-04	39	100
627	2025-11-06	ALEXANDROUPOLI (AIRPORT)	15	88	2025-11-05	39	89.8633
627	2025-11-07	ALEXANDROUPOLI (AIRPORT)	15	63	2025-11-06	39	85.5273
627	2025-11-08	ALEXANDROUPOLI (AIRPORT)	15	88	2025-11-07	39	100
627	2025-11-09	ALEXANDROUPOLI (AIRPORT)	15	75	2025-11-08	39	100
627	2025-11-10	ALEXANDROUPOLI (AIRPORT)	15	88	2025-11-09	39	100
627	2025-11-11	ALEXANDROUPOLI (AIRPORT)	15	88	2025-11-10	39	100
627	2025-11-12	ALEXANDROUPOLI (AIRPORT)	15	75	2025-11-11	39	10.3027
627	2025-11-13	ALEXANDROUPOLI (AIRPORT)	15	63	2025-11-12	39	99.9043
627	2025-11-14	ALEXANDROUPOLI (AIRPORT)	15	25	2025-11-13	39	15.7168
627	2025-11-15	ALEXANDROUPOLI (AIRPORT)	15	50	2025-11-14	39	45.8535
627	2025-11-16	ALEXANDROUPOLI (AIRPORT)	15	25	2025-11-15	39	50.1465
627	2025-11-17	ALEXANDROUPOLI (AIRPORT)	15	63	2025-11-16	39	87.625
627	2025-11-18	ALEXANDROUPOLI (AIRPORT)	15	75	2025-11-17	39	99.9062
627	2025-11-19	ALEXANDROUPOLI (AIRPORT)	15	75	2025-11-18	39	100
627	2025-11-20	ALEXANDROUPOLI (AIRPORT)	15	75	2025-11-19	39	100
627	2025-11-21	ALEXANDROUPOLI (AIRPORT)	15	88	2025-11-20	39	47.3086
627	2025-11-22	ALEXANDROUPOLI (AIRPORT)	15	75	2025-11-21	39	100
627	2025-11-23	ALEXANDROUPOLI (AIRPORT)	15	63	2025-11-22	39	3.23828
627	2025-11-24	ALEXANDROUPOLI (AIRPORT)	15	25	2025-11-23	39	0
627	2025-11-25	ALEXANDROUPOLI (AIRPORT)	15	75	2025-11-24	39	100
627	2025-11-26	ALEXANDROUPOLI (AIRPORT)	15	75	2025-11-25	39	94.7031
627	2025-11-27	ALEXANDROUPOLI (AIRPORT)	15	75	2025-11-26	39	99.877
627	2025-11-28	ALEXANDROUPOLI (AIRPORT)	15	100	2025-11-27	39	100
627	2025-11-29	ALEXANDROUPOLI (AIRPORT)	15	75	2025-11-28	39	91.1289
627	2025-11-30	ALEXANDROUPOLI (AIRPORT)	15	38	2025-11-29	39	74.4707
632	2025-11-14	KOZANI (AIRPORT)	15	0	2025-11-13	39	0
641	2025-11-02	KERKYRA (AIRPORT)	15	0	2025-11-01	39	3.13281
641	2025-11-03	KERKYRA (AIRPORT)	15	88	2025-11-02	39	99.4512
641	2025-11-04	KERKYRA (AIRPORT)	15	50	2025-11-03	39	28.9609
641	2025-11-05	KERKYRA (AIRPORT)	15	13	2025-11-04	39	18.7715
641	2025-11-06	KERKYRA (AIRPORT)	15	38	2025-11-05	39	99.8848
641	2025-11-07	KERKYRA (AIRPORT)	15	88	2025-11-06	39	94.7363
641	2025-11-08	KERKYRA (AIRPORT)	15	75	2025-11-07	39	45.418
641	2025-11-09	KERKYRA (AIRPORT)	15	88	2025-11-08	39	100
641	2025-11-10	KERKYRA (AIRPORT)	15	63	2025-11-09	39	80.6973
641	2025-11-11	KERKYRA (AIRPORT)	15	13	2025-11-10	39	0
641	2025-11-12	KERKYRA (AIRPORT)	15	0	2025-11-11	39	0
641	2025-11-13	KERKYRA (AIRPORT)	15	25	2025-11-12	39	0.28125
641	2025-11-14	KERKYRA (AIRPORT)	15	0	2025-11-13	39	0.0703125
641	2025-11-15	KERKYRA (AIRPORT)	15	63	2025-11-14	39	100
641	2025-11-16	KERKYRA (AIRPORT)	15	50	2025-11-15	39	49.7969
641	2025-11-17	KERKYRA (AIRPORT)	15	100	2025-11-16	39	99.998
641	2025-11-18	KERKYRA (AIRPORT)	15	88	2025-11-17	39	100
641	2025-11-19	KERKYRA (AIRPORT)	15	88	2025-11-18	39	100
641	2025-11-20	KERKYRA (AIRPORT)	15	88	2025-11-19	39	100
641	2025-11-21	KERKYRA (AIRPORT)	15	50	2025-11-20	39	70.043
641	2025-11-22	KERKYRA (AIRPORT)	15	88	2025-11-21	39	91.2051
