obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
622	2025-10-02	THESSALONIKI (AIRPORT)	0	100	2025-10-01	24	100
622	2025-10-03	THESSALONIKI (AIRPORT)	0	100	2025-10-02	24	100
622	2025-10-04	THESSALONIKI (AIRPORT)	0	75	2025-10-03	24	39.7129
622	2025-10-05	THESSALONIKI (AIRPORT)	0	13	2025-10-04	24	0
622	2025-10-06	THESSALONIKI (AIRPORT)	0	88	2025-10-05	24	100
622	2025-10-07	THESSALONIKI (AIRPORT)	0	88	2025-10-06	24	86.6973
622	2025-10-08	THESSALONIKI (AIRPORT)	0	88	2025-10-07	24	100
622	2025-10-09	THESSALONIKI (AIRPORT)	0	25	2025-10-08	24	3.23633
622	2025-10-10	THESSALONIKI (AIRPORT)	0	25	2025-10-09	24	0.279297
622	2025-10-11	THESSALONIKI (AIRPORT)	0	13	2025-10-10	24	17.1699
622	2025-10-12	THESSALONIKI (AIRPORT)	0	38	2025-10-11	24	0
622	2025-10-13	THESSALONIKI (AIRPORT)	0	25	2025-10-12	24	22.1602
622	2025-10-14	THESSALONIKI (AIRPORT)	0	38	2025-10-13	24	0
622	2025-10-15	THESSALONIKI (AIRPORT)	0	50	2025-10-14	24	32.3477
622	2025-10-16	THESSALONIKI (AIRPORT)	0	75	2025-10-15	24	100
622	2025-10-17	THESSALONIKI (AIRPORT)	0	75	2025-10-16	24	99.9512
622	2025-10-18	THESSALONIKI (AIRPORT)	0	100	2025-10-17	24	98.2402
622	2025-10-19	THESSALONIKI (AIRPORT)	0	50	2025-10-18	24	100
622	2025-10-20	THESSALONIKI (AIRPORT)	0	50	2025-10-19	24	99.1113
622	2025-10-21	THESSALONIKI (AIRPORT)	0	75	2025-10-20	24	100
622	2025-10-22	THESSALONIKI (AIRPORT)	0	75	2025-10-21	24	95.0742
622	2025-10-23	THESSALONIKI (AIRPORT)	0	38	2025-10-22	24	97.3926
622	2025-10-24	THESSALONIKI (AIRPORT)	0	63	2025-10-23	24	89.0605
622	2025-10-25	THESSALONIKI (AIRPORT)	0	13	2025-10-24	24	0
622	2025-10-26	THESSALONIKI (AIRPORT)	0	25	2025-10-25	24	100
622	2025-10-27	THESSALONIKI (AIRPORT)	0	38	2025-10-26	24	100
622	2025-10-28	THESSALONIKI (AIRPORT)	0	38	2025-10-27	24	100
622	2025-10-29	THESSALONIKI (AIRPORT)	0	13	2025-10-28	24	0
622	2025-10-30	THESSALONIKI (AIRPORT)	0	50	2025-10-29	24	2.34375
622	2025-10-31	THESSALONIKI (AIRPORT)	0	75	2025-10-30	24	100
627	2025-10-02	ALEXANDROUPOLI (AIRPORT)	0	63	2025-10-01	24	40.8496
627	2025-10-03	ALEXANDROUPOLI (AIRPORT)	0	100	2025-10-02	24	100
627	2025-10-04	ALEXANDROUPOLI (AIRPORT)	0	50	2025-10-03	24	99.6699
627	2025-10-05	ALEXANDROUPOLI (AIRPORT)	0	25	2025-10-04	24	47.2676
627	2025-10-06	ALEXANDROUPOLI (AIRPORT)	0	63	2025-10-05	24	49.7324
627	2025-10-07	ALEXANDROUPOLI (AIRPORT)	0	88	2025-10-06	24	100
627	2025-10-08	ALEXANDROUPOLI (AIRPORT)	0	88	2025-10-07	24	99.5215
627	2025-10-09	ALEXANDROUPOLI (AIRPORT)	0	88	2025-10-08	24	97.4023
627	2025-10-10	ALEXANDROUPOLI (AIRPORT)	0	25	2025-10-09	24	6.20117
627	2025-10-11	ALEXANDROUPOLI (AIRPORT)	0	88	2025-10-10	24	58.4375
627	2025-10-12	ALEXANDROUPOLI (AIRPORT)	0	38	2025-10-11	24	0
627	2025-10-13	ALEXANDROUPOLI (AIRPORT)	0	63	2025-10-12	24	67.3672
627	2025-10-14	ALEXANDROUPOLI (AIRPORT)	0	75	2025-10-13	24	76.2695
627	2025-10-15	ALEXANDROUPOLI (AIRPORT)	0	88	2025-10-14	24	97.1055
627	2025-10-16	ALEXANDROUPOLI (AIRPORT)	0	88	2025-10-15	24	100
627	2025-10-17	ALEXANDROUPOLI (AIRPORT)	0	63	2025-10-16	24	83.4355
627	2025-10-18	ALEXANDROUPOLI (AIRPORT)	0	88	2025-10-17	24	100
627	2025-10-19	ALEXANDROUPOLI (AIRPORT)	0	75	2025-10-18	24	81.9453
627	2025-10-20	ALEXANDROUPOLI (AIRPORT)	0	13	2025-10-19	24	63.9473
627	2025-10-21	ALEXANDROUPOLI (AIRPORT)	0	0	2025-10-20	24	3.63086
627	2025-10-22	ALEXANDROUPOLI (AIRPORT)	0	38	2025-10-21	24	100
627	2025-10-23	ALEXANDROUPOLI (AIRPORT)	0	88	2025-10-22	24	100
627	2025-10-24	ALEXANDROUPOLI (AIRPORT)	0	63	2025-10-23	24	100
627	2025-10-25	ALEXANDROUPOLI (AIRPORT)	0	63	2025-10-24	24	70.9609
627	2025-10-26	ALEXANDROUPOLI (AIRPORT)	0	13	2025-10-25	24	98.0703
627	2025-10-27	ALEXANDROUPOLI (AIRPORT)	0	75	2025-10-26	24	100
627	2025-10-28	ALEXANDROUPOLI (AIRPORT)	0	25	2025-10-27	24	0
627	2025-10-29	ALEXANDROUPOLI (AIRPORT)	0	13	2025-10-28	24	0
627	2025-10-30	ALEXANDROUPOLI (AIRPORT)	0	0	2025-10-29	24	0
627	2025-10-31	ALEXANDROUPOLI (AIRPORT)	0	25	2025-10-30	24	75.0664
641	2025-10-02	KERKYRA (AIRPORT)	0	88	2025-10-01	24	100
641	2025-10-03	KERKYRA (AIRPORT)	0	50	2025-10-02	24	2.11719
641	2025-10-04	KERKYRA (AIRPORT)	0	50	2025-10-03	24	75.9629
641	2025-10-05	KERKYRA (AIRPORT)	0	13	2025-10-04	24	45.3828
641	2025-10-06	KERKYRA (AIRPORT)	0	88	2025-10-05	24	100
641	2025-10-07	KERKYRA (AIRPORT)	0	25	2025-10-06	24	0.265625
