obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
606	2025-10-01	SERRAI	12	88	2025-10-01	12	100
606	2025-10-02	SERRAI	12	100	2025-10-02	12	100
606	2025-10-03	SERRAI	12	25	2025-10-03	12	34.9824
606	2025-10-06	SERRAI	12	100	2025-10-06	12	99.8652
606	2025-10-07	SERRAI	12	100	2025-10-07	12	100
606	2025-10-08	SERRAI	12	63	2025-10-08	12	98.6055
606	2025-10-09	SERRAI	12	38	2025-10-09	12	10.4922
606	2025-10-10	SERRAI	12	38	2025-10-10	12	30.166
606	2025-10-13	SERRAI	12	63	2025-10-13	12	100
606	2025-10-14	SERRAI	12	13	2025-10-14	12	1.79102
606	2025-10-15	SERRAI	12	63	2025-10-15	12	4.7207
606	2025-10-16	SERRAI	12	25	2025-10-16	12	100
606	2025-10-17	SERRAI	12	100	2025-10-17	12	99.9961
606	2025-10-20	SERRAI	12	75	2025-10-20	12	49.1523
606	2025-10-21	SERRAI	12	100	2025-10-21	12	99.9785
606	2025-10-22	SERRAI	12	88	2025-10-22	12	99.9355
606	2025-10-23	SERRAI	12	13	2025-10-23	12	10.3848
606	2025-10-24	SERRAI	12	25	2025-10-24	12	12.5742
606	2025-10-29	SERRAI	12	0	2025-10-29	12	0
606	2025-10-30	SERRAI	12	38	2025-10-30	12	28.375
606	2025-10-31	SERRAI	12	50	2025-10-31	12	100
622	2025-10-01	THESSALONIKI (AIRPORT)	12	100	2025-10-01	12	86.2363
622	2025-10-02	THESSALONIKI (AIRPORT)	12	100	2025-10-02	12	100
622	2025-10-03	THESSALONIKI (AIRPORT)	12	38	2025-10-03	12	18.9141
622	2025-10-04	THESSALONIKI (AIRPORT)	12	13	2025-10-04	12	37.4844
622	2025-10-05	THESSALONIKI (AIRPORT)	12	25	2025-10-05	12	0
622	2025-10-06	THESSALONIKI (AIRPORT)	12	63	2025-10-06	12	99.8047
622	2025-10-07	THESSALONIKI (AIRPORT)	12	100	2025-10-07	12	96.1465
622	2025-10-08	THESSALONIKI (AIRPORT)	12	75	2025-10-08	12	58.166
622	2025-10-09	THESSALONIKI (AIRPORT)	12	13	2025-10-09	12	0.00390625
622	2025-10-10	THESSALONIKI (AIRPORT)	12	38	2025-10-10	12	5.16602
622	2025-10-11	THESSALONIKI (AIRPORT)	12	38	2025-10-11	12	18.6211
622	2025-10-12	THESSALONIKI (AIRPORT)	12	25	2025-10-12	12	0.841797
622	2025-10-13	THESSALONIKI (AIRPORT)	12	88	2025-10-13	12	99.9961
622	2025-10-14	THESSALONIKI (AIRPORT)	12	13	2025-10-14	12	0
622	2025-10-15	THESSALONIKI (AIRPORT)	12	75	2025-10-15	12	54.9961
622	2025-10-16	THESSALONIKI (AIRPORT)	12	88	2025-10-16	12	100
622	2025-10-17	THESSALONIKI (AIRPORT)	12	100	2025-10-17	12	100
622	2025-10-18	THESSALONIKI (AIRPORT)	12	75	2025-10-18	12	19.2383
622	2025-10-19	THESSALONIKI (AIRPORT)	12	38	2025-10-19	12	99.5918
622	2025-10-20	THESSALONIKI (AIRPORT)	12	88	2025-10-20	12	100
622	2025-10-21	THESSALONIKI (AIRPORT)	12	88	2025-10-21	12	99.5996
622	2025-10-22	THESSALONIKI (AIRPORT)	12	88	2025-10-22	12	43.4688
622	2025-10-23	THESSALONIKI (AIRPORT)	12	63	2025-10-23	12	2.88477
622	2025-10-24	THESSALONIKI (AIRPORT)	12	25	2025-10-24	12	8.0625
622	2025-10-25	THESSALONIKI (AIRPORT)	12	38	2025-10-25	12	2.48047
622	2025-10-26	THESSALONIKI (AIRPORT)	12	75	2025-10-26	12	83.3262
622	2025-10-27	THESSALONIKI (AIRPORT)	12	75	2025-10-27	12	70.2949
622	2025-10-28	THESSALONIKI (AIRPORT)	12	50	2025-10-28	12	23.8984
622	2025-10-29	THESSALONIKI (AIRPORT)	12	0	2025-10-29	12	0
622	2025-10-30	THESSALONIKI (AIRPORT)	12	63	2025-10-30	12	98.7734
622	2025-10-31	THESSALONIKI (AIRPORT)	12	88	2025-10-31	12	94.623
624	2025-10-01	CHRYSOPOULI (AIRPORT)	12	88	2025-10-01	12	100
624	2025-10-02	CHRYSOPOULI (AIRPORT)	12	100	2025-10-02	12	100
624	2025-10-03	CHRYSOPOULI (AIRPORT)	12	50	2025-10-03	12	57.0742
624	2025-10-04	CHRYSOPOULI (AIRPORT)	12	13	2025-10-04	12	22.9941
624	2025-10-05	CHRYSOPOULI (AIRPORT)	12	50	2025-10-05	12	0.03125
624	2025-10-06	CHRYSOPOULI (AIRPORT)	12	100	2025-10-06	12	100
624	2025-10-07	CHRYSOPOULI (AIRPORT)	12	100	2025-10-07	12	100
624	2025-10-08	CHRYSOPOULI (AIRPORT)	12	38	2025-10-08	12	21.6523
624	2025-10-09	CHRYSOPOULI (AIRPORT)	12	25	2025-10-09	12	6.0332
624	2025-10-10	CHRYSOPOULI (AIRPORT)	12	50	2025-10-10	12	12.7539
624	2025-10-11	CHRYSOPOULI (AIRPORT)	12	88	2025-10-11	12	82.4766
624	2025-10-12	CHRYSOPOULI (AIRPORT)	12	50	2025-10-12	12	18.1367
624	2025-10-13	CHRYSOPOULI (AIRPORT)	12	75	2025-10-13	12	100
624	2025-10-14	CHRYSOPOULI (AIRPORT)	12	63	2025-10-14	12	19.3535
