obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
627	2025-10-09	ALEXANDROUPOLI (AIRPORT)	18	75	2025-10-09	18	30.584
627	2025-10-10	ALEXANDROUPOLI (AIRPORT)	18	13	2025-10-10	18	8.17578
627	2025-10-11	ALEXANDROUPOLI (AIRPORT)	18	63	2025-10-11	18	0.0253906
627	2025-10-12	ALEXANDROUPOLI (AIRPORT)	18	88	2025-10-12	18	2.6543
627	2025-10-13	ALEXANDROUPOLI (AIRPORT)	18	50	2025-10-13	18	99.8926
627	2025-10-14	ALEXANDROUPOLI (AIRPORT)	18	50	2025-10-14	18	42.0527
627	2025-10-15	ALEXANDROUPOLI (AIRPORT)	18	75	2025-10-15	18	1.26562
627	2025-10-16	ALEXANDROUPOLI (AIRPORT)	18	38	2025-10-16	18	99.7441
627	2025-10-17	ALEXANDROUPOLI (AIRPORT)	18	88	2025-10-17	18	100
627	2025-10-18	ALEXANDROUPOLI (AIRPORT)	18	50	2025-10-18	18	11.4531
627	2025-10-19	ALEXANDROUPOLI (AIRPORT)	18	88	2025-10-19	18	96.7109
627	2025-10-20	ALEXANDROUPOLI (AIRPORT)	18	13	2025-10-20	18	1.74023
627	2025-10-21	ALEXANDROUPOLI (AIRPORT)	18	75	2025-10-21	18	100
627	2025-10-22	ALEXANDROUPOLI (AIRPORT)	18	88	2025-10-22	18	71.5098
627	2025-10-23	ALEXANDROUPOLI (AIRPORT)	18	25	2025-10-23	18	27.5117
627	2025-10-24	ALEXANDROUPOLI (AIRPORT)	18	13	2025-10-24	18	0.472656
627	2025-10-25	ALEXANDROUPOLI (AIRPORT)	18	13	2025-10-25	18	9.51562
627	2025-10-26	ALEXANDROUPOLI (AIRPORT)	18	63	2025-10-26	18	94.9219
627	2025-10-27	ALEXANDROUPOLI (AIRPORT)	18	63	2025-10-27	18	0
627	2025-10-28	ALEXANDROUPOLI (AIRPORT)	18	75	2025-10-28	18	0.0449219
627	2025-10-29	ALEXANDROUPOLI (AIRPORT)	18	0	2025-10-29	18	0
627	2025-10-30	ALEXANDROUPOLI (AIRPORT)	18	25	2025-10-30	18	99.9609
627	2025-10-31	ALEXANDROUPOLI (AIRPORT)	18	38	2025-10-31	18	92.3555
641	2025-10-01	KERKYRA (AIRPORT)	18	88	2025-10-01	18	100
641	2025-10-02	KERKYRA (AIRPORT)	18	50	2025-10-02	18	7.87695
641	2025-10-03	KERKYRA (AIRPORT)	18	50	2025-10-03	18	21.8848
641	2025-10-04	KERKYRA (AIRPORT)	18	38	2025-10-04	18	15.0645
641	2025-10-05	KERKYRA (AIRPORT)	18	88	2025-10-05	18	100
641	2025-10-06	KERKYRA (AIRPORT)	18	38	2025-10-06	18	7.10547
641	2025-10-07	KERKYRA (AIRPORT)	18	38	2025-10-07	18	0.0449219
641	2025-10-08	KERKYRA (AIRPORT)	18	25	2025-10-08	18	1.66406
641	2025-10-09	KERKYRA (AIRPORT)	18	25	2025-10-09	18	0.130859
641	2025-10-10	KERKYRA (AIRPORT)	18	50	2025-10-10	18	37.2012
641	2025-10-11	KERKYRA (AIRPORT)	18	38	2025-10-11	18	55.7676
641	2025-10-12	KERKYRA (AIRPORT)	18	0	2025-10-12	18	27.0117
641	2025-10-13	KERKYRA (AIRPORT)	18	75	2025-10-13	18	99.7617
641	2025-10-14	KERKYRA (AIRPORT)	18	25	2025-10-14	18	0.0820312
641	2025-10-15	KERKYRA (AIRPORT)	18	63	2025-10-15	18	99.6133
641	2025-10-16	KERKYRA (AIRPORT)	18	100	2025-10-16	18	100
641	2025-10-17	KERKYRA (AIRPORT)	18	100	2025-10-17	18	97.9492
641	2025-10-18	KERKYRA (AIRPORT)	18	63	2025-10-18	18	100
641	2025-10-19	KERKYRA (AIRPORT)	18	38	2025-10-19	18	2.4043
641	2025-10-20	KERKYRA (AIRPORT)	18	50	2025-10-20	18	1.00781
641	2025-10-21	KERKYRA (AIRPORT)	18	88	2025-10-21	18	99.1387
641	2025-10-22	KERKYRA (AIRPORT)	18	88	2025-10-22	18	99.8223
641	2025-10-23	KERKYRA (AIRPORT)	18	75	2025-10-23	18	99.3008
641	2025-10-24	KERKYRA (AIRPORT)	18	13	2025-10-24	18	0.0117188
641	2025-10-25	KERKYRA (AIRPORT)	18	63	2025-10-25	18	91.7793
641	2025-10-26	KERKYRA (AIRPORT)	18	63	2025-10-26	18	48.8066
641	2025-10-27	KERKYRA (AIRPORT)	18	25	2025-10-27	18	0.0175781
641	2025-10-28	KERKYRA (AIRPORT)	18	38	2025-10-28	18	0.0878906
641	2025-10-29	KERKYRA (AIRPORT)	18	0	2025-10-29	18	2.85742
641	2025-10-30	KERKYRA (AIRPORT)	18	63	2025-10-30	18	98.2305
641	2025-10-31	KERKYRA (AIRPORT)	18	88	2025-10-31	18	98.0156
642	2025-10-01	IOANNINA (AIRPORT)	18	88	2025-10-01	18	100
