obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
606	2025-10-01	SERRAI	6	88	2025-10-01	6	100
606	2025-10-02	SERRAI	6	100	2025-10-02	6	100
606	2025-10-03	SERRAI	6	100	2025-10-03	6	96.2402
606	2025-10-06	SERRAI	6	100	2025-10-06	6	99.6543
606	2025-10-07	SERRAI	6	75	2025-10-07	6	100
606	2025-10-08	SERRAI	6	63	2025-10-08	6	87.7891
606	2025-10-09	SERRAI	6	50	2025-10-09	6	14.8125
606	2025-10-10	SERRAI	6	38	2025-10-10	6	4.76367
606	2025-10-13	SERRAI	6	38	2025-10-13	6	82.2207
606	2025-10-14	SERRAI	6	25	2025-10-14	6	6.91211
606	2025-10-15	SERRAI	6	88	2025-10-15	6	9.51758
606	2025-10-16	SERRAI	6	63	2025-10-16	6	21.1602
606	2025-10-17	SERRAI	6	75	2025-10-17	6	100
606	2025-10-20	SERRAI	6	88	2025-10-20	6	70.0586
606	2025-10-21	SERRAI	6	88	2025-10-21	6	45.0938
606	2025-10-22	SERRAI	6	88	2025-10-22	6	48.0684
606	2025-10-24	SERRAI	6	75	2025-10-24	6	70.7578
606	2025-10-29	SERRAI	6	0	2025-10-29	6	0
606	2025-10-30	SERRAI	6	25	2025-10-30	6	6.91797
606	2025-10-31	SERRAI	6	63	2025-10-31	6	97.8633
622	2025-10-01	THESSALONIKI (AIRPORT)	6	100	2025-10-01	6	93.2559
622	2025-10-02	THESSALONIKI (AIRPORT)	6	100	2025-10-02	6	100
622	2025-10-03	THESSALONIKI (AIRPORT)	6	50	2025-10-03	6	13.3613
622	2025-10-04	THESSALONIKI (AIRPORT)	6	25	2025-10-04	6	0.195312
622	2025-10-05	THESSALONIKI (AIRPORT)	6	0	2025-10-05	6	4.72656
622	2025-10-06	THESSALONIKI (AIRPORT)	6	75	2025-10-06	6	47.7969
622	2025-10-07	THESSALONIKI (AIRPORT)	6	63	2025-10-07	6	64.9746
622	2025-10-08	THESSALONIKI (AIRPORT)	6	75	2025-10-08	6	33.9258
622	2025-10-09	THESSALONIKI (AIRPORT)	6	13	2025-10-09	6	0.320312
622	2025-10-10	THESSALONIKI (AIRPORT)	6	25	2025-10-10	6	0
