obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
627	2025-11-12	ALEXANDROUPOLI (AIRPORT)	18	63	2025-11-12	18	49.6934
627	2025-11-13	ALEXANDROUPOLI (AIRPORT)	18	13	2025-11-13	18	0
627	2025-11-14	ALEXANDROUPOLI (AIRPORT)	18	25	2025-11-14	18	9.11523
627	2025-11-15	ALEXANDROUPOLI (AIRPORT)	18	25	2025-11-15	18	6.9375
627	2025-11-16	ALEXANDROUPOLI (AIRPORT)	18	63	2025-11-16	18	74.3105
627	2025-11-17	ALEXANDROUPOLI (AIRPORT)	18	63	2025-11-17	18	100
627	2025-11-18	ALEXANDROUPOLI (AIRPORT)	18	63	2025-11-18	18	92.9785
627	2025-11-19	ALEXANDROUPOLI (AIRPORT)	18	75	2025-11-19	18	100
627	2025-11-20	ALEXANDROUPOLI (AIRPORT)	18	88	2025-11-20	18	99.7461
627	2025-11-21	ALEXANDROUPOLI (AIRPORT)	18	75	2025-11-21	18	100
627	2025-11-22	ALEXANDROUPOLI (AIRPORT)	18	63	2025-11-22	18	100
627	2025-11-23	ALEXANDROUPOLI (AIRPORT)	18	38	2025-11-23	18	0
627	2025-11-24	ALEXANDROUPOLI (AIRPORT)	18	25	2025-11-24	18	33.8926
627	2025-11-25	ALEXANDROUPOLI (AIRPORT)	18	75	2025-11-25	18	100
627	2025-11-26	ALEXANDROUPOLI (AIRPORT)	18	88	2025-11-26	18	100
627	2025-11-27	ALEXANDROUPOLI (AIRPORT)	18	63	2025-11-27	18	100
627	2025-11-28	ALEXANDROUPOLI (AIRPORT)	18	88	2025-11-28	18	100
627	2025-11-29	ALEXANDROUPOLI (AIRPORT)	18	50	2025-11-29	18	91.9531
627	2025-11-30	ALEXANDROUPOLI (AIRPORT)	18	75	2025-11-30	18	100
641	2025-11-01	KERKYRA (AIRPORT)	18	38	2025-11-01	18	5.98047
641	2025-11-02	KERKYRA (AIRPORT)	18	13	2025-11-02	18	0
641	2025-11-03	KERKYRA (AIRPORT)	18	88	2025-11-03	18	100
641	2025-11-04	KERKYRA (AIRPORT)	18	50	2025-11-04	18	63.7285
641	2025-11-05	KERKYRA (AIRPORT)	18	13	2025-11-05	18	0
641	2025-11-06	KERKYRA (AIRPORT)	18	25	2025-11-06	18	15.9043
641	2025-11-07	KERKYRA (AIRPORT)	18	88	2025-11-07	18	95.1816
641	2025-11-08	KERKYRA (AIRPORT)	18	88	2025-11-08	18	100
641	2025-11-09	KERKYRA (AIRPORT)	18	88	2025-11-09	18	100
641	2025-11-10	KERKYRA (AIRPORT)	18	75	2025-11-10	18	53.7422
641	2025-11-11	KERKYRA (AIRPORT)	18	13	2025-11-11	18	6.83594
641	2025-11-12	KERKYRA (AIRPORT)	18	13	2025-11-12	18	0
641	2025-11-13	KERKYRA (AIRPORT)	18	0	2025-11-13	18	0
641	2025-11-14	KERKYRA (AIRPORT)	18	0	2025-11-14	18	0
641	2025-11-15	KERKYRA (AIRPORT)	18	50	2025-11-15	18	40.2988
641	2025-11-16	KERKYRA (AIRPORT)	18	13	2025-11-16	18	0.150391
641	2025-11-17	KERKYRA (AIRPORT)	18	100	2025-11-17	18	100
641	2025-11-18	KERKYRA (AIRPORT)	18	75	2025-11-18	18	100
641	2025-11-19	KERKYRA (AIRPORT)	18	88	2025-11-19	18	100
641	2025-11-20	KERKYRA (AIRPORT)	18	88	2025-11-20	18	100
641	2025-11-21	KERKYRA (AIRPORT)	18	63	2025-11-21	18	78.125
641	2025-11-22	KERKYRA (AIRPORT)	18	88	2025-11-22	18	73.6484
641	2025-11-23	KERKYRA (AIRPORT)	18	25	2025-11-23	18	0
641	2025-11-24	KERKYRA (AIRPORT)	18	63	2025-11-24	18	99.9062
641	2025-11-25	KERKYRA (AIRPORT)	18	88	2025-11-25	18	100
641	2025-11-26	KERKYRA (AIRPORT)	18	88	2025-11-26	18	100
641	2025-11-27	KERKYRA (AIRPORT)	18	75	2025-11-27	18	100
641	2025-11-28	KERKYRA (AIRPORT)	18	88	2025-11-28	18	99.4062
641	2025-11-29	KERKYRA (AIRPORT)	18	75	2025-11-29	18	67.8809
641	2025-11-30	KERKYRA (AIRPORT)	18	63	2025-11-30	18	29.0586
642	2025-11-01	IOANNINA (AIRPORT)	18	50	2025-11-01	18	86.2852
642	2025-11-02	IOANNINA (AIRPORT)	18	25	2025-11-02	18	33.8965
642	2025-11-03	IOANNINA (AIRPORT)	18	63	2025-11-03	18	100
642	2025-11-04	IOANNINA (AIRPORT)	18	50	2025-11-04	18	87.166
642	2025-11-05	IOANNINA (AIRPORT)	18	50	2025-11-05	18	0
642	2025-11-06	IOANNINA (AIRPORT)	18	25	2025-11-06	18	84.2812
642	2025-11-07	IOANNINA (AIRPORT)	18	75	2025-11-07	18	100
642	2025-11-08	IOANNINA (AIRPORT)	18	38	2025-11-08	18	78.8965
642	2025-11-09	IOANNINA (AIRPORT)	18	100	2025-11-09	18	100
642	2025-11-10	IOANNINA (AIRPORT)	18	75	2025-11-10	18	87.3301
642	2025-11-11	IOANNINA (AIRPORT)	18	25	2025-11-11	18	11.8672
642	2025-11-12	IOANNINA (AIRPORT)	18	0	2025-11-12	18	0
642	2025-11-13	IOANNINA (AIRPORT)	18	13	2025-11-13	18	0
642	2025-11-14	IOANNINA (AIRPORT)	18	0	2025-11-14	18	0
642	2025-11-15	IOANNINA (AIRPORT)	18	13	2025-11-15	18	61.2344
642	2025-11-16	IOANNINA (AIRPORT)	18	25	2025-11-16	18	8.61523
642	2025-11-17	IOANNINA (AIRPORT)	18	88	2025-11-17	18	99.9805
