obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	icon_dates	icon_mslp_table_h	icon_mslp_table
606	2025-09-01	SERRAI	21	1010.9	2025-09-01	21	1011.24
606	2025-09-02	SERRAI	21	1011.9	2025-09-02	21	1011.89
606	2025-09-03	SERRAI	21	1010.6	2025-09-03	21	1011.28
606	2025-09-04	SERRAI	21	1012.1	2025-09-04	21	1012.34
606	2025-09-05	SERRAI	21	1014.5	2025-09-05	21	1014.69
606	2025-09-06	SERRAI	21	1017.4	2025-09-06	21	1017.48
606	2025-09-07	SERRAI	21	1016	2025-09-07	21	1016.12
606	2025-09-08	SERRAI	21	1015.2	2025-09-08	21	1016.03
606	2025-09-09	SERRAI	21	1015.6	2025-09-09	21	1015.92
606	2025-09-10	SERRAI	21	1016.3	2025-09-10	21	1016.14
606	2025-09-11	SERRAI	21	1014.1	2025-09-11	21	1014.39
606	2025-09-12	SERRAI	21	1017.8	2025-09-12	21	1017.9
606	2025-09-13	SERRAI	21	1020	2025-09-13	21	1020.19
606	2025-09-14	SERRAI	21	1017.1	2025-09-14	21	1017.4
606	2025-09-15	SERRAI	21	1019	2025-09-15	21	1019.42
606	2025-09-16	SERRAI	21	1016.2	2025-09-16	21	1016.52
606	2025-09-17	SERRAI	21	1017.4	2025-09-17	21	1016.86
606	2025-09-18	SERRAI	21	1024.4	2025-09-18	21	1024.35
606	2025-09-19	SERRAI	21	1026.2	2025-09-19	21	1026.21
606	2025-09-20	SERRAI	21	1023.6	2025-09-20	21	1023.62
606	2025-09-21	SERRAI	21	1019.3	2025-09-21	21	1019.47
606	2025-09-22	SERRAI	21	1017.6	2025-09-22	21	1017.71
606	2025-09-24	SERRAI	21	1014.6	2025-09-24	21	1014.9
606	2025-09-25	SERRAI	21	1019.4	2025-09-25	21	1019.38
606	2025-09-26	SERRAI	21	1022.1	2025-09-26	21	1022.54
606	2025-09-27	SERRAI	21	1021.2	2025-09-27	21	1020.66
606	2025-09-28	SERRAI	21	1016.3	2025-09-28	21	1016.22
606	2025-09-29	SERRAI	21	1017.4	2025-09-29	21	1017.49
606	2025-09-30	SERRAI	21	1019.4	2025-09-30	21	1019.43
613	2025-09-01	FLORINA	21	1015.6	2025-09-01	21	1014.71
613	2025-09-02	FLORINA	21	1014.3	2025-09-02	21	1013.73
613	2025-09-03	FLORINA	21	1016.9	2025-09-03	21	1014.14
613	2025-09-04	FLORINA	21	1015.3	2025-09-04	21	1015.04
613	2025-09-05	FLORINA	21	1018	2025-09-05	21	1017.41
613	2025-09-06	FLORINA	21	1019.8	2025-09-06	21	1019.68
613	2025-09-07	FLORINA	21	1018.5	2025-09-07	21	1018.07
613	2025-09-08	FLORINA	21	1016.1	2025-09-08	21	1016.74
613	2025-09-09	FLORINA	21	1017.7	2025-09-09	21	1017.02
613	2025-09-10	FLORINA	21	1016.7	2025-09-10	21	1016.97
613	2025-09-11	FLORINA	21	1017.7	2025-09-11	21	1016.79
613	2025-09-12	FLORINA	21	1021	2025-09-12	21	1020.26
613	2025-09-13	FLORINA	21	1020.4	2025-09-13	21	1021.12
613	2025-09-14	FLORINA	21	1017.8	2025-09-14	21	1017.95
613	2025-09-15	FLORINA	21	1022.1	2025-09-15	21	1021.6
613	2025-09-16	FLORINA	21	1017.4	2025-09-16	21	1017.54
613	2025-09-17	FLORINA	21	1021.9	2025-09-17	21	1021.55
613	2025-09-18	FLORINA	21	1028.1	2025-09-18	21	1027.36
613	2025-09-19	FLORINA	21	1029.5	2025-09-19	21	1028.26
613	2025-09-20	FLORINA	21	1025.9	2025-09-20	21	1024.99
613	2025-09-21	FLORINA	21	1020.7	2025-09-21	21	1020.62
613	2025-09-22	FLORINA	21	1018.4	2025-09-22	21	1018.52
613	2025-09-24	FLORINA	21	1015.6	2025-09-24	21	1015.55
