obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	ecmwf_dates	ecmwf_mslp_table_h	ecmwf_mslp_table
606	2025-09-01	SERRAI	12	1009.8	2025-09-01	12	1009.78
606	2025-09-02	SERRAI	12	1010.3	2025-09-02	12	1010.86
606	2025-09-03	SERRAI	12	1010	2025-09-03	12	1010.86
606	2025-09-04	SERRAI	12	1010.6	2025-09-04	12	1010.52
606	2025-09-05	SERRAI	12	1012	2025-09-05	12	1012.41
606	2025-09-06	SERRAI	12	1014.4	2025-09-06	12	1014.81
606	2025-09-07	SERRAI	12	1015.3	2025-09-07	12	1015.72
606	2025-09-08	SERRAI	12	1013.3	2025-09-08	12	1014.17
606	2025-09-09	SERRAI	12	1013.5	2025-09-09	12	1014.17
606	2025-09-10	SERRAI	12	1015.4	2025-09-10	12	1015.83
606	2025-09-11	SERRAI	12	1014.6	2025-09-11	12	1014.13
606	2025-09-12	SERRAI	12	1013.8	2025-09-12	12	1014.85
606	2025-09-13	SERRAI	12	1019.3	2025-09-13	12	1019.62
606	2025-09-14	SERRAI	12	1016.7	2025-09-14	12	1017.42
606	2025-09-15	SERRAI	12	1016.3	2025-09-15	12	1017.37
606	2025-09-16	SERRAI	12	1016.7	2025-09-16	12	1017.14
606	2025-09-17	SERRAI	12	1012.1	2025-09-17	12	1012.17
606	2025-09-18	SERRAI	12	1021.1	2025-09-18	12	1021.17
606	2025-09-19	SERRAI	12	1024.5	2025-09-19	12	1024.74
606	2025-09-20	SERRAI	12	1022.9	2025-09-20	12	1023.32
606	2025-09-21	SERRAI	12	1020	2025-09-21	12	1019.81
606	2025-09-22	SERRAI	12	1016.6	2025-09-22	12	1016.59
606	2025-09-23	SERRAI	12	1015	2025-09-23	12	1015.18
606	2025-09-24	SERRAI	12	1013.6	2025-09-24	12	1013.91
606	2025-09-25	SERRAI	12	1016.1	2025-09-25	12	1015.84
606	2025-09-26	SERRAI	12	1021.5	2025-09-26	12	1020.39
606	2025-09-27	SERRAI	12	1021.3	2025-09-27	12	1020.6
606	2025-09-28	SERRAI	12	1016.9	2025-09-28	12	1016.96
606	2025-09-29	SERRAI	12	1014.4	2025-09-29	12	1013.87
606	2025-09-30	SERRAI	12	1018	2025-09-30	12	1018.59
613	2025-09-01	FLORINA	12	1010.7	2025-09-01	12	1012.05
613	2025-09-02	FLORINA	12	1009.8	2025-09-02	12	1012.07
613	2025-09-03	FLORINA	12	1009.8	2025-09-03	12	1012.68
613	2025-09-04	FLORINA	12	1013.7	2025-09-04	12	1013.31
613	2025-09-05	FLORINA	12	1012	2025-09-05	12	1014.29
613	2025-09-06	FLORINA	12	1014.5	2025-09-06	12	1016.64
613	2025-09-07	FLORINA	12	1015.1	2025-09-07	12	1017.14
613	2025-09-08	FLORINA	12	1012.7	2025-09-08	12	1015.25
613	2025-09-09	FLORINA	12	1010.3	2025-09-09	12	1013.37
613	2025-09-10	FLORINA	12	1012.6	2025-09-10	12	1015.28
613	2025-09-11	FLORINA	12	1016.2	2025-09-11	12	1014.41
613	2025-09-12	FLORINA	12	1015.2	2025-09-12	12	1017.02
613	2025-09-13	FLORINA	12	1017.3	2025-09-13	12	1019.97
613	2025-09-14	FLORINA	12	1015.1	2025-09-14	12	1016.86
613	2025-09-15	FLORINA	12	1016.3	2025-09-15	12	1018.82
613	2025-09-16	FLORINA	12	1014.4	2025-09-16	12	1017.3
613	2025-09-17	FLORINA	12	1014.9	2025-09-17	12	1016.08
613	2025-09-18	FLORINA	12	1022.2	2025-09-18	12	1023.25
613	2025-09-19	FLORINA	12	1025	2025-09-19	12	1025.84
613	2025-09-20	FLORINA	12	1022.7	2025-09-20	12	1024.75
613	2025-09-21	FLORINA	12	1018.7	2025-09-21	12	1020.53
613	2025-09-22	FLORINA	12	1014.5	2025-09-22	12	1016.52
613	2025-09-23	FLORINA	12	1013.2	2025-09-23	12	1015.41
613	2025-09-24	FLORINA	12	1011.4	2025-09-24	12	1014.08
613	2025-09-25	FLORINA	12	1013.5	2025-09-25	12	1014.76
613	2025-09-26	FLORINA	12	1021	2025-09-26	12	1020.42
613	2025-09-27	FLORINA	12	1019.7	2025-09-27	12	1019.85
613	2025-09-28	FLORINA	12	1016.7	2025-09-28	12	1015.52
613	2025-09-29	FLORINA	12	1013.7	2025-09-29	12	1014.16
613	2025-09-30	FLORINA	12	1018.1	2025-09-30	12	1019.07
622	2025-09-01	THESSALONIKI (AIRPORT)	12	1010.7	2025-09-01	12	1010.5
622	2025-09-02	THESSALONIKI (AIRPORT)	12	1011.3	2025-09-02	12	1011.37
622	2025-09-03	THESSALONIKI (AIRPORT)	12	1010.9	2025-09-03	12	1011.16
622	2025-09-04	THESSALONIKI (AIRPORT)	12	1011.3	2025-09-04	12	1011.22
622	2025-09-05	THESSALONIKI (AIRPORT)	12	1012.2	2025-09-05	12	1012.68
622	2025-09-06	THESSALONIKI (AIRPORT)	12	1015.4	2025-09-06	12	1015.44
622	2025-09-07	THESSALONIKI (AIRPORT)	12	1015.9	2025-09-07	12	1016.1
622	2025-09-08	THESSALONIKI (AIRPORT)	12	1014.6	2025-09-08	12	1014.97
622	2025-09-09	THESSALONIKI (AIRPORT)	12	1014	2025-09-09	12	1014.62
622	2025-09-10	THESSALONIKI (AIRPORT)	12	1016.1	2025-09-10	12	1016.16
622	2025-09-11	THESSALONIKI (AIRPORT)	12	1015.5	2025-09-11	12	1014.36
622	2025-09-12	THESSALONIKI (AIRPORT)	12	1014.3	2025-09-12	12	1014.71
622	2025-09-13	THESSALONIKI (AIRPORT)	12	1020.2	2025-09-13	12	1020.04
622	2025-09-14	THESSALONIKI (AIRPORT)	12	1017.7	2025-09-14	12	1017.82
622	2025-09-15	THESSALONIKI (AIRPORT)	12	1017	2025-09-15	12	1017.48
622	2025-09-16	THESSALONIKI (AIRPORT)	12	1017.7	2025-09-16	12	1017.73
622	2025-09-17	THESSALONIKI (AIRPORT)	12	1013.1	2025-09-17	12	1013.01
622	2025-09-18	THESSALONIKI (AIRPORT)	12	1021.7	2025-09-18	12	1021.52
622	2025-09-19	THESSALONIKI (AIRPORT)	12	1025.3	2025-09-19	12	1025.24
622	2025-09-20	THESSALONIKI (AIRPORT)	12	1023.7	2025-09-20	12	1023.54
622	2025-09-21	THESSALONIKI (AIRPORT)	12	1020.3	2025-09-21	12	1020.3
622	2025-09-22	THESSALONIKI (AIRPORT)	12	1017.1	2025-09-22	12	1017.13
622	2025-09-23	THESSALONIKI (AIRPORT)	12	1015.8	2025-09-23	12	1015.82
622	2025-09-24	THESSALONIKI (AIRPORT)	12	1014.7	2025-09-24	12	1014.48
622	2025-09-25	THESSALONIKI (AIRPORT)	12	1016.1	2025-09-25	12	1015.78
622	2025-09-26	THESSALONIKI (AIRPORT)	12	1022.1	2025-09-26	12	1021.05
622	2025-09-27	THESSALONIKI (AIRPORT)	12	1021.8	2025-09-27	12	1021.02
622	2025-09-28	THESSALONIKI (AIRPORT)	12	1017.1	2025-09-28	12	1016.79
622	2025-09-29	THESSALONIKI (AIRPORT)	12	1014.9	2025-09-29	12	1014.36
622	2025-09-30	THESSALONIKI (AIRPORT)	12	1018.7	2025-09-30	12	1018.76
624	2025-09-01	CHRYSOPOULI (AIRPORT)	12	1009.9	2025-09-01	12	1010.1
624	2025-09-02	CHRYSOPOULI (AIRPORT)	12	1010.6	2025-09-02	12	1010.45
624	2025-09-03	CHRYSOPOULI (AIRPORT)	12	1010.9	2025-09-03	12	1010.54
624	2025-09-04	CHRYSOPOULI (AIRPORT)	12	1010.7	2025-09-04	12	1009.98
624	2025-09-05	CHRYSOPOULI (AIRPORT)	12	1011.6	2025-09-05	12	1011.69
624	2025-09-06	CHRYSOPOULI (AIRPORT)	12	1015.4	2025-09-06	12	1015.32
624	2025-09-07	CHRYSOPOULI (AIRPORT)	12	1016	2025-09-07	12	1015.73
624	2025-09-08	CHRYSOPOULI (AIRPORT)	12	1014.5	2025-09-08	12	1014.14
624	2025-09-09	CHRYSOPOULI (AIRPORT)	12	1014.5	2025-09-09	12	1014.34
624	2025-09-10	CHRYSOPOULI (AIRPORT)	12	1016.3	2025-09-10	12	1015.98
624	2025-09-11	CHRYSOPOULI (AIRPORT)	12	1014.9	2025-09-11	12	1014.52
624	2025-09-12	CHRYSOPOULI (AIRPORT)	12	1014.3	2025-09-12	12	1014.5
624	2025-09-13	CHRYSOPOULI (AIRPORT)	12	1019.9	2025-09-13	12	1018.97
624	2025-09-14	CHRYSOPOULI (AIRPORT)	12	1017.4	2025-09-14	12	1017.09
624	2025-09-15	CHRYSOPOULI (AIRPORT)	12	1017.5	2025-09-15	12	1017.4
624	2025-09-16	CHRYSOPOULI (AIRPORT)	12	1017.6	2025-09-16	12	1017.11
624	2025-09-17	CHRYSOPOULI (AIRPORT)	12	1012.6	2025-09-17	12	1012.56
624	2025-09-18	CHRYSOPOULI (AIRPORT)	12	1021	2025-09-18	12	1020.86
624	2025-09-19	CHRYSOPOULI (AIRPORT)	12	1024.9	2025-09-19	12	1024.49
624	2025-09-20	CHRYSOPOULI (AIRPORT)	12	1023.3	2025-09-20	12	1022.69
624	2025-09-21	CHRYSOPOULI (AIRPORT)	12	1019.8	2025-09-21	12	1019.42
624	2025-09-22	CHRYSOPOULI (AIRPORT)	12	1017.3	2025-09-22	12	1016.31
624	2025-09-23	CHRYSOPOULI (AIRPORT)	12	1016	2025-09-23	12	1015.5
624	2025-09-24	CHRYSOPOULI (AIRPORT)	12	1014.6	2025-09-24	12	1014.2
624	2025-09-25	CHRYSOPOULI (AIRPORT)	12	1016.5	2025-09-25	12	1015.58
624	2025-09-26	CHRYSOPOULI (AIRPORT)	12	1021.4	2025-09-26	12	1020.67
624	2025-09-27	CHRYSOPOULI (AIRPORT)	12	1020.7	2025-09-27	12	1020.47
624	2025-09-28	CHRYSOPOULI (AIRPORT)	12	1016.7	2025-09-28	12	1016.37
624	2025-09-29	CHRYSOPOULI (AIRPORT)	12	1014.6	2025-09-29	12	1013.95
624	2025-09-30	CHRYSOPOULI (AIRPORT)	12	1018.7	2025-09-30	12	1019.2
627	2025-09-01	ALEXANDROUPOLI (AIRPORT)	12	1009.8	2025-09-01	12	1009.74
627	2025-09-02	ALEXANDROUPOLI (AIRPORT)	12	1009.6	2025-09-02	12	1009.65
627	2025-09-03	ALEXANDROUPOLI (AIRPORT)	12	1010.2	2025-09-03	12	1010.11
627	2025-09-04	ALEXANDROUPOLI (AIRPORT)	12	1009.6	2025-09-04	12	1009.08
627	2025-09-05	ALEXANDROUPOLI (AIRPORT)	12	1011.4	2025-09-05	12	1011
627	2025-09-06	ALEXANDROUPOLI (AIRPORT)	12	1015.6	2025-09-06	12	1015.62
627	2025-09-07	ALEXANDROUPOLI (AIRPORT)	12	1015.6	2025-09-07	12	1015.53
627	2025-09-08	ALEXANDROUPOLI (AIRPORT)	12	1013.6	2025-09-08	12	1013.5
627	2025-09-09	ALEXANDROUPOLI (AIRPORT)	12	1013.9	2025-09-09	12	1013.92
627	2025-09-10	ALEXANDROUPOLI (AIRPORT)	12	1016	2025-09-10	12	1015.91
627	2025-09-11	ALEXANDROUPOLI (AIRPORT)	12	1014.5	2025-09-11	12	1014.23
627	2025-09-12	ALEXANDROUPOLI (AIRPORT)	12	1014	2025-09-12	12	1014.28
627	2025-09-13	ALEXANDROUPOLI (AIRPORT)	12	1019.5	2025-09-13	12	1018.9
