obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	icon_dates	icon_mslp_table_h	icon_mslp_table
606	2025-11-01	SERRAI	12	1022.5	2025-11-01	12	1022.39
606	2025-11-02	SERRAI	12	1020.6	2025-11-02	12	1020.97
606	2025-11-03	SERRAI	12	1018	2025-11-03	12	1018.18
606	2025-11-04	SERRAI	12	1019.8	2025-11-04	12	1019.99
606	2025-11-05	SERRAI	12	1022	2025-11-05	12	1022.04
606	2025-11-06	SERRAI	12	1017.3	2025-11-06	12	1017.36
606	2025-11-07	SERRAI	12	1016.2	2025-11-07	12	1015.84
606	2025-11-08	SERRAI	12	1015.6	2025-11-08	12	1015.57
606	2025-11-09	SERRAI	12	1017.9	2025-11-09	12	1018.38
606	2025-11-10	SERRAI	12	1013.8	2025-11-10	12	1013.23
606	2025-11-11	SERRAI	12	1013	2025-11-11	12	1012.95
606	2025-11-12	SERRAI	12	1021.3	2025-11-12	12	1021.6
606	2025-11-13	SERRAI	12	1023	2025-11-13	12	1023.46
606	2025-11-14	SERRAI	12	1020.1	2025-11-14	12	1021.02
606	2025-11-15	SERRAI	12	1017.6	2025-11-15	12	1018.03
606	2025-11-16	SERRAI	12	1018	2025-11-16	12	1018.28
606	2025-11-17	SERRAI	12	1018.1	2025-11-17	12	1018.25
606	2025-11-18	SERRAI	12	1017.2	2025-11-18	12	1016.92
606	2025-11-19	SERRAI	12	1016.1	2025-11-19	12	1015.26
606	2025-11-20	SERRAI	12	1014.8	2025-11-20	12	1014.24
606	2025-11-24	SERRAI	12	1017	2025-11-24	12	1017.93
606	2025-11-25	SERRAI	12	1015.4	2025-11-25	12	1015.76
606	2025-11-26	SERRAI	12	1009.7	2025-11-26	12	1010.41
606	2025-11-27	SERRAI	12	1011.3	2025-11-27	12	1011.63
606	2025-11-28	SERRAI	12	1012.8	2025-11-28	12	1013.19
613	2025-11-01	FLORINA	12	1021.5	2025-11-01	12	1022.12
613	2025-11-02	FLORINA	12	1018.5	2025-11-02	12	1020.32
613	2025-11-03	FLORINA	12	1016.1	2025-11-03	12	1017.06
613	2025-11-04	FLORINA	12	1024	2025-11-04	12	1022.95
613	2025-11-05	FLORINA	12	1024.5	2025-11-05	12	1024.35
613	2025-11-06	FLORINA	12	1017.5	2025-11-06	12	1016.78
613	2025-11-07	FLORINA	12	1014.6	2025-11-07	12	1013.61
613	2025-11-08	FLORINA	12	1013.3	2025-11-08	12	1012.84
613	2025-11-09	FLORINA	12	1016.9	2025-11-09	12	1016.76
613	2025-11-10	FLORINA	12	1013	2025-11-10	12	1011.16
613	2025-11-11	FLORINA	12	1015.8	2025-11-11	12	1015.33
613	2025-11-12	FLORINA	12	1021.9	2025-11-12	12	1022.51
613	2025-11-13	FLORINA	12	1022.8	2025-11-13	12	1023.99
613	2025-11-14	FLORINA	12	1020.1	2025-11-14	12	1021.29
613	2025-11-15	FLORINA	12	1017.3	2025-11-15	12	1018
613	2025-11-16	FLORINA	12	1017.1	2025-11-16	12	1018.17
613	2025-11-17	FLORINA	12	1013.3	2025-11-17	12	1014.55
613	2025-11-18	FLORINA	12	1015.9	2025-11-18	12	1014.3
613	2025-11-19	FLORINA	12	1015.4	2025-11-19	12	1012.97
613	2025-11-20	FLORINA	12	1012.1	2025-11-20	12	1011.78
613	2025-11-21	FLORINA	12	1012.1	2025-11-21	12	1010.8
613	2025-11-22	FLORINA	12	1011.8	2025-11-22	12	1011.22
613	2025-11-23	FLORINA	12	1013.2	2025-11-23	12	1012.64
613	2025-11-24	FLORINA	12	1017.3	2025-11-24	12	1017.65
613	2025-11-25	FLORINA	12	1012.8	2025-11-25	12	1012.21
613	2025-11-26	FLORINA	12	1009.3	2025-11-26	12	1008.08
613	2025-11-27	FLORINA	12	1011.6	2025-11-27	12	1010.01
613	2025-11-28	FLORINA	12	1015.2	2025-11-28	12	1013.92
613	2025-11-29	FLORINA	12	1011.4	2025-11-29	12	1010.71
613	2025-11-30	FLORINA	12	1014.4	2025-11-30	12	1014.43
622	2025-11-01	THESSALONIKI (AIRPORT)	12	1022.7	2025-11-01	12	1022.35
622	2025-11-02	THESSALONIKI (AIRPORT)	12	1021.2	2025-11-02	12	1020.78
622	2025-11-03	THESSALONIKI (AIRPORT)	12	1018.3	2025-11-03	12	1017.84
622	2025-11-04	THESSALONIKI (AIRPORT)	12	1019.7	2025-11-04	12	1019.71
622	2025-11-05	THESSALONIKI (AIRPORT)	12	1022.4	2025-11-05	12	1022.2
622	2025-11-06	THESSALONIKI (AIRPORT)	12	1017.3	2025-11-06	12	1017.25
622	2025-11-07	THESSALONIKI (AIRPORT)	12	1015.7	2025-11-07	12	1015.55
622	2025-11-08	THESSALONIKI (AIRPORT)	12	1014.5	2025-11-08	12	1014.39
622	2025-11-09	THESSALONIKI (AIRPORT)	12	1017.7	2025-11-09	12	1017.89
622	2025-11-10	THESSALONIKI (AIRPORT)	12	1013.2	2025-11-10	12	1012.11
622	2025-11-11	THESSALONIKI (AIRPORT)	12	1014	2025-11-11	12	1013.84
622	2025-11-12	THESSALONIKI (AIRPORT)	12	1021.5	2025-11-12	12	1021.51
622	2025-11-13	THESSALONIKI (AIRPORT)	12	1023.2	2025-11-13	12	1023.33
