obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	ecmwf_dates	ecmwf_mslp_table_h	ecmwf_mslp_table
606	2025-10-02	SERRAI	9	1013	2025-10-01	33	1012.85
606	2025-10-03	SERRAI	9	1006.1	2025-10-02	33	1004.11
606	2025-10-04	SERRAI	9	1015.4	2025-10-03	33	1015.14
606	2025-10-05	SERRAI	9	1017.3	2025-10-04	33	1017.49
606	2025-10-06	SERRAI	9	1011.9	2025-10-05	33	1010.81
606	2025-10-07	SERRAI	9	1009.8	2025-10-06	33	1009.37
606	2025-10-08	SERRAI	9	1008.8	2025-10-07	33	1009.08
606	2025-10-09	SERRAI	9	1016.6	2025-10-08	33	1017.05
606	2025-10-10	SERRAI	9	1025	2025-10-09	33	1024.79
606	2025-10-11	SERRAI	9	1021.6	2025-10-10	33	1021.5
606	2025-10-12	SERRAI	9	1024.2	2025-10-11	33	1024.66
606	2025-10-13	SERRAI	9	1020.8	2025-10-12	33	1020.55
606	2025-10-14	SERRAI	9	1021.2	2025-10-13	33	1020.89
606	2025-10-15	SERRAI	9	1022	2025-10-14	33	1021.6
606	2025-10-16	SERRAI	9	1023.8	2025-10-15	33	1023.59
606	2025-10-17	SERRAI	9	1022.6	2025-10-16	33	1021.5
606	2025-10-18	SERRAI	9	1020.9	2025-10-17	33	1020.2
606	2025-10-19	SERRAI	9	1021	2025-10-18	33	1020.66
606	2025-10-20	SERRAI	9	1018.6	2025-10-19	33	1019.16
606	2025-10-21	SERRAI	9	1016.4	2025-10-20	33	1016.03
606	2025-10-22	SERRAI	9	1014.8	2025-10-21	33	1014.01
606	2025-10-23	SERRAI	9	1012.8	2025-10-22	33	1012.21
606	2025-10-24	SERRAI	9	1006.6	2025-10-23	33	1007.16
606	2025-10-26	SERRAI	9	1011.6	2025-10-25	33	1011.08
606	2025-10-27	SERRAI	9	1006.6	2025-10-26	33	1004.77
606	2025-10-28	SERRAI	9	1013.6	2025-10-27	33	1011.62
606	2025-10-29	SERRAI	9	1024.9	2025-10-28	33	1024.37
606	2025-10-30	SERRAI	9	1022.3	2025-10-29	33	1021.63
606	2025-10-31	SERRAI	9	1022.2	2025-10-30	33	1021.22
613	2025-10-02	FLORINA	9	1015	2025-10-01	33	1014.52
613	2025-10-03	FLORINA	9	1010.5	2025-10-02	33	1009.44
613	2025-10-04	FLORINA	9	1017.7	2025-10-03	33	1017.63
613	2025-10-05	FLORINA	9	1016.7	2025-10-04	33	1016.95
613	2025-10-06	FLORINA	9	1011.5	2025-10-05	33	1009.52
613	2025-10-07	FLORINA	9	1013.7	2025-10-06	33	1013.26
613	2025-10-08	FLORINA	9	1013.8	2025-10-07	33	1013
613	2025-10-09	FLORINA	9	1019.7	2025-10-08	33	1019.55
613	2025-10-10	FLORINA	9	1026.6	2025-10-09	33	1025.86
613	2025-10-11	FLORINA	9	1025	2025-10-10	33	1024.65
613	2025-10-12	FLORINA	9	1026.5	2025-10-11	33	1025.96
613	2025-10-13	FLORINA	9	1023.8	2025-10-12	33	1021.52
613	2025-10-14	FLORINA	9	1022.3	2025-10-13	33	1021.87
613	2025-10-15	FLORINA	9	1022.2	2025-10-14	33	1021.68
613	2025-10-16	FLORINA	9	1022.8	2025-10-15	33	1023.26
613	2025-10-17	FLORINA	9	1021.8	2025-10-16	33	1020.17
613	2025-10-18	FLORINA	9	1018.5	2025-10-17	33	1019.8
613	2025-10-19	FLORINA	9	1024.4	2025-10-18	33	1021.97
613	2025-10-20	FLORINA	9	1019.3	2025-10-19	33	1017.71
613	2025-10-21	FLORINA	9	1013.6	2025-10-20	33	1014.86
