obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	icon_dates	icon_mslp_table_h	icon_mslp_table
606	2025-09-02	SERRAI	0	1011.5	2025-09-01	24	1011.46
606	2025-09-03	SERRAI	0	1011.9	2025-09-02	24	1011.77
606	2025-09-04	SERRAI	0	1011.3	2025-09-03	24	1011.39
606	2025-09-05	SERRAI	0	1012.6	2025-09-04	24	1012.36
606	2025-09-06	SERRAI	0	1015.3	2025-09-05	24	1015.37
606	2025-09-07	SERRAI	0	1018.2	2025-09-06	24	1017.72
606	2025-09-08	SERRAI	0	1016.2	2025-09-07	24	1015.78
606	2025-09-09	SERRAI	0	1015.4	2025-09-08	24	1015.47
606	2025-09-10	SERRAI	0	1016.6	2025-09-09	24	1016.21
606	2025-09-11	SERRAI	0	1015.5	2025-09-10	24	1015.6
606	2025-09-12	SERRAI	0	1013.8	2025-09-11	24	1014.22
606	2025-09-13	SERRAI	0	1018.8	2025-09-12	24	1018.49
606	2025-09-14	SERRAI	0	1020.5	2025-09-13	24	1020.33
606	2025-09-15	SERRAI	0	1017.8	2025-09-14	24	1017.42
606	2025-09-16	SERRAI	0	1019.5	2025-09-15	24	1019.46
606	2025-09-17	SERRAI	0	1015.4	2025-09-16	24	1015.71
606	2025-09-18	SERRAI	0	1018.5	2025-09-17	24	1018.09
606	2025-09-19	SERRAI	0	1025.3	2025-09-18	24	1025.04
606	2025-09-20	SERRAI	0	1026.4	2025-09-19	24	1026.09
606	2025-09-21	SERRAI	0	1023.9	2025-09-20	24	1023.53
606	2025-09-22	SERRAI	0	1019	2025-09-21	24	1018.91
606	2025-09-23	SERRAI	0	1017.2	2025-09-22	24	1017.59
606	2025-09-25	SERRAI	0	1015.3	2025-09-24	24	1015.24
606	2025-09-26	SERRAI	0	1020.2	2025-09-25	24	1020.22
606	2025-09-27	SERRAI	0	1022.2	2025-09-26	24	1022.3
606	2025-09-28	SERRAI	0	1020	2025-09-27	24	1019.6
606	2025-09-29	SERRAI	0	1015.5	2025-09-28	24	1015.76
606	2025-09-30	SERRAI	0	1017.9	2025-09-29	24	1018
613	2025-09-02	FLORINA	0	1016.3	2025-09-01	24	1014.86
613	2025-09-03	FLORINA	0	1013.6	2025-09-02	24	1013.21
613	2025-09-04	FLORINA	0	1015.3	2025-09-03	24	1014.06
613	2025-09-05	FLORINA	0	1015.8	2025-09-04	24	1015.02
613	2025-09-06	FLORINA	0	1019.1	2025-09-05	24	1017.86
613	2025-09-07	FLORINA	0	1021.4	2025-09-06	24	1019.99
613	2025-09-08	FLORINA	0	1019.2	2025-09-07	24	1017.78
613	2025-09-09	FLORINA	0	1016.2	2025-09-08	24	1015.98
613	2025-09-10	FLORINA	0	1019	2025-09-09	24	1017.36
613	2025-09-11	FLORINA	0	1015.6	2025-09-10	24	1016.4
613	2025-09-12	FLORINA	0	1018.1	2025-09-11	24	1017.1
613	2025-09-13	FLORINA	0	1022.4	2025-09-12	24	1020.78
613	2025-09-14	FLORINA	0	1020.7	2025-09-13	24	1021.04
613	2025-09-15	FLORINA	0	1019.1	2025-09-14	24	1018.63
613	2025-09-16	FLORINA	0	1022.7	2025-09-15	24	1021.58
613	2025-09-17	FLORINA	0	1017.1	2025-09-16	24	1016.76
613	2025-09-18	FLORINA	0	1024.1	2025-09-17	24	1023.06
613	2025-09-19	FLORINA	0	1028.4	2025-09-18	24	1028.13
613	2025-09-20	FLORINA	0	1029.5	2025-09-19	24	1027.94
613	2025-09-21	FLORINA	0	1024.8	2025-09-20	24	1024.46
613	2025-09-22	FLORINA	0	1021	2025-09-21	24	1020
613	2025-09-23	FLORINA	0	1018.7	2025-09-22	24	1018.64
613	2025-09-25	FLORINA	0	1016.3	2025-09-24	24	1015.69
613	2025-09-26	FLORINA	0	1019.7	2025-09-25	24	1020.04
613	2025-09-27	FLORINA	0	1021.7	2025-09-26	24	1021.87
613	2025-09-28	FLORINA	0	1020.1	2025-09-27	24	1019.04
613	2025-09-29	FLORINA	0	1015.4	2025-09-28	24	1014.72
613	2025-09-30	FLORINA	0	1020.6	2025-09-29	24	1019.11
622	2025-09-02	THESSALONIKI (AIRPORT)	0	1011.2	2025-09-01	24	1011.22
622	2025-09-03	THESSALONIKI (AIRPORT)	0	1011.5	2025-09-02	24	1011.44
622	2025-09-04	THESSALONIKI (AIRPORT)	0	1011.5	2025-09-03	24	1011.04
622	2025-09-05	THESSALONIKI (AIRPORT)	0	1011.9	2025-09-04	24	1011.99
622	2025-09-06	THESSALONIKI (AIRPORT)	0	1014.8	2025-09-05	24	1014.8
