obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	icon_dates	icon_mslp_table_h	icon_mslp_table
606	2025-10-01	SERRAI	12	1018.8	2025-10-01	12	1018.42
606	2025-10-02	SERRAI	12	1010.7	2025-10-02	12	1011.25
606	2025-10-03	SERRAI	12	1006.3	2025-10-03	12	1005.59
606	2025-10-04	SERRAI	12	1014.7	2025-10-04	12	1014.73
606	2025-10-05	SERRAI	12	1014.9	2025-10-05	12	1015.56
606	2025-10-06	SERRAI	12	1010.8	2025-10-06	12	1011
606	2025-10-07	SERRAI	12	1009.3	2025-10-07	12	1009.07
606	2025-10-08	SERRAI	12	1008.8	2025-10-08	12	1008.06
606	2025-10-09	SERRAI	12	1016.1	2025-10-09	12	1016.62
606	2025-10-10	SERRAI	12	1022.6	2025-10-10	12	1023.42
606	2025-10-11	SERRAI	12	1020.7	2025-10-11	12	1021.34
606	2025-10-12	SERRAI	12	1022.4	2025-10-12	12	1022.83
606	2025-10-13	SERRAI	12	1019.6	2025-10-13	12	1019.86
606	2025-10-14	SERRAI	12	1019.2	2025-10-14	12	1019.61
606	2025-10-15	SERRAI	12	1020.8	2025-10-15	12	1020.78
606	2025-10-16	SERRAI	12	1021.8	2025-10-16	12	1022.11
606	2025-10-17	SERRAI	12	1021	2025-10-17	12	1021.35
606	2025-10-18	SERRAI	12	1019.5	2025-10-18	12	1019.14
606	2025-10-19	SERRAI	12	1018.7	2025-10-19	12	1018.96
606	2025-10-20	SERRAI	12	1016.6	2025-10-20	12	1016.79
606	2025-10-21	SERRAI	12	1015	2025-10-21	12	1015.1
606	2025-10-22	SERRAI	12	1013.2	2025-10-22	12	1013.28
606	2025-10-23	SERRAI	12	1010.3	2025-10-23	12	1010.84
606	2025-10-24	SERRAI	12	1005.5	2025-10-24	12	1005.91
606	2025-10-26	SERRAI	12	1008.9	2025-10-26	12	1009.79
606	2025-10-27	SERRAI	12	1006	2025-10-27	12	1006.58
606	2025-10-28	SERRAI	12	1013.7	2025-10-28	12	1013.97
606	2025-10-29	SERRAI	12	1022.8	2025-10-29	12	1023.45
606	2025-10-30	SERRAI	12	1019.6	2025-10-30	12	1020.34
