obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	ecmwf_dates	ecmwf_mslp_table_h	ecmwf_mslp_table
606	2025-10-02	SERRAI	15	1009.3	2025-10-01	39	1008.64
606	2025-10-03	SERRAI	15	1007.3	2025-10-02	39	1005.89
606	2025-10-04	SERRAI	15	1015	2025-10-03	39	1015.25
606	2025-10-05	SERRAI	15	1013.4	2025-10-04	39	1014.53
606	2025-10-06	SERRAI	15	1010.4	2025-10-05	39	1008.45
606	2025-10-07	SERRAI	15	1009.2	2025-10-06	39	1008.72
606	2025-10-08	SERRAI	15	1010	2025-10-07	39	1009.28
606	2025-10-09	SERRAI	15	1016.5	2025-10-08	39	1016.37
606	2025-10-10	SERRAI	15	1022	2025-10-09	39	1021.99
606	2025-10-11	SERRAI	15	1020.7	2025-10-10	39	1020.17
606	2025-10-12	SERRAI	15	1021.7	2025-10-11	39	1021.9
606	2025-10-13	SERRAI	15	1019.1	2025-10-12	39	1018.81
606	2025-10-14	SERRAI	15	1018.4	2025-10-13	39	1018.47
606	2025-10-15	SERRAI	15	1020.4	2025-10-14	39	1020.31
606	2025-10-16	SERRAI	15	1021.8	2025-10-15	39	1022.33
606	2025-10-17	SERRAI	15	1020.3	2025-10-16	39	1019.09
606	2025-10-18	SERRAI	15	1018.8	2025-10-17	39	1017.86
606	2025-10-19	SERRAI	15	1018	2025-10-18	39	1018.53
606	2025-10-20	SERRAI	15	1015.5	2025-10-19	39	1016.68
606	2025-10-21	SERRAI	15	1014.3	2025-10-20	39	1014.15
606	2025-10-22	SERRAI	15	1012.6	2025-10-21	39	1012.52
606	2025-10-23	SERRAI	15	1008.5	2025-10-22	39	1009.3
606	2025-10-26	SERRAI	15	1007.9	2025-10-25	39	1007.83
606	2025-10-27	SERRAI	15	1006.6	2025-10-26	39	1006.33
606	2025-10-28	SERRAI	15	1015.4	2025-10-27	39	1014.05
606	2025-10-29	SERRAI	15	1022.1	2025-10-28	39	1022.5
606	2025-10-30	SERRAI	15	1018.5	2025-10-29	39	1018.81
606	2025-10-31	SERRAI	15	1019.7	2025-10-30	39	1019.63
613	2025-10-02	FLORINA	15	1012.3	2025-10-01	39	1011.43
613	2025-10-03	FLORINA	15	1010.9	2025-10-02	39	1010.1
613	2025-10-04	FLORINA	15	1016.1	2025-10-03	39	1015.79
613	2025-10-05	FLORINA	15	1012.3	2025-10-04	39	1012.56
613	2025-10-06	FLORINA	15	1015.5	2025-10-05	39	1011.03
613	2025-10-07	FLORINA	15	1013.3	2025-10-06	39	1012.99
613	2025-10-08	FLORINA	15	1014.5	2025-10-07	39	1013.87
613	2025-10-09	FLORINA	15	1018.4	2025-10-08	39	1018.57
613	2025-10-10	FLORINA	15	1023.1	2025-10-09	39	1023.42
613	2025-10-11	FLORINA	15	1023.9	2025-10-10	39	1022.98
613	2025-10-12	FLORINA	15	1023.4	2025-10-11	39	1022.79
613	2025-10-13	FLORINA	15	1021.5	2025-10-12	39	1019.44
613	2025-10-14	FLORINA	15	1019.4	2025-10-13	39	1018.56
