obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	icon_dates	icon_mslp_table_h	icon_mslp_table
606	2025-09-01	SERRAI	12	1009.8	2025-09-01	12	1009.98
606	2025-09-02	SERRAI	12	1010.3	2025-09-02	12	1010.56
606	2025-09-03	SERRAI	12	1010	2025-09-03	12	1010.57
606	2025-09-04	SERRAI	12	1010.6	2025-09-04	12	1010.72
606	2025-09-05	SERRAI	12	1012	2025-09-05	12	1012.19
606	2025-09-06	SERRAI	12	1014.4	2025-09-06	12	1014.78
606	2025-09-07	SERRAI	12	1015.3	2025-09-07	12	1015.88
606	2025-09-08	SERRAI	12	1013.3	2025-09-08	12	1013.84
606	2025-09-09	SERRAI	12	1013.5	2025-09-09	12	1013.88
606	2025-09-10	SERRAI	12	1015.4	2025-09-10	12	1015.55
606	2025-09-11	SERRAI	12	1014.6	2025-09-11	12	1014.69
606	2025-09-12	SERRAI	12	1013.8	2025-09-12	12	1014.56
606	2025-09-13	SERRAI	12	1019.3	2025-09-13	12	1019.3
606	2025-09-14	SERRAI	12	1016.7	2025-09-14	12	1017.25
606	2025-09-15	SERRAI	12	1016.3	2025-09-15	12	1016.9
606	2025-09-16	SERRAI	12	1016.7	2025-09-16	12	1017.06
606	2025-09-17	SERRAI	12	1012.1	2025-09-17	12	1012.8
606	2025-09-18	SERRAI	12	1021.1	2025-09-18	12	1020.93
606	2025-09-19	SERRAI	12	1024.5	2025-09-19	12	1024.81
606	2025-09-20	SERRAI	12	1022.9	2025-09-20	12	1023.41
606	2025-09-21	SERRAI	12	1020	2025-09-21	12	1020.1
606	2025-09-22	SERRAI	12	1016.6	2025-09-22	12	1016.59
606	2025-09-23	SERRAI	12	1015	2025-09-23	12	1015.18
606	2025-09-24	SERRAI	12	1013.6	2025-09-24	12	1013.76
606	2025-09-25	SERRAI	12	1016.1	2025-09-25	12	1015.95
606	2025-09-26	SERRAI	12	1021.5	2025-09-26	12	1021.52
606	2025-09-27	SERRAI	12	1021.3	2025-09-27	12	1021.48
606	2025-09-28	SERRAI	12	1016.9	2025-09-28	12	1017.3
606	2025-09-29	SERRAI	12	1014.4	2025-09-29	12	1014.38
606	2025-09-30	SERRAI	12	1018	2025-09-30	12	1018.75
613	2025-09-01	FLORINA	12	1010.7	2025-09-01	12	1012.09
613	2025-09-02	FLORINA	12	1009.8	2025-09-02	12	1012.15
613	2025-09-03	FLORINA	12	1009.8	2025-09-03	12	1013.15
613	2025-09-04	FLORINA	12	1013.7	2025-09-04	12	1013.88
613	2025-09-05	FLORINA	12	1012	2025-09-05	12	1014.3
613	2025-09-06	FLORINA	12	1014.5	2025-09-06	12	1016.84
613	2025-09-07	FLORINA	12	1015.1	2025-09-07	12	1017.15
613	2025-09-08	FLORINA	12	1012.7	2025-09-08	12	1015.22
613	2025-09-09	FLORINA	12	1010.3	2025-09-09	12	1013.32
613	2025-09-10	FLORINA	12	1012.6	2025-09-10	12	1015.71
613	2025-09-11	FLORINA	12	1016.2	2025-09-11	12	1016.37
613	2025-09-12	FLORINA	12	1015.2	2025-09-12	12	1016.98
613	2025-09-13	FLORINA	12	1017.3	2025-09-13	12	1020.06
613	2025-09-14	FLORINA	12	1015.1	2025-09-14	12	1017.08
613	2025-09-15	FLORINA	12	1016.3	2025-09-15	12	1018.86
613	2025-09-16	FLORINA	12	1014.4	2025-09-16	12	1017.35
613	2025-09-17	FLORINA	12	1014.9	2025-09-17	12	1016.57
613	2025-09-18	FLORINA	12	1022.2	2025-09-18	12	1023.39
613	2025-09-19	FLORINA	12	1025	2025-09-19	12	1026.21
613	2025-09-20	FLORINA	12	1022.7	2025-09-20	12	1024.68
613	2025-09-21	FLORINA	12	1018.7	2025-09-21	12	1020.57
613	2025-09-22	FLORINA	12	1014.5	2025-09-22	12	1016.4
613	2025-09-23	FLORINA	12	1013.2	2025-09-23	12	1015.36
613	2025-09-24	FLORINA	12	1011.4	2025-09-24	12	1013.89
613	2025-09-25	FLORINA	12	1013.5	2025-09-25	12	1015.06
613	2025-09-26	FLORINA	12	1021	2025-09-26	12	1020.78
613	2025-09-27	FLORINA	12	1019.7	2025-09-27	12	1020.32
613	2025-09-28	FLORINA	12	1016.7	2025-09-28	12	1015.84
613	2025-09-29	FLORINA	12	1013.7	2025-09-29	12	1014.19
613	2025-09-30	FLORINA	12	1018.1	2025-09-30	12	1019.36
622	2025-09-01	THESSALONIKI (AIRPORT)	12	1010.7	2025-09-01	12	1010.38
622	2025-09-02	THESSALONIKI (AIRPORT)	12	1011.3	2025-09-02	12	1011.01
622	2025-09-03	THESSALONIKI (AIRPORT)	12	1010.9	2025-09-03	12	1010.94
622	2025-09-04	THESSALONIKI (AIRPORT)	12	1011.3	2025-09-04	12	1011.58
622	2025-09-05	THESSALONIKI (AIRPORT)	12	1012.2	2025-09-05	12	1012.44
