obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	icon_dates	icon_mslp_table_h	icon_mslp_table
624	2025-11-03	CHRYSOPOULI (AIRPORT)	21	1018.6	2025-11-02	45	1018.77
624	2025-11-04	CHRYSOPOULI (AIRPORT)	21	1021.5	2025-11-03	45	1021.98
624	2025-11-05	CHRYSOPOULI (AIRPORT)	21	1021.4	2025-11-04	45	1021.38
624	2025-11-06	CHRYSOPOULI (AIRPORT)	21	1017	2025-11-05	45	1016.82
624	2025-11-07	CHRYSOPOULI (AIRPORT)	21	1017.5	2025-11-06	45	1017.76
624	2025-11-08	CHRYSOPOULI (AIRPORT)	21	1016.9	2025-11-07	45	1017.03
624	2025-11-09	CHRYSOPOULI (AIRPORT)	21	1018.3	2025-11-08	45	1018.15
624	2025-11-10	CHRYSOPOULI (AIRPORT)	21	1012.2	2025-11-09	45	1011.82
624	2025-11-11	CHRYSOPOULI (AIRPORT)	21	1016.9	2025-11-10	45	1016.95
624	2025-11-12	CHRYSOPOULI (AIRPORT)	21	1022.7	2025-11-11	45	1022.94
624	2025-11-13	CHRYSOPOULI (AIRPORT)	21	1022.3	2025-11-12	45	1023.18
624	2025-11-14	CHRYSOPOULI (AIRPORT)	21	1020.3	2025-11-13	45	1021.22
624	2025-11-15	CHRYSOPOULI (AIRPORT)	21	1016.9	2025-11-14	45	1017.93
624	2025-11-16	CHRYSOPOULI (AIRPORT)	21	1019.1	2025-11-15	45	1019.83
624	2025-11-17	CHRYSOPOULI (AIRPORT)	21	1016.7	2025-11-16	45	1017.21
624	2025-11-18	CHRYSOPOULI (AIRPORT)	21	1015	2025-11-17	45	1016.57
624	2025-11-19	CHRYSOPOULI (AIRPORT)	21	1015.9	2025-11-18	45	1015.49
624	2025-11-26	CHRYSOPOULI (AIRPORT)	21	1011.8	2025-11-25	45	1011.9
624	2025-11-27	CHRYSOPOULI (AIRPORT)	21	1014.7	2025-11-26	45	1013.93
624	2025-11-28	CHRYSOPOULI (AIRPORT)	21	1011.4	2025-11-27	45	1012.76
627	2025-11-02	ALEXANDROUPOLI (AIRPORT)	21	1019.6	2025-11-01	45	1020.01
627	2025-11-03	ALEXANDROUPOLI (AIRPORT)	21	1018.6	2025-11-02	45	1018.77
627	2025-11-04	ALEXANDROUPOLI (AIRPORT)	21	1021.3	2025-11-03	45	1022.41
627	2025-11-05	ALEXANDROUPOLI (AIRPORT)	21	1021.1	2025-11-04	45	1021.36
627	2025-11-06	ALEXANDROUPOLI (AIRPORT)	21	1015.9	2025-11-05	45	1016.49
627	2025-11-07	ALEXANDROUPOLI (AIRPORT)	21	1016.9	2025-11-06	45	1017.8
627	2025-11-08	ALEXANDROUPOLI (AIRPORT)	21	1017.3	2025-11-07	45	1017.98
627	2025-11-09	ALEXANDROUPOLI (AIRPORT)	21	1018.9	2025-11-08	45	1018.78
627	2025-11-10	ALEXANDROUPOLI (AIRPORT)	21	1012.6	2025-11-09	45	1013.31
627	2025-11-11	ALEXANDROUPOLI (AIRPORT)	21	1017.1	2025-11-10	45	1016.92
627	2025-11-12	ALEXANDROUPOLI (AIRPORT)	21	1022.6	2025-11-11	45	1023.04
627	2025-11-13	ALEXANDROUPOLI (AIRPORT)	21	1022	2025-11-12	45	1023.22
627	2025-11-14	ALEXANDROUPOLI (AIRPORT)	21	1019.5	2025-11-13	45	1021.56
627	2025-11-15	ALEXANDROUPOLI (AIRPORT)	21	1016.7	2025-11-14	45	1017.92
627	2025-11-16	ALEXANDROUPOLI (AIRPORT)	21	1018.7	2025-11-15	45	1019.65
627	2025-11-17	ALEXANDROUPOLI (AIRPORT)	21	1017.8	2025-11-16	45	1018.21
627	2025-11-18	ALEXANDROUPOLI (AIRPORT)	21	1015.9	2025-11-17	45	1017.15
627	2025-11-19	ALEXANDROUPOLI (AIRPORT)	21	1016.3	2025-11-18	45	1016.1
627	2025-11-20	ALEXANDROUPOLI (AIRPORT)	21	1016.2	2025-11-19	45	1016.66
627	2025-11-21	ALEXANDROUPOLI (AIRPORT)	21	1015.9	2025-11-20	45	1015.32
627	2025-11-22	ALEXANDROUPOLI (AIRPORT)	21	1014.6	2025-11-21	45	1014.93
627	2025-11-23	ALEXANDROUPOLI (AIRPORT)	21	1013.9	2025-11-22	45	1014.98
627	2025-11-24	ALEXANDROUPOLI (AIRPORT)	21	1018.5	2025-11-23	45	1018.68
627	2025-11-25	ALEXANDROUPOLI (AIRPORT)	21	1014.5	2025-11-24	45	1014.29
627	2025-11-26	ALEXANDROUPOLI (AIRPORT)	21	1013.5	2025-11-25	45	1013.7
627	2025-11-27	ALEXANDROUPOLI (AIRPORT)	21	1015.5	2025-11-26	45	1015.6
627	2025-11-28	ALEXANDROUPOLI (AIRPORT)	21	1013.1	2025-11-27	45	1014.45
627	2025-11-29	ALEXANDROUPOLI (AIRPORT)	21	1008	2025-11-28	45	1009.14
627	2025-11-30	ALEXANDROUPOLI (AIRPORT)	21	1014	2025-11-29	45	1015.51
632	2025-11-02	KOZANI (AIRPORT)	21	1022.2	2025-11-01	45	1020.41
632	2025-11-03	KOZANI (AIRPORT)	21	1020.1	2025-11-02	45	1018.8
632	2025-11-04	KOZANI (AIRPORT)	21	1024.6	2025-11-03	45	1023.22
632	2025-11-05	KOZANI (AIRPORT)	21	1022.9	2025-11-04	45	1021.81
