obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	icon_dates	icon_mslp_table_h	icon_mslp_table
606	2025-11-01	SERRAI	9	1024.1	2025-11-01	9	1023.86
606	2025-11-02	SERRAI	9	1023.3	2025-11-02	9	1022.98
606	2025-11-03	SERRAI	9	1019.9	2025-11-03	9	1019.65
606	2025-11-04	SERRAI	9	1020.4	2025-11-04	9	1020.45
606	2025-11-05	SERRAI	9	1024	2025-11-05	9	1023.49
606	2025-11-06	SERRAI	9	1019.4	2025-11-06	9	1019.05
606	2025-11-07	SERRAI	9	1017.4	2025-11-07	9	1016.97
606	2025-11-08	SERRAI	9	1015.9	2025-11-08	9	1016.31
606	2025-11-09	SERRAI	9	1019.4	2025-11-09	9	1019.21
606	2025-11-10	SERRAI	9	1015.6	2025-11-10	9	1014.94
606	2025-11-11	SERRAI	9	1013.2	2025-11-11	9	1013.04
606	2025-11-12	SERRAI	9	1023	2025-11-12	9	1022.84
606	2025-11-13	SERRAI	9	1025.3	2025-11-13	9	1025.14
606	2025-11-14	SERRAI	9	1022.9	2025-11-14	9	1022.85
606	2025-11-15	SERRAI	9	1020.2	2025-11-15	9	1020.12
606	2025-11-16	SERRAI	9	1019.8	2025-11-16	9	1019.41
606	2025-11-17	SERRAI	9	1020.6	2025-11-17	9	1020.51
606	2025-11-18	SERRAI	9	1018.5	2025-11-18	9	1017.81
606	2025-11-19	SERRAI	9	1016.9	2025-11-19	9	1016.67
606	2025-11-20	SERRAI	9	1016.2	2025-11-20	9	1015.55
606	2025-11-24	SERRAI	9	1018.3	2025-11-24	9	1019.28
606	2025-11-25	SERRAI	9	1017.1	2025-11-25	9	1017.65
606	2025-11-26	SERRAI	9	1011.1	2025-11-26	9	1011.75
606	2025-11-27	SERRAI	9	1011.1	2025-11-27	9	1011.71
606	2025-11-28	SERRAI	9	1014.6	2025-11-28	9	1014.97
613	2025-11-01	FLORINA	9	1023.6	2025-11-01	9	1024.38
613	2025-11-02	FLORINA	9	1023.3	2025-11-02	9	1023.01
613	2025-11-03	FLORINA	9	1018.4	2025-11-03	9	1018.99
613	2025-11-04	FLORINA	9	1024.2	2025-11-04	9	1023.21
613	2025-11-05	FLORINA	9	1027.3	2025-11-05	9	1026.31
613	2025-11-06	FLORINA	9	1019.5	2025-11-06	9	1019.48
613	2025-11-07	FLORINA	9	1015.9	2025-11-07	9	1015.24
613	2025-11-08	FLORINA	9	1015	2025-11-08	9	1013.81
613	2025-11-09	FLORINA	9	1018.6	2025-11-09	9	1018.31
613	2025-11-10	FLORINA	9	1014.1	2025-11-10	9	1013.39
613	2025-11-11	FLORINA	9	1016.2	2025-11-11	9	1016.34
613	2025-11-12	FLORINA	9	1024.3	2025-11-12	9	1024.61
613	2025-11-13	FLORINA	9	1026.1	2025-11-13	9	1026.37
613	2025-11-14	FLORINA	9	1024.1	2025-11-14	9	1024.08
613	2025-11-15	FLORINA	9	1021.5	2025-11-15	9	1021.45
613	2025-11-16	FLORINA	9	1020.5	2025-11-16	9	1020.57
613	2025-11-17	FLORINA	9	1016.3	2025-11-17	9	1017.02
613	2025-11-18	FLORINA	9	1014.3	2025-11-18	9	1014.48
613	2025-11-19	FLORINA	9	1017.3	2025-11-19	9	1014.68
613	2025-11-20	FLORINA	9	1013.8	2025-11-20	9	1013.25
613	2025-11-21	FLORINA	9	1013.2	2025-11-21	9	1011.63
613	2025-11-22	FLORINA	9	1013.4	2025-11-22	9	1013.01
613	2025-11-23	FLORINA	9	1015.1	2025-11-23	9	1013.97
613	2025-11-24	FLORINA	9	1020.7	2025-11-24	9	1020.5
613	2025-11-25	FLORINA	9	1015	2025-11-25	9	1014.44
613	2025-11-26	FLORINA	9	1009.5	2025-11-26	9	1009.11
613	2025-11-27	FLORINA	9	1012.7	2025-11-27	9	1011.21
