obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	ecmwf_dates	ecmwf_mslp_table_h	ecmwf_mslp_table
606	2025-09-02	SERRAI	18	1010.6	2025-09-01	42	1010.53
606	2025-09-03	SERRAI	18	1009.8	2025-09-02	42	1010.28
606	2025-09-04	SERRAI	18	1011	2025-09-03	42	1011.25
606	2025-09-05	SERRAI	18	1013.2	2025-09-04	42	1013.1
606	2025-09-06	SERRAI	18	1015.8	2025-09-05	42	1015.43
606	2025-09-07	SERRAI	18	1015.4	2025-09-06	42	1014.96
606	2025-09-08	SERRAI	18	1014	2025-09-07	42	1014.12
606	2025-09-09	SERRAI	18	1014.2	2025-09-08	42	1014.86
606	2025-09-10	SERRAI	18	1015.2	2025-09-09	42	1015.54
606	2025-09-11	SERRAI	18	1013.6	2025-09-10	42	1013.61
606	2025-09-12	SERRAI	18	1015.9	2025-09-11	42	1016.24
606	2025-09-13	SERRAI	18	1019.5	2025-09-12	42	1019.07
606	2025-09-14	SERRAI	18	1016.3	2025-09-13	42	1015.88
606	2025-09-15	SERRAI	18	1017.9	2025-09-14	42	1017.44
606	2025-09-16	SERRAI	18	1015.5	2025-09-15	42	1015.94
606	2025-09-17	SERRAI	18	1015.1	2025-09-16	42	1013.85
606	2025-09-18	SERRAI	18	1022.4	2025-09-17	42	1022.11
606	2025-09-19	SERRAI	18	1025	2025-09-18	42	1024.83
606	2025-09-20	SERRAI	18	1022.6	2025-09-19	42	1021.97
606	2025-09-21	SERRAI	18	1018.9	2025-09-20	42	1018.75
606	2025-09-22	SERRAI	18	1016.8	2025-09-21	42	1016.61
606	2025-09-23	SERRAI	18	1014.9	2025-09-22	42	1015.36
606	2025-09-24	SERRAI	18	1013.5	2025-09-23	42	1013.37
606	2025-09-25	SERRAI	18	1017.7	2025-09-24	42	1016.92
606	2025-09-26	SERRAI	18	1022.1	2025-09-25	42	1020.78
606	2025-09-27	SERRAI	18	1020.7	2025-09-26	42	1019.97
606	2025-09-28	SERRAI	18	1016	2025-09-27	42	1014.89
606	2025-09-29	SERRAI	18	1016.5	2025-09-28	42	1016
606	2025-09-30	SERRAI	18	1018.6	2025-09-29	42	1018.66
613	2025-09-02	FLORINA	18	1011.9	2025-09-01	42	1011.19
613	2025-09-03	FLORINA	18	1015.6	2025-09-02	42	1012.39
613	2025-09-04	FLORINA	18	1014.4	2025-09-03	42	1014.18
613	2025-09-05	FLORINA	18	1015.2	2025-09-04	42	1014.34
613	2025-09-06	FLORINA	18	1017.1	2025-09-05	42	1016.98
613	2025-09-07	FLORINA	18	1016.3	2025-09-06	42	1015.84
613	2025-09-08	FLORINA	18	1014.7	2025-09-07	42	1014.6
613	2025-09-09	FLORINA	18	1014.1	2025-09-08	42	1015.09
613	2025-09-10	FLORINA	18	1015.4	2025-09-09	42	1015.86
613	2025-09-11	FLORINA	18	1017.3	2025-09-10	42	1015.22
613	2025-09-12	FLORINA	18	1018.6	2025-09-11	42	1017.22
613	2025-09-13	FLORINA	18	1019.7	2025-09-12	42	1019.38
613	2025-09-14	FLORINA	18	1015.9	2025-09-13	42	1015.95
613	2025-09-15	FLORINA	18	1019.8	2025-09-14	42	1019
613	2025-09-16	FLORINA	18	1015.6	2025-09-15	42	1016.2
613	2025-09-17	FLORINA	18	1019.5	2025-09-16	42	1017.97
613	2025-09-18	FLORINA	18	1025.3	2025-09-17	42	1024.14
