obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
622	2025-11-03	THESSALONIKI (AIRPORT)	0	50	2025-11-01	48	50.2988
622	2025-11-04	THESSALONIKI (AIRPORT)	0	88	2025-11-02	48	99.9766
622	2025-11-05	THESSALONIKI (AIRPORT)	0	100	2025-11-03	48	100
622	2025-11-06	THESSALONIKI (AIRPORT)	0	88	2025-11-04	48	100
622	2025-11-07	THESSALONIKI (AIRPORT)	0	88	2025-11-05	48	98.0898
622	2025-11-08	THESSALONIKI (AIRPORT)	0	75	2025-11-06	48	86.3867
622	2025-11-09	THESSALONIKI (AIRPORT)	0	88	2025-11-07	48	99.9766
622	2025-11-10	THESSALONIKI (AIRPORT)	0	100	2025-11-08	48	99.9277
622	2025-11-11	THESSALONIKI (AIRPORT)	0	63	2025-11-09	48	33.1797
622	2025-11-12	THESSALONIKI (AIRPORT)	0	13	2025-11-10	48	0
622	2025-11-13	THESSALONIKI (AIRPORT)	0	13	2025-11-11	48	0
622	2025-11-14	THESSALONIKI (AIRPORT)	0	13	2025-11-12	48	0.0605469
622	2025-11-15	THESSALONIKI (AIRPORT)	0	0	2025-11-13	48	0.183594
622	2025-11-16	THESSALONIKI (AIRPORT)	0	25	2025-11-14	48	30.4688
622	2025-11-17	THESSALONIKI (AIRPORT)	0	50	2025-11-15	48	11.1504
622	2025-11-18	THESSALONIKI (AIRPORT)	0	63	2025-11-16	48	100
622	2025-11-19	THESSALONIKI (AIRPORT)	0	75	2025-11-17	48	100
622	2025-11-20	THESSALONIKI (AIRPORT)	0	100	2025-11-18	48	99.668
622	2025-11-21	THESSALONIKI (AIRPORT)	0	75	2025-11-19	48	30.3438
622	2025-11-22	THESSALONIKI (AIRPORT)	0	88	2025-11-20	48	8.4082
622	2025-11-23	THESSALONIKI (AIRPORT)	0	38	2025-11-21	48	93.1855
622	2025-11-24	THESSALONIKI (AIRPORT)	0	13	2025-11-22	48	0
622	2025-11-25	THESSALONIKI (AIRPORT)	0	38	2025-11-23	48	99.9961
622	2025-11-26	THESSALONIKI (AIRPORT)	0	75	2025-11-24	48	98.1816
622	2025-11-27	THESSALONIKI (AIRPORT)	0	88	2025-11-25	48	99.9941
622	2025-11-28	THESSALONIKI (AIRPORT)	0	88	2025-11-26	48	100
622	2025-11-29	THESSALONIKI (AIRPORT)	0	100	2025-11-27	48	92.0801
622	2025-11-30	THESSALONIKI (AIRPORT)	0	13	2025-11-28	48	16.4609
627	2025-11-03	ALEXANDROUPOLI (AIRPORT)	0	38	2025-11-01	48	99.6191
627	2025-11-04	ALEXANDROUPOLI (AIRPORT)	0	38	2025-11-02	48	100
627	2025-11-05	ALEXANDROUPOLI (AIRPORT)	0	88	2025-11-03	48	98.7402
627	2025-11-06	ALEXANDROUPOLI (AIRPORT)	0	100	2025-11-04	48	96.1465
627	2025-11-07	ALEXANDROUPOLI (AIRPORT)	0	75	2025-11-05	48	100
627	2025-11-08	ALEXANDROUPOLI (AIRPORT)	0	75	2025-11-06	48	100
627	2025-11-09	ALEXANDROUPOLI (AIRPORT)	0	100	2025-11-07	48	99.9902
627	2025-11-10	ALEXANDROUPOLI (AIRPORT)	0	38	2025-11-08	48	99.9961
627	2025-11-11	ALEXANDROUPOLI (AIRPORT)	0	75	2025-11-09	48	99.9961
627	2025-11-12	ALEXANDROUPOLI (AIRPORT)	0	75	2025-11-10	48	99.8965
627	2025-11-13	ALEXANDROUPOLI (AIRPORT)	0	25	2025-11-11	48	49.2246
627	2025-11-14	ALEXANDROUPOLI (AIRPORT)	0	0	2025-11-12	48	40.7012
627	2025-11-15	ALEXANDROUPOLI (AIRPORT)	0	25	2025-11-13	48	99.6582
627	2025-11-16	ALEXANDROUPOLI (AIRPORT)	0	50	2025-11-14	48	70.1758
627	2025-11-17	ALEXANDROUPOLI (AIRPORT)	0	50	2025-11-15	48	36.0527
627	2025-11-18	ALEXANDROUPOLI (AIRPORT)	0	63	2025-11-16	48	98.9102
627	2025-11-19	ALEXANDROUPOLI (AIRPORT)	0	88	2025-11-17	48	99.9785
627	2025-11-20	ALEXANDROUPOLI (AIRPORT)	0	75	2025-11-18	48	99.8223
627	2025-11-21	ALEXANDROUPOLI (AIRPORT)	0	88	2025-11-19	48	59.168
627	2025-11-22	ALEXANDROUPOLI (AIRPORT)	0	63	2025-11-20	48	98.2207
627	2025-11-23	ALEXANDROUPOLI (AIRPORT)	0	63	2025-11-21	48	100
627	2025-11-24	ALEXANDROUPOLI (AIRPORT)	0	25	2025-11-22	48	11.9453
627	2025-11-25	ALEXANDROUPOLI (AIRPORT)	0	0	2025-11-23	48	8.75781
627	2025-11-26	ALEXANDROUPOLI (AIRPORT)	0	88	2025-11-24	48	98.0898
627	2025-11-27	ALEXANDROUPOLI (AIRPORT)	0	75	2025-11-25	48	96.3555
627	2025-11-28	ALEXANDROUPOLI (AIRPORT)	0	75	2025-11-26	48	99.9941
627	2025-11-29	ALEXANDROUPOLI (AIRPORT)	0	88	2025-11-27	48	94.6543
627	2025-11-30	ALEXANDROUPOLI (AIRPORT)	0	38	2025-11-28	48	99.9941
641	2025-11-03	KERKYRA (AIRPORT)	0	50	2025-11-01	48	93.1953
641	2025-11-04	KERKYRA (AIRPORT)	0	88	2025-11-02	48	100
641	2025-11-05	KERKYRA (AIRPORT)	0	50	2025-11-03	48	2.86914
641	2025-11-06	KERKYRA (AIRPORT)	0	0	2025-11-04	48	5.0332
641	2025-11-07	KERKYRA (AIRPORT)	0	13	2025-11-05	48	39.6387
641	2025-11-08	KERKYRA (AIRPORT)	0	88	2025-11-06	48	100
641	2025-11-09	KERKYRA (AIRPORT)	0	88	2025-11-07	48	96.041
641	2025-11-10	KERKYRA (AIRPORT)	0	88	2025-11-08	48	100
641	2025-11-11	KERKYRA (AIRPORT)	0	38	2025-11-09	48	75.8203
641	2025-11-12	KERKYRA (AIRPORT)	0	38	2025-11-10	48	99.9297
