obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
624	2025-11-28	CHRYSOPOULI (AIRPORT)	6	88	2025-11-28	6	99.9941
624	2025-11-29	CHRYSOPOULI (AIRPORT)	6	100	2025-11-29	6	99.4961
624	2025-11-30	CHRYSOPOULI (AIRPORT)	6	38	2025-11-30	6	89.5352
627	2025-11-01	ALEXANDROUPOLI (AIRPORT)	6	38	2025-11-01	6	97.1797
627	2025-11-02	ALEXANDROUPOLI (AIRPORT)	6	63	2025-11-02	6	10.1777
627	2025-11-03	ALEXANDROUPOLI (AIRPORT)	6	63	2025-11-03	6	99.957
627	2025-11-04	ALEXANDROUPOLI (AIRPORT)	6	88	2025-11-04	6	99.9902
627	2025-11-05	ALEXANDROUPOLI (AIRPORT)	6	100	2025-11-05	6	99.9941
627	2025-11-06	ALEXANDROUPOLI (AIRPORT)	6	100	2025-11-06	6	99.9766
627	2025-11-07	ALEXANDROUPOLI (AIRPORT)	6	63	2025-11-07	6	100
627	2025-11-08	ALEXANDROUPOLI (AIRPORT)	6	88	2025-11-08	6	99.957
627	2025-11-09	ALEXANDROUPOLI (AIRPORT)	6	88	2025-11-09	6	99.832
627	2025-11-10	ALEXANDROUPOLI (AIRPORT)	6	88	2025-11-10	6	99.9883
627	2025-11-11	ALEXANDROUPOLI (AIRPORT)	6	75	2025-11-11	6	98.2461
627	2025-11-12	ALEXANDROUPOLI (AIRPORT)	6	25	2025-11-12	6	2.35547
627	2025-11-13	ALEXANDROUPOLI (AIRPORT)	6	0	2025-11-13	6	58.291
627	2025-11-14	ALEXANDROUPOLI (AIRPORT)	6	25	2025-11-14	6	84.875
627	2025-11-15	ALEXANDROUPOLI (AIRPORT)	6	75	2025-11-15	6	64.2578
627	2025-11-16	ALEXANDROUPOLI (AIRPORT)	6	75	2025-11-16	6	96.9062
627	2025-11-17	ALEXANDROUPOLI (AIRPORT)	6	50	2025-11-17	6	77.9238
627	2025-11-18	ALEXANDROUPOLI (AIRPORT)	6	100	2025-11-18	6	99.9883
627	2025-11-19	ALEXANDROUPOLI (AIRPORT)	6	88	2025-11-19	6	100
627	2025-11-20	ALEXANDROUPOLI (AIRPORT)	6	88	2025-11-20	6	60.377
627	2025-11-21	ALEXANDROUPOLI (AIRPORT)	6	75	2025-11-21	6	15.6016
627	2025-11-22	ALEXANDROUPOLI (AIRPORT)	6	38	2025-11-22	6	16.2266
627	2025-11-23	ALEXANDROUPOLI (AIRPORT)	6	88	2025-11-23	6	91.1738
627	2025-11-24	ALEXANDROUPOLI (AIRPORT)	6	25	2025-11-24	6	15.7168
627	2025-11-25	ALEXANDROUPOLI (AIRPORT)	6	50	2025-11-25	6	100
627	2025-11-26	ALEXANDROUPOLI (AIRPORT)	6	88	2025-11-26	6	99.5879
627	2025-11-27	ALEXANDROUPOLI (AIRPORT)	6	75	2025-11-27	6	43.7383
627	2025-11-28	ALEXANDROUPOLI (AIRPORT)	6	100	2025-11-28	6	98.1758
627	2025-11-29	ALEXANDROUPOLI (AIRPORT)	6	100	2025-11-29	6	100
627	2025-11-30	ALEXANDROUPOLI (AIRPORT)	6	88	2025-11-30	6	38.4883
632	2025-11-02	KOZANI (AIRPORT)	6	13	2025-11-02	6	88.1465
632	2025-11-03	KOZANI (AIRPORT)	6	25	2025-11-03	6	96.9277
632	2025-11-04	KOZANI (AIRPORT)	6	88	2025-11-04	6	100
632	2025-11-05	KOZANI (AIRPORT)	6	88	2025-11-05	6	99.4453
632	2025-11-06	KOZANI (AIRPORT)	6	88	2025-11-06	6	77.4238
632	2025-11-07	KOZANI (AIRPORT)	6	75	2025-11-07	6	84.6562
632	2025-11-09	KOZANI (AIRPORT)	6	75	2025-11-09	6	99.2129
632	2025-11-10	KOZANI (AIRPORT)	6	88	2025-11-10	6	99.9941
632	2025-11-11	KOZANI (AIRPORT)	6	38	2025-11-11	6	68.7266
632	2025-11-12	KOZANI (AIRPORT)	6	0	2025-11-12	6	14.4199
632	2025-11-13	KOZANI (AIRPORT)	6	0	2025-11-13	6	0
632	2025-11-14	KOZANI (AIRPORT)	6	0	2025-11-14	6	0
632	2025-11-16	KOZANI (AIRPORT)	6	0	2025-11-16	6	6.87305
632	2025-11-17	KOZANI (AIRPORT)	6	63	2025-11-17	6	99.457
632	2025-11-18	KOZANI (AIRPORT)	6	88	2025-11-18	6	99.8633
632	2025-11-19	KOZANI (AIRPORT)	6	75	2025-11-19	6	99.9824
632	2025-11-20	KOZANI (AIRPORT)	6	100	2025-11-20	6	97.9102
632	2025-11-21	KOZANI (AIRPORT)	6	100	2025-11-21	6	74.0938
632	2025-11-23	KOZANI (AIRPORT)	6	38	2025-11-23	6	28.293
632	2025-11-24	KOZANI (AIRPORT)	6	13	2025-11-24	6	0.386719
632	2025-11-25	KOZANI (AIRPORT)	6	63	2025-11-25	6	74.4961
632	2025-11-26	KOZANI (AIRPORT)	6	75	2025-11-26	6	100
632	2025-11-27	KOZANI (AIRPORT)	6	100	2025-11-27	6	100
632	2025-11-28	KOZANI (AIRPORT)	6	75	2025-11-28	6	90.7617
632	2025-11-30	KOZANI (AIRPORT)	6	38	2025-11-30	6	31.0215
641	2025-11-01	KERKYRA (AIRPORT)	6	88	2025-11-01	6	9.10742
641	2025-11-02	KERKYRA (AIRPORT)	6	25	2025-11-02	6	6.79102
