obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
627	2025-11-29	ALEXANDROUPOLI (AIRPORT)	3	88	2025-11-29	3	100
627	2025-11-30	ALEXANDROUPOLI (AIRPORT)	3	50	2025-11-30	3	59.8242
632	2025-11-04	KOZANI (AIRPORT)	3	88	2025-11-04	3	100
632	2025-11-11	KOZANI (AIRPORT)	3	38	2025-11-11	3	11.4629
632	2025-11-18	KOZANI (AIRPORT)	3	88	2025-11-18	3	100
632	2025-11-25	KOZANI (AIRPORT)	3	63	2025-11-25	3	77.957
641	2025-11-01	KERKYRA (AIRPORT)	3	88	2025-11-01	3	75.502
641	2025-11-02	KERKYRA (AIRPORT)	3	25	2025-11-02	3	0
641	2025-11-03	KERKYRA (AIRPORT)	3	50	2025-11-03	3	96.3926
641	2025-11-04	KERKYRA (AIRPORT)	3	88	2025-11-04	3	97.5859
641	2025-11-05	KERKYRA (AIRPORT)	3	63	2025-11-05	3	54.8184
641	2025-11-06	KERKYRA (AIRPORT)	3	0	2025-11-06	3	20.2207
641	2025-11-07	KERKYRA (AIRPORT)	3	38	2025-11-07	3	85.5293
641	2025-11-08	KERKYRA (AIRPORT)	3	88	2025-11-08	3	100
641	2025-11-09	KERKYRA (AIRPORT)	3	88	2025-11-09	3	97.9727
641	2025-11-10	KERKYRA (AIRPORT)	3	88	2025-11-10	3	100
641	2025-11-11	KERKYRA (AIRPORT)	3	0	2025-11-11	3	54.2188
641	2025-11-12	KERKYRA (AIRPORT)	3	25	2025-11-12	3	20.1094
641	2025-11-13	KERKYRA (AIRPORT)	3	13	2025-11-13	3	0.111328
641	2025-11-14	KERKYRA (AIRPORT)	3	0	2025-11-14	3	0
641	2025-11-15	KERKYRA (AIRPORT)	3	0	2025-11-15	3	26.5059
641	2025-11-16	KERKYRA (AIRPORT)	3	38	2025-11-16	3	7.01367
641	2025-11-17	KERKYRA (AIRPORT)	3	63	2025-11-17	3	100
641	2025-11-18	KERKYRA (AIRPORT)	3	100	2025-11-18	3	100
641	2025-11-19	KERKYRA (AIRPORT)	3	88	2025-11-19	3	100
641	2025-11-20	KERKYRA (AIRPORT)	3	100	2025-11-20	3	100
641	2025-11-21	KERKYRA (AIRPORT)	3	88	2025-11-21	3	95.9922
641	2025-11-22	KERKYRA (AIRPORT)	3	88	2025-11-22	3	56.8613
641	2025-11-23	KERKYRA (AIRPORT)	3	88	2025-11-23	3	89.8945
641	2025-11-24	KERKYRA (AIRPORT)	3	38	2025-11-24	3	38.8105
641	2025-11-25	KERKYRA (AIRPORT)	3	100	2025-11-25	3	100
641	2025-11-26	KERKYRA (AIRPORT)	3	88	2025-11-26	3	100
641	2025-11-27	KERKYRA (AIRPORT)	3	100	2025-11-27	3	100
641	2025-11-28	KERKYRA (AIRPORT)	3	88	2025-11-28	3	100
641	2025-11-29	KERKYRA (AIRPORT)	3	88	2025-11-29	3	95.6211
641	2025-11-30	KERKYRA (AIRPORT)	3	88	2025-11-30	3	57.5527
643	2025-11-04	AKTION (AIRPORT)	3	88	2025-11-04	3	98.2637
643	2025-11-05	AKTION (AIRPORT)	3	63	2025-11-05	3	31.666
643	2025-11-07	AKTION (AIRPORT)	3	38	2025-11-07	3	18.0957
643	2025-11-08	AKTION (AIRPORT)	3	88	2025-11-08	3	100
643	2025-11-10	AKTION (AIRPORT)	3	88	2025-11-10	3	100
643	2025-11-12	AKTION (AIRPORT)	3	25	2025-11-12	3	100
643	2025-11-15	AKTION (AIRPORT)	3	13	2025-11-15	3	57.3438
643	2025-11-18	AKTION (AIRPORT)	3	75	2025-11-18	3	99.9922
643	2025-11-20	AKTION (AIRPORT)	3	88	2025-11-20	3	100
643	2025-11-21	AKTION (AIRPORT)	3	63	2025-11-21	3	57.6836
643	2025-11-26	AKTION (AIRPORT)	3	88	2025-11-26	3	7.41992
643	2025-11-28	AKTION (AIRPORT)	3	88	2025-11-28	3	23.4766
648	2025-11-01	LARISSA (AIRPORT)	3	75	2025-11-01	3	100
648	2025-11-02	LARISSA (AIRPORT)	3	25	2025-11-02	3	98.7168
648	2025-11-03	LARISSA (AIRPORT)	3	25	2025-11-03	3	5.1875
648	2025-11-04	LARISSA (AIRPORT)	3	75	2025-11-04	3	100
648	2025-11-05	LARISSA (AIRPORT)	3	75	2025-11-05	3	100
648	2025-11-06	LARISSA (AIRPORT)	3	88	2025-11-06	3	96.9824
648	2025-11-07	LARISSA (AIRPORT)	3	88	2025-11-07	3	59.5566
