obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
622	2025-11-02	THESSALONIKI (AIRPORT)	21	13	2025-11-01	45	10.1191
622	2025-11-03	THESSALONIKI (AIRPORT)	21	63	2025-11-02	45	57.7812
622	2025-11-04	THESSALONIKI (AIRPORT)	21	88	2025-11-03	45	100
622	2025-11-05	THESSALONIKI (AIRPORT)	21	88	2025-11-04	45	100
622	2025-11-06	THESSALONIKI (AIRPORT)	21	100	2025-11-05	45	77.5918
622	2025-11-07	THESSALONIKI (AIRPORT)	21	63	2025-11-06	45	87.1953
622	2025-11-08	THESSALONIKI (AIRPORT)	21	88	2025-11-07	45	64.8047
622	2025-11-09	THESSALONIKI (AIRPORT)	21	75	2025-11-08	45	99.6367
622	2025-11-10	THESSALONIKI (AIRPORT)	21	88	2025-11-09	45	100
622	2025-11-11	THESSALONIKI (AIRPORT)	21	13	2025-11-10	45	0.140625
622	2025-11-12	THESSALONIKI (AIRPORT)	21	13	2025-11-11	45	0
622	2025-11-13	THESSALONIKI (AIRPORT)	21	25	2025-11-12	45	0
622	2025-11-14	THESSALONIKI (AIRPORT)	21	0	2025-11-13	45	0.015625
622	2025-11-15	THESSALONIKI (AIRPORT)	21	13	2025-11-14	45	94.3574
622	2025-11-16	THESSALONIKI (AIRPORT)	21	50	2025-11-15	45	2.79883
622	2025-11-17	THESSALONIKI (AIRPORT)	21	63	2025-11-16	45	99.7402
622	2025-11-18	THESSALONIKI (AIRPORT)	21	75	2025-11-17	45	100
622	2025-11-19	THESSALONIKI (AIRPORT)	21	100	2025-11-18	45	100
622	2025-11-20	THESSALONIKI (AIRPORT)	21	63	2025-11-19	45	92.0684
622	2025-11-21	THESSALONIKI (AIRPORT)	21	88	2025-11-20	45	12.3086
622	2025-11-22	THESSALONIKI (AIRPORT)	21	63	2025-11-21	45	95.1445
622	2025-11-23	THESSALONIKI (AIRPORT)	21	13	2025-11-22	45	0.00390625
622	2025-11-24	THESSALONIKI (AIRPORT)	21	0	2025-11-23	45	51.8672
622	2025-11-25	THESSALONIKI (AIRPORT)	21	75	2025-11-24	45	86.0723
622	2025-11-26	THESSALONIKI (AIRPORT)	21	100	2025-11-25	45	99.9629
622	2025-11-27	THESSALONIKI (AIRPORT)	21	88	2025-11-26	45	99.8789
622	2025-11-28	THESSALONIKI (AIRPORT)	21	100	2025-11-27	45	94.2344
622	2025-11-29	THESSALONIKI (AIRPORT)	21	13	2025-11-28	45	30.0195
622	2025-11-30	THESSALONIKI (AIRPORT)	21	38	2025-11-29	45	0
624	2025-11-02	CHRYSOPOULI (AIRPORT)	21	38	2025-11-01	45	90.875
624	2025-11-03	CHRYSOPOULI (AIRPORT)	21	63	2025-11-02	45	42.707
624	2025-11-04	CHRYSOPOULI (AIRPORT)	21	100	2025-11-03	45	100
624	2025-11-05	CHRYSOPOULI (AIRPORT)	21	88	2025-11-04	45	100
624	2025-11-06	CHRYSOPOULI (AIRPORT)	21	100	2025-11-05	45	100
624	2025-11-07	CHRYSOPOULI (AIRPORT)	21	50	2025-11-06	45	99.9688
624	2025-11-08	CHRYSOPOULI (AIRPORT)	21	75	2025-11-07	45	97.5254
624	2025-11-09	CHRYSOPOULI (AIRPORT)	21	75	2025-11-08	45	99.9961
624	2025-11-10	CHRYSOPOULI (AIRPORT)	21	75	2025-11-09	45	99.8145
624	2025-11-11	CHRYSOPOULI (AIRPORT)	21	38	2025-11-10	45	61.8594
624	2025-11-12	CHRYSOPOULI (AIRPORT)	21	13	2025-11-11	45	4.50195
624	2025-11-13	CHRYSOPOULI (AIRPORT)	21	13	2025-11-12	45	3.08789
624	2025-11-14	CHRYSOPOULI (AIRPORT)	21	13	2025-11-13	45	18.0977
624	2025-11-15	CHRYSOPOULI (AIRPORT)	21	25	2025-11-14	45	99.6582
624	2025-11-16	CHRYSOPOULI (AIRPORT)	21	13	2025-11-15	45	24.8359
