obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	ecmwf_dates	ecmwf_td_table_h	ecmwf_td_table
606	2025-09-02	SERRAI	15	13.25	2025-09-01	39	15.5522
606	2025-09-03	SERRAI	15	15.15	2025-09-02	39	16.2099
606	2025-09-04	SERRAI	15	14.65	2025-09-03	39	15.2729
606	2025-09-05	SERRAI	15	11.75	2025-09-04	39	12.5321
606	2025-09-06	SERRAI	15	15.75	2025-09-05	39	16.1825
606	2025-09-07	SERRAI	15	13.65	2025-09-06	39	13.7284
606	2025-09-08	SERRAI	15	13.65	2025-09-07	39	16.6752
606	2025-09-09	SERRAI	15	16.45	2025-09-08	39	15.6957
606	2025-09-10	SERRAI	15	16.65	2025-09-09	39	16.8944
606	2025-09-11	SERRAI	15	15.45	2025-09-10	39	15.7951
606	2025-09-12	SERRAI	15	12.45	2025-09-11	39	17.2626
606	2025-09-13	SERRAI	15	17.45	2025-09-12	39	16.3847
606	2025-09-14	SERRAI	15	16.25	2025-09-13	39	15.2304
606	2025-09-15	SERRAI	15	17.75	2025-09-14	39	16.6667
606	2025-09-16	SERRAI	15	15.75	2025-09-15	39	15.1005
606	2025-09-17	SERRAI	15	12.45	2025-09-16	39	11.6508
606	2025-09-18	SERRAI	15	5.95	2025-09-17	39	6.37979
606	2025-09-19	SERRAI	15	7.15	2025-09-18	39	6.63687
606	2025-09-20	SERRAI	15	11.45	2025-09-19	39	10.4577
606	2025-09-21	SERRAI	15	12.45	2025-09-20	39	12.3454
606	2025-09-22	SERRAI	15	12.75	2025-09-21	39	11.5021
606	2025-09-23	SERRAI	15	15.75	2025-09-22	39	15.9052
606	2025-09-24	SERRAI	15	15.45	2025-09-23	39	15.8971
606	2025-09-25	SERRAI	15	15.65	2025-09-24	39	14.5465
606	2025-09-26	SERRAI	15	11.25	2025-09-25	39	10.7477
606	2025-09-27	SERRAI	15	8.75	2025-09-26	39	7.99454
606	2025-09-28	SERRAI	15	12.95	2025-09-27	39	8.62393
606	2025-09-29	SERRAI	15	12.75	2025-09-28	39	12.122
606	2025-09-30	SERRAI	15	12.95	2025-09-29	39	12.8417
613	2025-09-02	FLORINA	15	9.25	2025-09-01	39	11.2289
613	2025-09-03	FLORINA	15	8.65	2025-09-02	39	12.163
613	2025-09-04	FLORINA	15	14.45	2025-09-03	39	13.3666
613	2025-09-05	FLORINA	15	8.65	2025-09-04	39	8.82218
613	2025-09-06	FLORINA	15	6.65	2025-09-05	39	3.69425
613	2025-09-07	FLORINA	15	5.95	2025-09-06	39	5.16104
613	2025-09-08	FLORINA	15	7.45	2025-09-07	39	8.59122
613	2025-09-09	FLORINA	15	1.95	2025-09-08	39	11.558
613	2025-09-10	FLORINA	15	10.15	2025-09-09	39	12.8417
613	2025-09-11	FLORINA	15	16.75	2025-09-10	39	13.2184
613	2025-09-12	FLORINA	15	10.25	2025-09-11	39	11.8427
613	2025-09-13	FLORINA	15	11.25	2025-09-12	39	12.5663
613	2025-09-14	FLORINA	15	13.95	2025-09-13	39	14.8925
613	2025-09-15	FLORINA	15	9.15	2025-09-14	39	9.64517
613	2025-09-16	FLORINA	15	10.45	2025-09-15	39	10.7294
613	2025-09-17	FLORINA	15	10.25	2025-09-16	39	10.0805
613	2025-09-18	FLORINA	15	-0.05	2025-09-17	39	0.640536
613	2025-09-19	FLORINA	15	4.95	2025-09-18	39	5.29996
613	2025-09-20	FLORINA	15	6.45	2025-09-19	39	8.6442
613	2025-09-21	FLORINA	15	8.45	2025-09-20	39	8.36588
613	2025-09-22	FLORINA	15	7.95	2025-09-21	39	9.46695
613	2025-09-23	FLORINA	15	5.75	2025-09-22	39	6.71376
613	2025-09-24	FLORINA	15	6.25	2025-09-23	39	7.31705
