obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
622	2025-10-01	THESSALONIKI (AIRPORT)	15	88	2025-10-01	15	71.2129
622	2025-10-02	THESSALONIKI (AIRPORT)	15	100	2025-10-02	15	100
622	2025-10-03	THESSALONIKI (AIRPORT)	15	75	2025-10-03	15	21.1035
622	2025-10-04	THESSALONIKI (AIRPORT)	15	13	2025-10-04	15	0.302734
622	2025-10-05	THESSALONIKI (AIRPORT)	15	38	2025-10-05	15	0.0273438
622	2025-10-06	THESSALONIKI (AIRPORT)	15	88	2025-10-06	15	100
622	2025-10-07	THESSALONIKI (AIRPORT)	15	100	2025-10-07	15	69.9473
622	2025-10-08	THESSALONIKI (AIRPORT)	15	75	2025-10-08	15	100
622	2025-10-09	THESSALONIKI (AIRPORT)	15	0	2025-10-09	15	0.861328
622	2025-10-10	THESSALONIKI (AIRPORT)	15	50	2025-10-10	15	7.75195
622	2025-10-11	THESSALONIKI (AIRPORT)	15	38	2025-10-11	15	8.11719
622	2025-10-12	THESSALONIKI (AIRPORT)	15	25	2025-10-12	15	0.757812
622	2025-10-13	THESSALONIKI (AIRPORT)	15	88	2025-10-13	15	99.8926
622	2025-10-14	THESSALONIKI (AIRPORT)	15	13	2025-10-14	15	0.439453
622	2025-10-15	THESSALONIKI (AIRPORT)	15	88	2025-10-15	15	26.7734
622	2025-10-16	THESSALONIKI (AIRPORT)	15	75	2025-10-16	15	100
622	2025-10-17	THESSALONIKI (AIRPORT)	15	100	2025-10-17	15	100
622	2025-10-18	THESSALONIKI (AIRPORT)	15	75	2025-10-18	15	20.6016
622	2025-10-19	THESSALONIKI (AIRPORT)	15	38	2025-10-19	15	14.6797
622	2025-10-20	THESSALONIKI (AIRPORT)	15	88	2025-10-20	15	42.2695
622	2025-10-21	THESSALONIKI (AIRPORT)	15	63	2025-10-21	15	96.7227
622	2025-10-22	THESSALONIKI (AIRPORT)	15	75	2025-10-22	15	84.0859
622	2025-10-23	THESSALONIKI (AIRPORT)	15	25	2025-10-23	15	9.125
622	2025-10-24	THESSALONIKI (AIRPORT)	15	25	2025-10-24	15	23.9082
622	2025-10-25	THESSALONIKI (AIRPORT)	15	38	2025-10-25	15	6.56836
622	2025-10-26	THESSALONIKI (AIRPORT)	15	75	2025-10-26	15	90.0918
622	2025-10-27	THESSALONIKI (AIRPORT)	15	25	2025-10-27	15	2.86328
622	2025-10-28	THESSALONIKI (AIRPORT)	15	25	2025-10-28	15	0.0273438
622	2025-10-29	THESSALONIKI (AIRPORT)	15	0	2025-10-29	15	0
622	2025-10-30	THESSALONIKI (AIRPORT)	15	75	2025-10-30	15	99.9844
622	2025-10-31	THESSALONIKI (AIRPORT)	15	63	2025-10-31	15	99.7617
624	2025-10-01	CHRYSOPOULI (AIRPORT)	15	88	2025-10-01	15	81.9023
624	2025-10-02	CHRYSOPOULI (AIRPORT)	15	100	2025-10-02	15	100
624	2025-10-03	CHRYSOPOULI (AIRPORT)	15	63	2025-10-03	15	99.8574
624	2025-10-04	CHRYSOPOULI (AIRPORT)	15	13	2025-10-04	15	7.83008
624	2025-10-05	CHRYSOPOULI (AIRPORT)	15	25	2025-10-05	15	0.0546875
624	2025-10-06	CHRYSOPOULI (AIRPORT)	15	100	2025-10-06	15	99.8164
624	2025-10-07	CHRYSOPOULI (AIRPORT)	15	100	2025-10-07	15	100
624	2025-10-08	CHRYSOPOULI (AIRPORT)	15	75	2025-10-08	15	74.8965
624	2025-10-09	CHRYSOPOULI (AIRPORT)	15	13	2025-10-09	15	0.595703
624	2025-10-10	CHRYSOPOULI (AIRPORT)	15	25	2025-10-10	15	0.744141
624	2025-10-11	CHRYSOPOULI (AIRPORT)	15	63	2025-10-11	15	19.4492
624	2025-10-12	CHRYSOPOULI (AIRPORT)	15	50	2025-10-12	15	3.24805
624	2025-10-13	CHRYSOPOULI (AIRPORT)	15	88	2025-10-13	15	99.9883
624	2025-10-14	CHRYSOPOULI (AIRPORT)	15	25	2025-10-14	15	15.2832
624	2025-10-15	CHRYSOPOULI (AIRPORT)	15	75	2025-10-15	15	40.1816
624	2025-10-16	CHRYSOPOULI (AIRPORT)	15	50	2025-10-16	15	100
624	2025-10-17	CHRYSOPOULI (AIRPORT)	15	100	2025-10-17	15	100
624	2025-10-18	CHRYSOPOULI (AIRPORT)	15	88	2025-10-18	15	24.0723
624	2025-10-19	CHRYSOPOULI (AIRPORT)	15	88	2025-10-19	15	49.9824
