obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
622	2025-11-01	THESSALONIKI (AIRPORT)	15	38	2025-11-01	15	97.1738
622	2025-11-02	THESSALONIKI (AIRPORT)	15	75	2025-11-02	15	98.459
622	2025-11-03	THESSALONIKI (AIRPORT)	15	88	2025-11-03	15	43.4082
622	2025-11-04	THESSALONIKI (AIRPORT)	15	100	2025-11-04	15	99.0664
622	2025-11-05	THESSALONIKI (AIRPORT)	15	88	2025-11-05	15	69.6934
622	2025-11-06	THESSALONIKI (AIRPORT)	15	100	2025-11-06	15	49.209
622	2025-11-07	THESSALONIKI (AIRPORT)	15	63	2025-11-07	15	15.1895
622	2025-11-08	THESSALONIKI (AIRPORT)	15	88	2025-11-08	15	99.7949
622	2025-11-09	THESSALONIKI (AIRPORT)	15	63	2025-11-09	15	99.5547
622	2025-11-10	THESSALONIKI (AIRPORT)	15	88	2025-11-10	15	91.7871
622	2025-11-11	THESSALONIKI (AIRPORT)	15	25	2025-11-11	15	4.39453
622	2025-11-12	THESSALONIKI (AIRPORT)	15	13	2025-11-12	15	35.1133
622	2025-11-13	THESSALONIKI (AIRPORT)	15	38	2025-11-13	15	90.5312
622	2025-11-14	THESSALONIKI (AIRPORT)	15	13	2025-11-14	15	0
622	2025-11-15	THESSALONIKI (AIRPORT)	15	50	2025-11-15	15	30.4453
622	2025-11-16	THESSALONIKI (AIRPORT)	15	13	2025-11-16	15	0
622	2025-11-17	THESSALONIKI (AIRPORT)	15	88	2025-11-17	15	63.6445
622	2025-11-18	THESSALONIKI (AIRPORT)	15	75	2025-11-18	15	99.9238
622	2025-11-19	THESSALONIKI (AIRPORT)	15	100	2025-11-19	15	99.9961
622	2025-11-20	THESSALONIKI (AIRPORT)	15	75	2025-11-20	15	93.2715
622	2025-11-21	THESSALONIKI (AIRPORT)	15	88	2025-11-21	15	98.3984
622	2025-11-22	THESSALONIKI (AIRPORT)	15	63	2025-11-22	15	35.6777
622	2025-11-23	THESSALONIKI (AIRPORT)	15	25	2025-11-23	15	1.8457
622	2025-11-24	THESSALONIKI (AIRPORT)	15	0	2025-11-24	15	7.67773
622	2025-11-25	THESSALONIKI (AIRPORT)	15	88	2025-11-25	15	75.3105
622	2025-11-26	THESSALONIKI (AIRPORT)	15	75	2025-11-26	15	99.3203
622	2025-11-27	THESSALONIKI (AIRPORT)	15	88	2025-11-27	15	100
622	2025-11-28	THESSALONIKI (AIRPORT)	15	88	2025-11-28	15	96.5781
622	2025-11-29	THESSALONIKI (AIRPORT)	15	13	2025-11-29	15	10.1348
622	2025-11-30	THESSALONIKI (AIRPORT)	15	38	2025-11-30	15	93.793
624	2025-11-01	CHRYSOPOULI (AIRPORT)	15	38	2025-11-01	15	61.1914
624	2025-11-02	CHRYSOPOULI (AIRPORT)	15	63	2025-11-02	15	69.7051
