obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
622	2025-10-01	THESSALONIKI (AIRPORT)	21	88	2025-10-01	21	96.7422
622	2025-10-02	THESSALONIKI (AIRPORT)	21	100	2025-10-02	21	100
622	2025-10-03	THESSALONIKI (AIRPORT)	21	75	2025-10-03	21	67.2656
622	2025-10-04	THESSALONIKI (AIRPORT)	21	63	2025-10-04	21	0
622	2025-10-05	THESSALONIKI (AIRPORT)	21	88	2025-10-05	21	90.7441
622	2025-10-06	THESSALONIKI (AIRPORT)	21	75	2025-10-06	21	73.2051
622	2025-10-07	THESSALONIKI (AIRPORT)	21	88	2025-10-07	21	100
622	2025-10-08	THESSALONIKI (AIRPORT)	21	63	2025-10-08	21	17.8008
622	2025-10-09	THESSALONIKI (AIRPORT)	21	0	2025-10-09	21	0
622	2025-10-10	THESSALONIKI (AIRPORT)	21	25	2025-10-10	21	27.0449
622	2025-10-11	THESSALONIKI (AIRPORT)	21	38	2025-10-11	21	81.3516
622	2025-10-12	THESSALONIKI (AIRPORT)	21	25	2025-10-12	21	53.7969
622	2025-10-13	THESSALONIKI (AIRPORT)	21	50	2025-10-13	21	98.3457
622	2025-10-14	THESSALONIKI (AIRPORT)	21	25	2025-10-14	21	0
622	2025-10-15	THESSALONIKI (AIRPORT)	21	75	2025-10-15	21	100
622	2025-10-16	THESSALONIKI (AIRPORT)	21	50	2025-10-16	21	95.4492
622	2025-10-17	THESSALONIKI (AIRPORT)	21	100	2025-10-17	21	100
622	2025-10-18	THESSALONIKI (AIRPORT)	21	75	2025-10-18	21	76.5859
622	2025-10-19	THESSALONIKI (AIRPORT)	21	38	2025-10-19	21	82.623
622	2025-10-20	THESSALONIKI (AIRPORT)	21	75	2025-10-20	21	100
622	2025-10-21	THESSALONIKI (AIRPORT)	21	75	2025-10-21	21	92.8125
622	2025-10-22	THESSALONIKI (AIRPORT)	21	63	2025-10-22	21	89.1777
622	2025-10-23	THESSALONIKI (AIRPORT)	21	50	2025-10-23	21	99.9355
622	2025-10-24	THESSALONIKI (AIRPORT)	21	13	2025-10-24	21	0
622	2025-10-25	THESSALONIKI (AIRPORT)	21	25	2025-10-25	21	0
622	2025-10-26	THESSALONIKI (AIRPORT)	21	25	2025-10-26	21	100
622	2025-10-27	THESSALONIKI (AIRPORT)	21	13	2025-10-27	21	0
622	2025-10-28	THESSALONIKI (AIRPORT)	21	13	2025-10-28	21	0
622	2025-10-29	THESSALONIKI (AIRPORT)	21	13	2025-10-29	21	20.6367
622	2025-10-30	THESSALONIKI (AIRPORT)	21	63	2025-10-30	21	43.6699
622	2025-10-31	THESSALONIKI (AIRPORT)	21	75	2025-10-31	21	100
624	2025-10-01	CHRYSOPOULI (AIRPORT)	21	75	2025-10-01	21	84.9492
