obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	ecmwf_dates	ecmwf_td_table_h	ecmwf_td_table
606	2025-11-01	SERRAI	18	7.25	2025-11-01	18	7.90714
606	2025-11-02	SERRAI	18	8.95	2025-11-02	18	8.8905
606	2025-11-04	SERRAI	18	12.75	2025-11-04	18	10.908
606	2025-11-05	SERRAI	18	11.25	2025-11-05	18	11.2562
606	2025-11-06	SERRAI	18	11.95	2025-11-06	18	10.8691
606	2025-11-07	SERRAI	18	12.15	2025-11-07	18	10.5779
606	2025-11-08	SERRAI	18	14.95	2025-11-08	18	13.2111
606	2025-11-09	SERRAI	18	15.95	2025-11-09	18	12.268
606	2025-11-10	SERRAI	18	14.75	2025-11-10	18	12.4998
606	2025-11-11	SERRAI	18	5.65	2025-11-11	18	8.71427
606	2025-11-12	SERRAI	18	6.45	2025-11-12	18	6.47549
606	2025-11-13	SERRAI	18	7.75	2025-11-13	18	5.69571
606	2025-11-14	SERRAI	18	8.15	2025-11-14	18	6.85172
606	2025-11-15	SERRAI	18	8.15	2025-11-15	18	7.52213
606	2025-11-16	SERRAI	18	7.45	2025-11-16	18	7.39859
606	2025-11-17	SERRAI	18	10.45	2025-11-17	18	9.72842
606	2025-11-18	SERRAI	18	12.65	2025-11-18	18	13.0424
606	2025-11-19	SERRAI	18	13.75	2025-11-19	18	13.1895
606	2025-11-20	SERRAI	18	14.75	2025-11-20	18	12.5814
613	2025-11-01	FLORINA	18	8.95	2025-11-01	18	6.98819
613	2025-11-02	FLORINA	18	9.95	2025-11-02	18	8.62195
613	2025-11-03	FLORINA	18	12.15	2025-11-03	18	10.0105
613	2025-11-04	FLORINA	18	7.65	2025-11-04	18	4.60522
613	2025-11-05	FLORINA	18	9.25	2025-11-05	18	5.7982
613	2025-11-06	FLORINA	18	9.45	2025-11-06	18	6.97456
613	2025-11-07	FLORINA	18	9.95	2025-11-07	18	7.50372
613	2025-11-11	FLORINA	18	8.95	2025-11-11	18	7.55411
613	2025-11-12	FLORINA	18	3.15	2025-11-12	18	0.663971
613	2025-11-13	FLORINA	18	3.45	2025-11-13	18	2.38516
613	2025-11-15	FLORINA	18	2.25	2025-11-15	18	2.85318
613	2025-11-16	FLORINA	18	4.75	2025-11-16	18	3.19547
613	2025-11-19	FLORINA	18	10.95	2025-11-19	18	10.5127
613	2025-11-22	FLORINA	18	8.65	2025-11-22	18	7.56253
613	2025-11-23	FLORINA	18	-0.35	2025-11-23	18	0.682434
613	2025-11-24	FLORINA	18	1.25	2025-11-24	18	0.444595
