obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
606	2025-09-01	SERRAI	18	11.75	2025-09-01	18	10.9743
606	2025-09-02	SERRAI	18	14.75	2025-09-02	18	15.6718
606	2025-09-03	SERRAI	18	14.75	2025-09-03	18	14.3524
606	2025-09-04	SERRAI	18	13.95	2025-09-04	18	15.7245
606	2025-09-05	SERRAI	18	12.15	2025-09-05	18	10.7888
606	2025-09-06	SERRAI	18	13.25	2025-09-06	18	15.0853
606	2025-09-07	SERRAI	18	11.95	2025-09-07	18	14.0067
606	2025-09-08	SERRAI	18	12.65	2025-09-08	18	12.839
606	2025-09-09	SERRAI	18	15.15	2025-09-09	18	15.03
606	2025-09-10	SERRAI	18	15.75	2025-09-10	18	16.1711
606	2025-09-11	SERRAI	18	15.45	2025-09-11	18	19.0047
606	2025-09-12	SERRAI	18	16.65	2025-09-12	18	15.7615
606	2025-09-13	SERRAI	18	16.25	2025-09-13	18	16.5729
606	2025-09-14	SERRAI	18	15.95	2025-09-14	18	15.8381
606	2025-09-15	SERRAI	18	18.15	2025-09-15	18	16.081
606	2025-09-16	SERRAI	18	14.75	2025-09-16	18	14.663
606	2025-09-17	SERRAI	18	6.65	2025-09-17	18	4.63756
606	2025-09-18	SERRAI	18	8.75	2025-09-18	18	7.46988
606	2025-09-19	SERRAI	18	9.45	2025-09-19	18	11.1737
606	2025-09-20	SERRAI	18	10.45	2025-09-20	18	12.2325
606	2025-09-21	SERRAI	18	13.75	2025-09-21	18	14.4618
606	2025-09-22	SERRAI	18	11.15	2025-09-22	18	12.5011
606	2025-09-24	SERRAI	18	16.95	2025-09-24	18	16.6889
606	2025-09-25	SERRAI	18	15.95	2025-09-25	18	16.478
606	2025-09-26	SERRAI	18	10.65	2025-09-26	18	14.6754
606	2025-09-27	SERRAI	18	7.75	2025-09-27	18	10.6326
606	2025-09-28	SERRAI	18	13.95	2025-09-28	18	12.0757
606	2025-09-29	SERRAI	18	13.25	2025-09-29	18	11.9827
606	2025-09-30	SERRAI	18	13.45	2025-09-30	18	13.474
613	2025-09-01	FLORINA	18	9.75	2025-09-01	18	9.36392
613	2025-09-02	FLORINA	18	11.45	2025-09-02	18	10.4521
613	2025-09-04	FLORINA	18	16.95	2025-09-04	18	13.7997
613	2025-09-05	FLORINA	18	11.45	2025-09-05	18	11.6775
613	2025-09-06	FLORINA	18	12.25	2025-09-06	18	9.2933
613	2025-09-07	FLORINA	18	8.25	2025-09-07	18	10.7606
613	2025-09-08	FLORINA	18	11.45	2025-09-08	18	11.2355
613	2025-09-09	FLORINA	18	6.75	2025-09-09	18	8.9939
613	2025-09-10	FLORINA	18	13.45	2025-09-10	18	11.5861
613	2025-09-11	FLORINA	18	17.95	2025-09-11	18	16.496
613	2025-09-12	FLORINA	18	12.65	2025-09-12	18	12.951
613	2025-09-13	FLORINA	18	14.75	2025-09-13	18	14.8795
613	2025-09-14	FLORINA	18	14.95	2025-09-14	18	13.2717
613	2025-09-15	FLORINA	18	11.25	2025-09-15	18	11.1885
613	2025-09-16	FLORINA	18	12.25	2025-09-16	18	13.4433
613	2025-09-17	FLORINA	18	8.15	2025-09-17	18	7.11998
613	2025-09-18	FLORINA	18	2.25	2025-09-18	18	2.79019
613	2025-09-19	FLORINA	18	6.45	2025-09-19	18	5.74991
613	2025-09-20	FLORINA	18	8.15	2025-09-20	18	10.669
613	2025-09-21	FLORINA	18	9.45	2025-09-21	18	10.4628
613	2025-09-22	FLORINA	18	10.15	2025-09-22	18	12.2003
613	2025-09-24	FLORINA	18	8.75	2025-09-24	18	10.7162
613	2025-09-25	FLORINA	18	14.75	2025-09-25	18	14.0757
613	2025-09-26	FLORINA	18	13.25	2025-09-26	18	12.1432
613	2025-09-27	FLORINA	18	11.25	2025-09-27	18	11.2185
613	2025-09-28	FLORINA	18	12.65	2025-09-28	18	11.2105
613	2025-09-29	FLORINA	18	12.75	2025-09-29	18	10.7942
613	2025-09-30	FLORINA	18	11.45	2025-09-30	18	10.0346
622	2025-09-01	THESSALONIKI (AIRPORT)	18	14.95	2025-09-01	18	17.4723
622	2025-09-02	THESSALONIKI (AIRPORT)	18	17.15	2025-09-02	18	17.6132
622	2025-09-03	THESSALONIKI (AIRPORT)	18	15.75	2025-09-03	18	17.3944
622	2025-09-04	THESSALONIKI (AIRPORT)	18	13.45	2025-09-04	18	17.6776
622	2025-09-05	THESSALONIKI (AIRPORT)	18	17.45	2025-09-05	18	18.6404
622	2025-09-06	THESSALONIKI (AIRPORT)	18	18.45	2025-09-06	18	19.1234
622	2025-09-07	THESSALONIKI (AIRPORT)	18	15.95	2025-09-07	18	17.2137
622	2025-09-08	THESSALONIKI (AIRPORT)	18	16.45	2025-09-08	18	17.9572
622	2025-09-09	THESSALONIKI (AIRPORT)	18	17.95	2025-09-09	18	18.2546
622	2025-09-10	THESSALONIKI (AIRPORT)	18	17.95	2025-09-10	18	18.4767
622	2025-09-11	THESSALONIKI (AIRPORT)	18	19.45	2025-09-11	18	17.452
622	2025-09-12	THESSALONIKI (AIRPORT)	18	17.65	2025-09-12	18	18.1746
622	2025-09-13	THESSALONIKI (AIRPORT)	18	20.45	2025-09-13	18	20.5622
622	2025-09-14	THESSALONIKI (AIRPORT)	18	18.45	2025-09-14	18	18.9543
622	2025-09-15	THESSALONIKI (AIRPORT)	18	19.25	2025-09-15	18	19.7637
622	2025-09-16	THESSALONIKI (AIRPORT)	18	17.75	2025-09-16	18	19.9911
622	2025-09-17	THESSALONIKI (AIRPORT)	18	9.25	2025-09-17	18	7.68248
622	2025-09-18	THESSALONIKI (AIRPORT)	18	6.65	2025-09-18	18	10.8703
622	2025-09-19	THESSALONIKI (AIRPORT)	18	11.95	2025-09-19	18	11.5878
622	2025-09-20	THESSALONIKI (AIRPORT)	18	9.15	2025-09-20	18	13.1641
