obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
606	2025-11-03	SERRAI	12	25	2025-11-02	36	84.8164
606	2025-11-04	SERRAI	12	100	2025-11-03	36	100
606	2025-11-05	SERRAI	12	63	2025-11-04	36	100
606	2025-11-06	SERRAI	12	75	2025-11-05	36	95.3691
606	2025-11-07	SERRAI	12	88	2025-11-06	36	78.9531
606	2025-11-10	SERRAI	12	100	2025-11-09	36	100
606	2025-11-11	SERRAI	12	38	2025-11-10	36	62.1621
606	2025-11-12	SERRAI	12	13	2025-11-11	36	0
606	2025-11-13	SERRAI	12	75	2025-11-12	36	0
606	2025-11-14	SERRAI	12	0	2025-11-13	36	0
606	2025-11-17	SERRAI	12	63	2025-11-16	36	87.9688
606	2025-11-18	SERRAI	12	100	2025-11-17	36	100
606	2025-11-20	SERRAI	12	63	2025-11-19	36	92.8027
606	2025-11-24	SERRAI	12	13	2025-11-23	36	0
606	2025-11-25	SERRAI	12	100	2025-11-24	36	94.7168
606	2025-11-26	SERRAI	12	88	2025-11-25	36	100
606	2025-11-27	SERRAI	12	100	2025-11-26	36	100
606	2025-11-28	SERRAI	12	100	2025-11-27	36	100
622	2025-11-02	THESSALONIKI (AIRPORT)	12	63	2025-11-01	36	39.2891
622	2025-11-03	THESSALONIKI (AIRPORT)	12	38	2025-11-02	36	94.2773
622	2025-11-04	THESSALONIKI (AIRPORT)	12	100	2025-11-03	36	100
622	2025-11-05	THESSALONIKI (AIRPORT)	12	88	2025-11-04	36	100
622	2025-11-06	THESSALONIKI (AIRPORT)	12	100	2025-11-05	36	98.5059
622	2025-11-07	THESSALONIKI (AIRPORT)	12	50	2025-11-06	36	20.873
622	2025-11-08	THESSALONIKI (AIRPORT)	12	88	2025-11-07	36	100
622	2025-11-09	THESSALONIKI (AIRPORT)	12	63	2025-11-08	36	100
622	2025-11-10	THESSALONIKI (AIRPORT)	12	100	2025-11-09	36	100
622	2025-11-11	THESSALONIKI (AIRPORT)	12	25	2025-11-10	36	6.52539
622	2025-11-12	THESSALONIKI (AIRPORT)	12	13	2025-11-11	36	0
622	2025-11-13	THESSALONIKI (AIRPORT)	12	50	2025-11-12	36	21.2949
622	2025-11-14	THESSALONIKI (AIRPORT)	12	0	2025-11-13	36	2.66602
622	2025-11-15	THESSALONIKI (AIRPORT)	12	13	2025-11-14	36	0
622	2025-11-16	THESSALONIKI (AIRPORT)	12	0	2025-11-15	36	0
622	2025-11-17	THESSALONIKI (AIRPORT)	12	63	2025-11-16	36	92.5918
622	2025-11-18	THESSALONIKI (AIRPORT)	12	88	2025-11-17	36	100
622	2025-11-19	THESSALONIKI (AIRPORT)	12	100	2025-11-18	36	100
622	2025-11-20	THESSALONIKI (AIRPORT)	12	50	2025-11-19	36	0
622	2025-11-21	THESSALONIKI (AIRPORT)	12	88	2025-11-20	36	100
622	2025-11-22	THESSALONIKI (AIRPORT)	12	63	2025-11-21	36	0
622	2025-11-23	THESSALONIKI (AIRPORT)	12	13	2025-11-22	36	0
622	2025-11-24	THESSALONIKI (AIRPORT)	12	0	2025-11-23	36	0
622	2025-11-25	THESSALONIKI (AIRPORT)	12	88	2025-11-24	36	100
622	2025-11-26	THESSALONIKI (AIRPORT)	12	88	2025-11-25	36	100
622	2025-11-27	THESSALONIKI (AIRPORT)	12	100	2025-11-26	36	100
622	2025-11-28	THESSALONIKI (AIRPORT)	12	88	2025-11-27	36	100
622	2025-11-29	THESSALONIKI (AIRPORT)	12	25	2025-11-28	36	90.4121
622	2025-11-30	THESSALONIKI (AIRPORT)	12	13	2025-11-29	36	0
624	2025-11-02	CHRYSOPOULI (AIRPORT)	12	75	2025-11-01	36	100
624	2025-11-03	CHRYSOPOULI (AIRPORT)	12	38	2025-11-02	36	85.5879
624	2025-11-04	CHRYSOPOULI (AIRPORT)	12	100	2025-11-03	36	100
624	2025-11-05	CHRYSOPOULI (AIRPORT)	12	88	2025-11-04	36	100
624	2025-11-06	CHRYSOPOULI (AIRPORT)	12	100	2025-11-05	36	100
624	2025-11-07	CHRYSOPOULI (AIRPORT)	12	100	2025-11-06	36	78.1504
624	2025-11-08	CHRYSOPOULI (AIRPORT)	12	88	2025-11-07	36	99.9746
624	2025-11-09	CHRYSOPOULI (AIRPORT)	12	50	2025-11-08	36	100
624	2025-11-10	CHRYSOPOULI (AIRPORT)	12	88	2025-11-09	36	100
624	2025-11-11	CHRYSOPOULI (AIRPORT)	12	25	2025-11-10	36	91.3848
624	2025-11-12	CHRYSOPOULI (AIRPORT)	12	38	2025-11-11	36	10.2695
624	2025-11-13	CHRYSOPOULI (AIRPORT)	12	50	2025-11-12	36	0
624	2025-11-14	CHRYSOPOULI (AIRPORT)	12	13	2025-11-13	36	1.45117
624	2025-11-15	CHRYSOPOULI (AIRPORT)	12	38	2025-11-14	36	0
624	2025-11-16	CHRYSOPOULI (AIRPORT)	12	13	2025-11-15	36	0
624	2025-11-17	CHRYSOPOULI (AIRPORT)	12	75	2025-11-16	36	100
624	2025-11-18	CHRYSOPOULI (AIRPORT)	12	88	2025-11-17	36	100
624	2025-11-19	CHRYSOPOULI (AIRPORT)	12	88	2025-11-18	36	100
624	2025-11-20	CHRYSOPOULI (AIRPORT)	12	75	2025-11-19	36	77.1074
624	2025-11-21	CHRYSOPOULI (AIRPORT)	12	38	2025-11-20	36	82.6641
624	2025-11-22	CHRYSOPOULI (AIRPORT)	12	63	2025-11-21	36	8.0332
624	2025-11-23	CHRYSOPOULI (AIRPORT)	12	50	2025-11-22	36	2.67773
624	2025-11-24	CHRYSOPOULI (AIRPORT)	12	13	2025-11-23	36	0.714844
624	2025-11-25	CHRYSOPOULI (AIRPORT)	12	75	2025-11-24	36	100
624	2025-11-26	CHRYSOPOULI (AIRPORT)	12	75	2025-11-25	36	70.6152
624	2025-11-27	CHRYSOPOULI (AIRPORT)	12	88	2025-11-26	36	100
624	2025-11-28	CHRYSOPOULI (AIRPORT)	12	100	2025-11-27	36	100
624	2025-11-29	CHRYSOPOULI (AIRPORT)	12	88	2025-11-28	36	100
624	2025-11-30	CHRYSOPOULI (AIRPORT)	12	25	2025-11-29	36	11.793
627	2025-11-02	ALEXANDROUPOLI (AIRPORT)	12	63	2025-11-01	36	100
627	2025-11-03	ALEXANDROUPOLI (AIRPORT)	12	63	2025-11-02	36	94.8008
627	2025-11-04	ALEXANDROUPOLI (AIRPORT)	12	100	2025-11-03	36	100
627	2025-11-05	ALEXANDROUPOLI (AIRPORT)	12	100	2025-11-04	36	100
