obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
606	2025-10-01	SERRAI	12	88	2025-10-01	12	94.1934
606	2025-10-02	SERRAI	12	100	2025-10-02	12	100
606	2025-10-03	SERRAI	12	25	2025-10-03	12	99.2871
606	2025-10-06	SERRAI	12	100	2025-10-06	12	100
606	2025-10-07	SERRAI	12	100	2025-10-07	12	100
606	2025-10-08	SERRAI	12	63	2025-10-08	12	100
606	2025-10-09	SERRAI	12	38	2025-10-09	12	0
606	2025-10-10	SERRAI	12	38	2025-10-10	12	91.3984
606	2025-10-13	SERRAI	12	63	2025-10-13	12	100
606	2025-10-14	SERRAI	12	13	2025-10-14	12	12.5938
606	2025-10-15	SERRAI	12	63	2025-10-15	12	81.1465
606	2025-10-16	SERRAI	12	25	2025-10-16	12	100
606	2025-10-17	SERRAI	12	100	2025-10-17	12	100
606	2025-10-20	SERRAI	12	75	2025-10-20	12	85.4805
606	2025-10-21	SERRAI	12	100	2025-10-21	12	100
606	2025-10-22	SERRAI	12	88	2025-10-22	12	100
606	2025-10-23	SERRAI	12	13	2025-10-23	12	8.12891
606	2025-10-24	SERRAI	12	25	2025-10-24	12	17.4941
606	2025-10-29	SERRAI	12	0	2025-10-29	12	0
606	2025-10-30	SERRAI	12	38	2025-10-30	12	87.1953
606	2025-10-31	SERRAI	12	50	2025-10-31	12	100
622	2025-10-01	THESSALONIKI (AIRPORT)	12	100	2025-10-01	12	87.3359
622	2025-10-02	THESSALONIKI (AIRPORT)	12	100	2025-10-02	12	100
622	2025-10-03	THESSALONIKI (AIRPORT)	12	38	2025-10-03	12	100
622	2025-10-04	THESSALONIKI (AIRPORT)	12	13	2025-10-04	12	74.7402
622	2025-10-05	THESSALONIKI (AIRPORT)	12	25	2025-10-05	12	21.998
622	2025-10-06	THESSALONIKI (AIRPORT)	12	63	2025-10-06	12	100
622	2025-10-07	THESSALONIKI (AIRPORT)	12	100	2025-10-07	12	97.2891
622	2025-10-08	THESSALONIKI (AIRPORT)	12	75	2025-10-08	12	54.4023
622	2025-10-09	THESSALONIKI (AIRPORT)	12	13	2025-10-09	12	0.230469
622	2025-10-10	THESSALONIKI (AIRPORT)	12	38	2025-10-10	12	25.1211
622	2025-10-11	THESSALONIKI (AIRPORT)	12	38	2025-10-11	12	2.75391
622	2025-10-12	THESSALONIKI (AIRPORT)	12	25	2025-10-12	12	0
622	2025-10-13	THESSALONIKI (AIRPORT)	12	88	2025-10-13	12	99.9746
622	2025-10-14	THESSALONIKI (AIRPORT)	12	13	2025-10-14	12	0
622	2025-10-15	THESSALONIKI (AIRPORT)	12	75	2025-10-15	12	76.0879
622	2025-10-16	THESSALONIKI (AIRPORT)	12	88	2025-10-16	12	100
622	2025-10-17	THESSALONIKI (AIRPORT)	12	100	2025-10-17	12	100
622	2025-10-18	THESSALONIKI (AIRPORT)	12	75	2025-10-18	12	100
622	2025-10-19	THESSALONIKI (AIRPORT)	12	38	2025-10-19	12	49.9668
622	2025-10-20	THESSALONIKI (AIRPORT)	12	88	2025-10-20	12	95.4824
622	2025-10-21	THESSALONIKI (AIRPORT)	12	88	2025-10-21	12	100
622	2025-10-22	THESSALONIKI (AIRPORT)	12	88	2025-10-22	12	88.9473
622	2025-10-23	THESSALONIKI (AIRPORT)	12	63	2025-10-23	12	85.8008
622	2025-10-24	THESSALONIKI (AIRPORT)	12	25	2025-10-24	12	0
622	2025-10-25	THESSALONIKI (AIRPORT)	12	38	2025-10-25	12	0
622	2025-10-26	THESSALONIKI (AIRPORT)	12	75	2025-10-26	12	63.8711
622	2025-10-27	THESSALONIKI (AIRPORT)	12	75	2025-10-27	12	100
622	2025-10-28	THESSALONIKI (AIRPORT)	12	50	2025-10-28	12	28.209
622	2025-10-29	THESSALONIKI (AIRPORT)	12	0	2025-10-29	12	0
622	2025-10-30	THESSALONIKI (AIRPORT)	12	63	2025-10-30	12	94.7715
622	2025-10-31	THESSALONIKI (AIRPORT)	12	88	2025-10-31	12	72.0801
624	2025-10-01	CHRYSOPOULI (AIRPORT)	12	88	2025-10-01	12	98.3906
624	2025-10-02	CHRYSOPOULI (AIRPORT)	12	100	2025-10-02	12	100
624	2025-10-03	CHRYSOPOULI (AIRPORT)	12	50	2025-10-03	12	9.90234
624	2025-10-04	CHRYSOPOULI (AIRPORT)	12	13	2025-10-04	12	12.0996
624	2025-10-05	CHRYSOPOULI (AIRPORT)	12	50	2025-10-05	12	0
624	2025-10-06	CHRYSOPOULI (AIRPORT)	12	100	2025-10-06	12	100
624	2025-10-07	CHRYSOPOULI (AIRPORT)	12	100	2025-10-07	12	100
624	2025-10-08	CHRYSOPOULI (AIRPORT)	12	38	2025-10-08	12	50.875
624	2025-10-09	CHRYSOPOULI (AIRPORT)	12	25	2025-10-09	12	14.002
