obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
622	2025-11-01	THESSALONIKI (AIRPORT)	3	38	2025-11-01	3	98.0469
622	2025-11-02	THESSALONIKI (AIRPORT)	3	25	2025-11-02	3	13.8574
622	2025-11-03	THESSALONIKI (AIRPORT)	3	75	2025-11-03	3	2.38672
622	2025-11-04	THESSALONIKI (AIRPORT)	3	88	2025-11-04	3	100
622	2025-11-05	THESSALONIKI (AIRPORT)	3	100	2025-11-05	3	100
622	2025-11-06	THESSALONIKI (AIRPORT)	3	88	2025-11-06	3	100
622	2025-11-07	THESSALONIKI (AIRPORT)	3	88	2025-11-07	3	96.3906
622	2025-11-08	THESSALONIKI (AIRPORT)	3	75	2025-11-08	3	98.8398
622	2025-11-09	THESSALONIKI (AIRPORT)	3	88	2025-11-09	3	100
622	2025-11-10	THESSALONIKI (AIRPORT)	3	100	2025-11-10	3	99.1875
622	2025-11-11	THESSALONIKI (AIRPORT)	3	88	2025-11-11	3	56.5527
622	2025-11-12	THESSALONIKI (AIRPORT)	3	13	2025-11-12	3	15.6348
622	2025-11-13	THESSALONIKI (AIRPORT)	3	13	2025-11-13	3	11.5781
622	2025-11-14	THESSALONIKI (AIRPORT)	3	13	2025-11-14	3	9.20508
622	2025-11-15	THESSALONIKI (AIRPORT)	3	13	2025-11-15	3	10.0527
622	2025-11-16	THESSALONIKI (AIRPORT)	3	50	2025-11-16	3	76.7578
622	2025-11-17	THESSALONIKI (AIRPORT)	3	75	2025-11-17	3	75.1855
622	2025-11-18	THESSALONIKI (AIRPORT)	3	63	2025-11-18	3	99.9883
622	2025-11-19	THESSALONIKI (AIRPORT)	3	63	2025-11-19	3	100
622	2025-11-20	THESSALONIKI (AIRPORT)	3	100	2025-11-20	3	99.9512
622	2025-11-21	THESSALONIKI (AIRPORT)	3	63	2025-11-21	3	91.1465
622	2025-11-22	THESSALONIKI (AIRPORT)	3	25	2025-11-22	3	15.1211
622	2025-11-23	THESSALONIKI (AIRPORT)	3	38	2025-11-23	3	9.83984
622	2025-11-24	THESSALONIKI (AIRPORT)	3	13	2025-11-24	3	0
622	2025-11-25	THESSALONIKI (AIRPORT)	3	38	2025-11-25	3	91.1836
622	2025-11-26	THESSALONIKI (AIRPORT)	3	63	2025-11-26	3	38.1191
622	2025-11-27	THESSALONIKI (AIRPORT)	3	100	2025-11-27	3	99.9609
622	2025-11-28	THESSALONIKI (AIRPORT)	3	88	2025-11-28	3	99.8848
622	2025-11-29	THESSALONIKI (AIRPORT)	3	100	2025-11-29	3	94.9922
622	2025-11-30	THESSALONIKI (AIRPORT)	3	13	2025-11-30	3	43.3633
624	2025-11-27	CHRYSOPOULI (AIRPORT)	3	75	2025-11-27	3	100
624	2025-11-28	CHRYSOPOULI (AIRPORT)	3	50	2025-11-28	3	67.7695
624	2025-11-30	CHRYSOPOULI (AIRPORT)	3	13	2025-11-30	3	58.8105
627	2025-11-01	ALEXANDROUPOLI (AIRPORT)	3	13	2025-11-01	3	69.3887
627	2025-11-02	ALEXANDROUPOLI (AIRPORT)	3	38	2025-11-02	3	65.8633
627	2025-11-03	ALEXANDROUPOLI (AIRPORT)	3	50	2025-11-03	3	98.3184
627	2025-11-04	ALEXANDROUPOLI (AIRPORT)	3	75	2025-11-04	3	100
627	2025-11-05	ALEXANDROUPOLI (AIRPORT)	3	88	2025-11-05	3	99.6641
627	2025-11-06	ALEXANDROUPOLI (AIRPORT)	3	100	2025-11-06	3	98.3398
627	2025-11-07	ALEXANDROUPOLI (AIRPORT)	3	63	2025-11-07	3	100
627	2025-11-08	ALEXANDROUPOLI (AIRPORT)	3	63	2025-11-08	3	99.1602
627	2025-11-09	ALEXANDROUPOLI (AIRPORT)	3	100	2025-11-09	3	99.4512
627	2025-11-10	ALEXANDROUPOLI (AIRPORT)	3	50	2025-11-10	3	99.9238
627	2025-11-11	ALEXANDROUPOLI (AIRPORT)	3	50	2025-11-11	3	59.5098
627	2025-11-12	ALEXANDROUPOLI (AIRPORT)	3	50	2025-11-12	3	10.9688
627	2025-11-13	ALEXANDROUPOLI (AIRPORT)	3	0	2025-11-13	3	51.5723
627	2025-11-14	ALEXANDROUPOLI (AIRPORT)	3	0	2025-11-14	3	99.4297
627	2025-11-15	ALEXANDROUPOLI (AIRPORT)	3	25	2025-11-15	3	7.37305
627	2025-11-16	ALEXANDROUPOLI (AIRPORT)	3	25	2025-11-16	3	61.0508
627	2025-11-17	ALEXANDROUPOLI (AIRPORT)	3	50	2025-11-17	3	12.1484
627	2025-11-18	ALEXANDROUPOLI (AIRPORT)	3	63	2025-11-18	3	99.5664
