obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
606	2025-09-02	SERRAI	0	13.25	2025-09-01	24	12.0949
606	2025-09-03	SERRAI	0	14.75	2025-09-02	24	13.538
606	2025-09-04	SERRAI	0	14.95	2025-09-03	24	17.2377
606	2025-09-05	SERRAI	0	13.25	2025-09-04	24	14.5617
606	2025-09-06	SERRAI	0	13.25	2025-09-05	24	10.5707
606	2025-09-07	SERRAI	0	12.75	2025-09-06	24	13.4276
606	2025-09-08	SERRAI	0	11.65	2025-09-07	24	11.3591
606	2025-09-09	SERRAI	0	13.45	2025-09-08	24	13.6103
606	2025-09-10	SERRAI	0	14.65	2025-09-09	24	15.1351
606	2025-09-11	SERRAI	0	14.45	2025-09-10	24	15.7069
606	2025-09-12	SERRAI	0	13.75	2025-09-11	24	15.4182
606	2025-09-13	SERRAI	0	15.45	2025-09-12	24	15.5841
606	2025-09-14	SERRAI	0	18.15	2025-09-13	24	15.5807
606	2025-09-15	SERRAI	0	18.45	2025-09-14	24	15.5768
606	2025-09-16	SERRAI	0	16.75	2025-09-15	24	15.8967
606	2025-09-17	SERRAI	0	14.75	2025-09-16	24	14.7093
606	2025-09-18	SERRAI	0	6.45	2025-09-17	24	7.04868
606	2025-09-19	SERRAI	0	8.15	2025-09-18	24	7.93156
606	2025-09-20	SERRAI	0	9.15	2025-09-19	24	9.13541
606	2025-09-21	SERRAI	0	10.25	2025-09-20	24	11.311
606	2025-09-22	SERRAI	0	13.75	2025-09-21	24	13.796
606	2025-09-23	SERRAI	0	10.95	2025-09-22	24	12.578
606	2025-09-25	SERRAI	0	14.25	2025-09-24	24	12.9021
606	2025-09-26	SERRAI	0	13.95	2025-09-25	24	14.5399
606	2025-09-27	SERRAI	0	8.15	2025-09-26	24	9.1414
606	2025-09-28	SERRAI	0	8.65	2025-09-27	24	8.36618
606	2025-09-29	SERRAI	0	13.65	2025-09-28	24	12.518
606	2025-09-30	SERRAI	0	13.45	2025-09-29	24	13.2462
613	2025-09-02	FLORINA	0	10.45	2025-09-01	24	10.2736
613	2025-09-03	FLORINA	0	11.45	2025-09-02	24	11.0136
613	2025-09-06	FLORINA	0	11.25	2025-09-05	24	10.267
613	2025-09-07	FLORINA	0	10.45	2025-09-06	24	8.78603
613	2025-09-08	FLORINA	0	9.75	2025-09-07	24	8.6218
613	2025-09-09	FLORINA	0	11.75	2025-09-08	24	11.1982
613	2025-09-10	FLORINA	0	9.25	2025-09-09	24	6.48466
613	2025-09-11	FLORINA	0	13.95	2025-09-10	24	13.0478
613	2025-09-13	FLORINA	0	11.75	2025-09-12	24	11.0323
613	2025-09-14	FLORINA	0	15.75	2025-09-13	24	14.6432
613	2025-09-15	FLORINA	0	14.45	2025-09-14	24	8.63832
613	2025-09-16	FLORINA	0	10.95	2025-09-15	24	11.3264
613	2025-09-17	FLORINA	0	13.65	2025-09-16	24	12.3684
613	2025-09-18	FLORINA	0	6.45	2025-09-17	24	5.7059
613	2025-09-19	FLORINA	0	4.45	2025-09-18	24	4.49895
613	2025-09-20	FLORINA	0	8.25	2025-09-19	24	8.42642
613	2025-09-21	FLORINA	0	9.25	2025-09-20	24	9.63518
613	2025-09-22	FLORINA	0	9.45	2025-09-21	24	10.0519
613	2025-09-23	FLORINA	0	9.65	2025-09-22	24	11.8143
613	2025-09-25	FLORINA	0	10.15	2025-09-24	24	9.79858
613	2025-09-26	FLORINA	0	15.75	2025-09-25	24	14.2391
613	2025-09-27	FLORINA	0	13.65	2025-09-26	24	13.1053
613	2025-09-30	FLORINA	0	11.95	2025-09-29	24	9.75308
622	2025-09-02	THESSALONIKI (AIRPORT)	0	15.65	2025-09-01	24	12.9328
622	2025-09-03	THESSALONIKI (AIRPORT)	0	13.75	2025-09-02	24	14.4657
622	2025-09-04	THESSALONIKI (AIRPORT)	0	14.45	2025-09-03	24	19.5834
622	2025-09-05	THESSALONIKI (AIRPORT)	0	13.95	2025-09-04	24	16.4084
622	2025-09-06	THESSALONIKI (AIRPORT)	0	12.75	2025-09-05	24	15.7055
622	2025-09-07	THESSALONIKI (AIRPORT)	0	14.95	2025-09-06	24	18.1815
622	2025-09-08	THESSALONIKI (AIRPORT)	0	14.75	2025-09-07	24	15.7253
622	2025-09-09	THESSALONIKI (AIRPORT)	0	14.45	2025-09-08	24	16.2402
622	2025-09-10	THESSALONIKI (AIRPORT)	0	13.65	2025-09-09	24	14.1614
622	2025-09-11	THESSALONIKI (AIRPORT)	0	11.45	2025-09-10	24	14.4706
622	2025-09-12	THESSALONIKI (AIRPORT)	0	17.45	2025-09-11	24	14.0744
622	2025-09-13	THESSALONIKI (AIRPORT)	0	13.95	2025-09-12	24	16.0274
622	2025-09-14	THESSALONIKI (AIRPORT)	0	18.95	2025-09-13	24	15.9176
622	2025-09-15	THESSALONIKI (AIRPORT)	0	17.45	2025-09-14	24	18.3375
622	2025-09-16	THESSALONIKI (AIRPORT)	0	18.95	2025-09-15	24	18.1526
622	2025-09-17	THESSALONIKI (AIRPORT)	0	15.75	2025-09-16	24	17.9983
622	2025-09-18	THESSALONIKI (AIRPORT)	0	7.75	2025-09-17	24	8.42465
622	2025-09-19	THESSALONIKI (AIRPORT)	0	6.95	2025-09-18	24	8.01262
622	2025-09-20	THESSALONIKI (AIRPORT)	0	9.95	2025-09-19	24	9.71256
622	2025-09-21	THESSALONIKI (AIRPORT)	0	8.65	2025-09-20	24	12.227
622	2025-09-22	THESSALONIKI (AIRPORT)	0	12.15	2025-09-21	24	14.1124
622	2025-09-23	THESSALONIKI (AIRPORT)	0	11.25	2025-09-22	24	12.1815
622	2025-09-25	THESSALONIKI (AIRPORT)	0	15.95	2025-09-24	24	15.3406
622	2025-09-26	THESSALONIKI (AIRPORT)	0	15.65	2025-09-25	24	16.2733
622	2025-09-27	THESSALONIKI (AIRPORT)	0	9.25	2025-09-26	24	11.5603
622	2025-09-28	THESSALONIKI (AIRPORT)	0	8.45	2025-09-27	24	10.917
622	2025-09-29	THESSALONIKI (AIRPORT)	0	14.65	2025-09-28	24	12.9887
622	2025-09-30	THESSALONIKI (AIRPORT)	0	14.95	2025-09-29	24	9.35269
627	2025-09-02	ALEXANDROUPOLI (AIRPORT)	0	16.45	2025-09-01	24	15.1515
627	2025-09-03	ALEXANDROUPOLI (AIRPORT)	0	14.45	2025-09-02	24	16.6327
627	2025-09-04	ALEXANDROUPOLI (AIRPORT)	0	13.25	2025-09-03	24	15.8969
627	2025-09-05	ALEXANDROUPOLI (AIRPORT)	0	16.95	2025-09-04	24	17.6838
627	2025-09-06	ALEXANDROUPOLI (AIRPORT)	0	15.95	2025-09-05	24	16.349
627	2025-09-07	ALEXANDROUPOLI (AIRPORT)	0	15.95	2025-09-06	24	16.1015
627	2025-09-08	ALEXANDROUPOLI (AIRPORT)	0	13.15	2025-09-07	24	15.1491
627	2025-09-09	ALEXANDROUPOLI (AIRPORT)	0	12.25	2025-09-08	24	15.5185
627	2025-09-10	ALEXANDROUPOLI (AIRPORT)	0	12.75	2025-09-09	24	15.6185
627	2025-09-11	ALEXANDROUPOLI (AIRPORT)	0	13.25	2025-09-10	24	14.6698
627	2025-09-12	ALEXANDROUPOLI (AIRPORT)	0	14.25	2025-09-11	24	18.2815
627	2025-09-13	ALEXANDROUPOLI (AIRPORT)	0	18.25	2025-09-12	24	18.2794
627	2025-09-14	ALEXANDROUPOLI (AIRPORT)	0	13.95	2025-09-13	24	16.1266
627	2025-09-15	ALEXANDROUPOLI (AIRPORT)	0	13.65	2025-09-14	24	13.3092
627	2025-09-16	ALEXANDROUPOLI (AIRPORT)	0	13.45	2025-09-15	24	13.2024
627	2025-09-17	ALEXANDROUPOLI (AIRPORT)	0	12.75	2025-09-16	24	16.928
627	2025-09-18	ALEXANDROUPOLI (AIRPORT)	0	12.75	2025-09-17	24	8.91293
627	2025-09-19	ALEXANDROUPOLI (AIRPORT)	0	10.25	2025-09-18	24	9.13567
627	2025-09-20	ALEXANDROUPOLI (AIRPORT)	0	9.25	2025-09-19	24	11.0954
627	2025-09-21	ALEXANDROUPOLI (AIRPORT)	0	14.25	2025-09-20	24	14.6371
627	2025-09-22	ALEXANDROUPOLI (AIRPORT)	0	12.95	2025-09-21	24	13.339
627	2025-09-23	ALEXANDROUPOLI (AIRPORT)	0	15.25	2025-09-22	24	14.3143
627	2025-09-25	ALEXANDROUPOLI (AIRPORT)	0	13.45	2025-09-24	24	14.9636
627	2025-09-26	ALEXANDROUPOLI (AIRPORT)	0	15.15	2025-09-25	24	14.1961
627	2025-09-27	ALEXANDROUPOLI (AIRPORT)	0	8.95	2025-09-26	24	9.4334
627	2025-09-28	ALEXANDROUPOLI (AIRPORT)	0	7.95	2025-09-27	24	8.72263
627	2025-09-29	ALEXANDROUPOLI (AIRPORT)	0	12.95	2025-09-28	24	12.2729
627	2025-09-30	ALEXANDROUPOLI (AIRPORT)	0	9.15	2025-09-29	24	11.5724
632	2025-09-02	KOZANI (AIRPORT)	0	6.45	2025-09-01	24	11.2785
632	2025-09-03	KOZANI (AIRPORT)	0	8.45	2025-09-02	24	12.8476
632	2025-09-05	KOZANI (AIRPORT)	0	12.75	2025-09-04	24	14.7462
632	2025-09-06	KOZANI (AIRPORT)	0	10.95	2025-09-05	24	12.8627
632	2025-09-07	KOZANI (AIRPORT)	0	6.25	2025-09-06	24	8.67958
632	2025-09-08	KOZANI (AIRPORT)	0	7.95	2025-09-07	24	10.7351
632	2025-09-09	KOZANI (AIRPORT)	0	8.45	2025-09-08	24	11.7636
632	2025-09-10	KOZANI (AIRPORT)	0	14.25	2025-09-09	24	14.7103
