obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
606	2025-11-02	SERRAI	6	5.75	2025-11-01	30	6.27232
606	2025-11-03	SERRAI	6	8.25	2025-11-02	30	7.56209
606	2025-11-04	SERRAI	6	12.25	2025-11-03	30	11.3893
606	2025-11-05	SERRAI	6	11.45	2025-11-04	30	11.2894
606	2025-11-06	SERRAI	6	11.95	2025-11-05	30	11.1718
606	2025-11-07	SERRAI	6	10.95	2025-11-06	30	11.3071
606	2025-11-08	SERRAI	6	10.75	2025-11-07	30	10.8992
606	2025-11-09	SERRAI	6	13.95	2025-11-08	30	13.078
606	2025-11-10	SERRAI	6	13.45	2025-11-09	30	14.7319
606	2025-11-11	SERRAI	6	11.25	2025-11-10	30	12.9203
606	2025-11-12	SERRAI	6	7.15	2025-11-11	30	4.83063
606	2025-11-13	SERRAI	6	3.45	2025-11-12	30	4.66742
606	2025-11-14	SERRAI	6	3.25	2025-11-13	30	4.08185
606	2025-11-15	SERRAI	6	3.45	2025-11-14	30	4.74617
606	2025-11-16	SERRAI	6	2.95	2025-11-15	30	4.37292
606	2025-11-17	SERRAI	6	7.95	2025-11-16	30	6.6308
606	2025-11-18	SERRAI	6	10.45	2025-11-17	30	11.1974
606	2025-11-19	SERRAI	6	13.75	2025-11-18	30	12.6477
606	2025-11-20	SERRAI	6	11.65	2025-11-19	30	13.3008
606	2025-11-21	SERRAI	6	14.45	2025-11-20	30	14.2
606	2025-11-24	SERRAI	6	3.75	2025-11-23	30	4.0004
606	2025-11-25	SERRAI	6	2.15	2025-11-24	30	2.81783
606	2025-11-26	SERRAI	6	5.25	2025-11-25	30	7.60544
606	2025-11-27	SERRAI	6	15.95	2025-11-26	30	14.0464
606	2025-11-28	SERRAI	6	9.95	2025-11-27	30	11.4869
613	2025-11-05	FLORINA	6	7.25	2025-11-04	30	5.03842
613	2025-11-17	FLORINA	6	5.25	2025-11-16	30	2.09076
613	2025-11-18	FLORINA	6	10.75	2025-11-17	30	9.78041
613	2025-11-20	FLORINA	6	8.95	2025-11-19	30	9.26958
613	2025-11-22	FLORINA	6	8.75	2025-11-21	30	7.49864
613	2025-11-23	FLORINA	6	3.75	2025-11-22	30	2.5817
613	2025-11-24	FLORINA	6	0.45	2025-11-23	30	-1.0621
613	2025-11-25	FLORINA	6	2.45	2025-11-24	30	2.47701
613	2025-11-26	FLORINA	6	8.65	2025-11-25	30	6.33102
622	2025-11-02	THESSALONIKI (AIRPORT)	6	7.95	2025-11-01	30	8.72643
622	2025-11-03	THESSALONIKI (AIRPORT)	6	8.95	2025-11-02	30	10.7359
622	2025-11-04	THESSALONIKI (AIRPORT)	6	16.15	2025-11-03	30	13.4391
622	2025-11-05	THESSALONIKI (AIRPORT)	6	9.75	2025-11-04	30	9.99252
622	2025-11-06	THESSALONIKI (AIRPORT)	6	12.75	2025-11-05	30	10.874
622	2025-11-07	THESSALONIKI (AIRPORT)	6	10.45	2025-11-06	30	9.76018
622	2025-11-08	THESSALONIKI (AIRPORT)	6	12.75	2025-11-07	30	11.9617
622	2025-11-09	THESSALONIKI (AIRPORT)	6	13.25	2025-11-08	30	14.0028
622	2025-11-10	THESSALONIKI (AIRPORT)	6	13.95	2025-11-09	30	15.478
622	2025-11-11	THESSALONIKI (AIRPORT)	6	13.25	2025-11-10	30	14.3587
622	2025-11-12	THESSALONIKI (AIRPORT)	6	5.65	2025-11-11	30	7.32379
622	2025-11-13	THESSALONIKI (AIRPORT)	6	5.45	2025-11-12	30	4.77289
622	2025-11-14	THESSALONIKI (AIRPORT)	6	5.25	2025-11-13	30	4.80939
622	2025-11-15	THESSALONIKI (AIRPORT)	6	5.65	2025-11-14	30	6.00008
622	2025-11-16	THESSALONIKI (AIRPORT)	6	8.75	2025-11-15	30	6.24402
622	2025-11-17	THESSALONIKI (AIRPORT)	6	12.45	2025-11-16	30	9.6806
622	2025-11-18	THESSALONIKI (AIRPORT)	6	14.45	2025-11-17	30	12.7306
622	2025-11-19	THESSALONIKI (AIRPORT)	6	13.75	2025-11-18	30	11.8977
622	2025-11-20	THESSALONIKI (AIRPORT)	6	14.15	2025-11-19	30	13.2247
622	2025-11-21	THESSALONIKI (AIRPORT)	6	13.95	2025-11-20	30	14.5554
622	2025-11-22	THESSALONIKI (AIRPORT)	6	13.95	2025-11-21	30	13.2467
622	2025-11-23	THESSALONIKI (AIRPORT)	6	11.95	2025-11-22	30	7.24576
622	2025-11-24	THESSALONIKI (AIRPORT)	6	2.75	2025-11-23	30	4.03653
622	2025-11-25	THESSALONIKI (AIRPORT)	6	5.65	2025-11-24	30	6.31197
622	2025-11-26	THESSALONIKI (AIRPORT)	6	7.15	2025-11-25	30	11.1406
622	2025-11-27	THESSALONIKI (AIRPORT)	6	12.75	2025-11-26	30	13.8355
622	2025-11-28	THESSALONIKI (AIRPORT)	6	10.65	2025-11-27	30	12.0729
622	2025-11-29	THESSALONIKI (AIRPORT)	6	8.95	2025-11-28	30	9.66501
622	2025-11-30	THESSALONIKI (AIRPORT)	6	1.95	2025-11-29	30	2.46666
