obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	ecmwf_dates	ecmwf_td_table_h	ecmwf_td_table
622	2025-10-23	THESSALONIKI (AIRPORT)	6	14.75	2025-10-23	6	13.9867
622	2025-10-24	THESSALONIKI (AIRPORT)	6	14.25	2025-10-24	6	15.5851
622	2025-10-25	THESSALONIKI (AIRPORT)	6	6.45	2025-10-25	6	7.51651
622	2025-10-26	THESSALONIKI (AIRPORT)	6	10.25	2025-10-26	6	10.4894
622	2025-10-27	THESSALONIKI (AIRPORT)	6	13.15	2025-10-27	6	14.5561
622	2025-10-28	THESSALONIKI (AIRPORT)	6	10.75	2025-10-28	6	9.26285
622	2025-10-29	THESSALONIKI (AIRPORT)	6	6.25	2025-10-29	6	6.71069
622	2025-10-30	THESSALONIKI (AIRPORT)	6	10.25	2025-10-30	6	9.85246
622	2025-10-31	THESSALONIKI (AIRPORT)	6	11.95	2025-10-31	6	12.1011
624	2025-10-01	CHRYSOPOULI (AIRPORT)	6	12.15	2025-10-01	6	3.47916
624	2025-10-02	CHRYSOPOULI (AIRPORT)	6	10.95	2025-10-02	6	8.6031
624	2025-10-03	CHRYSOPOULI (AIRPORT)	6	16.15	2025-10-03	6	14.6717
624	2025-10-04	CHRYSOPOULI (AIRPORT)	6	12.25	2025-10-04	6	10.1171
624	2025-10-05	CHRYSOPOULI (AIRPORT)	6	9.95	2025-10-05	6	7.41349
624	2025-10-06	CHRYSOPOULI (AIRPORT)	6	13.45	2025-10-06	6	10.5594
624	2025-10-07	CHRYSOPOULI (AIRPORT)	6	12.75	2025-10-07	6	11.6566
624	2025-10-08	CHRYSOPOULI (AIRPORT)	6	11.25	2025-10-08	6	7.46842
624	2025-10-09	CHRYSOPOULI (AIRPORT)	6	11.25	2025-10-09	6	11.1159
624	2025-10-10	CHRYSOPOULI (AIRPORT)	6	13.65	2025-10-10	6	10.5981
624	2025-10-11	CHRYSOPOULI (AIRPORT)	6	12.95	2025-10-11	6	11.7419
624	2025-10-12	CHRYSOPOULI (AIRPORT)	6	8.45	2025-10-12	6	9.04092
624	2025-10-13	CHRYSOPOULI (AIRPORT)	6	11.95	2025-10-13	6	9.04387
624	2025-10-14	CHRYSOPOULI (AIRPORT)	6	10.95	2025-10-14	6	9.2648
624	2025-10-15	CHRYSOPOULI (AIRPORT)	6	11.75	2025-10-15	6	9.64734
624	2025-10-16	CHRYSOPOULI (AIRPORT)	6	10.25	2025-10-16	6	8.19059
624	2025-10-17	CHRYSOPOULI (AIRPORT)	6	10.65	2025-10-17	6	7.92105
624	2025-10-18	CHRYSOPOULI (AIRPORT)	6	14.65	2025-10-18	6	12.2108
624	2025-10-19	CHRYSOPOULI (AIRPORT)	6	14.95	2025-10-19	6	13.6073
624	2025-10-20	CHRYSOPOULI (AIRPORT)	6	11.95	2025-10-20	6	4.87955
624	2025-10-21	CHRYSOPOULI (AIRPORT)	6	11.75	2025-10-21	6	8.97623
624	2025-10-22	CHRYSOPOULI (AIRPORT)	6	10.75	2025-10-22	6	8.94279
624	2025-10-23	CHRYSOPOULI (AIRPORT)	6	12.45	2025-10-23	6	11.3002
624	2025-10-24	CHRYSOPOULI (AIRPORT)	6	14.25	2025-10-24	6	14.63
624	2025-10-25	CHRYSOPOULI (AIRPORT)	6	11.75	2025-10-25	6	12.8925
624	2025-10-26	CHRYSOPOULI (AIRPORT)	6	11.45	2025-10-26	6	9.80094
624	2025-10-27	CHRYSOPOULI (AIRPORT)	6	14.25	2025-10-27	6	14.1322
624	2025-10-28	CHRYSOPOULI (AIRPORT)	6	13.25	2025-10-28	6	11.2502
624	2025-10-29	CHRYSOPOULI (AIRPORT)	6	6.95	2025-10-29	6	7.0603
624	2025-10-30	CHRYSOPOULI (AIRPORT)	6	6.75	2025-10-30	6	4.56535
624	2025-10-31	CHRYSOPOULI (AIRPORT)	6	8.25	2025-10-31	6	7.05713
627	2025-10-01	ALEXANDROUPOLI (AIRPORT)	6	9.75	2025-10-01	6	9.48697
627	2025-10-02	ALEXANDROUPOLI (AIRPORT)	6	10.25	2025-10-02	6	9.25056
627	2025-10-03	ALEXANDROUPOLI (AIRPORT)	6	16.15	2025-10-03	6	15.3162
627	2025-10-04	ALEXANDROUPOLI (AIRPORT)	6	11.25	2025-10-04	6	10.1933
627	2025-10-05	ALEXANDROUPOLI (AIRPORT)	6	10.15	2025-10-05	6	10.7338
627	2025-10-06	ALEXANDROUPOLI (AIRPORT)	6	15.45	2025-10-06	6	14.6932
627	2025-10-07	ALEXANDROUPOLI (AIRPORT)	6	10.95	2025-10-07	6	8.98282
627	2025-10-08	ALEXANDROUPOLI (AIRPORT)	6	10.25	2025-10-08	6	8.48209
627	2025-10-10	ALEXANDROUPOLI (AIRPORT)	6	9.95	2025-10-10	6	10.5502
627	2025-10-11	ALEXANDROUPOLI (AIRPORT)	6	13.45	2025-10-11	6	12.1481
627	2025-10-12	ALEXANDROUPOLI (AIRPORT)	6	8.25	2025-10-12	6	8.10733
627	2025-10-13	ALEXANDROUPOLI (AIRPORT)	6	11.25	2025-10-13	6	10.2626
627	2025-10-14	ALEXANDROUPOLI (AIRPORT)	6	10.75	2025-10-14	6	9.57633
627	2025-10-15	ALEXANDROUPOLI (AIRPORT)	6	11.75	2025-10-15	6	11.7665
627	2025-10-16	ALEXANDROUPOLI (AIRPORT)	6	9.75	2025-10-16	6	9.72867
627	2025-10-17	ALEXANDROUPOLI (AIRPORT)	6	10.15	2025-10-17	6	9.00894
627	2025-10-18	ALEXANDROUPOLI (AIRPORT)	6	13.25	2025-10-18	6	13.3426
627	2025-10-19	ALEXANDROUPOLI (AIRPORT)	6	12.75	2025-10-19	6	9.32312
627	2025-10-20	ALEXANDROUPOLI (AIRPORT)	6	8.25	2025-10-20	6	6.36392
627	2025-10-21	ALEXANDROUPOLI (AIRPORT)	6	7.95	2025-10-21	6	8.09732
627	2025-10-22	ALEXANDROUPOLI (AIRPORT)	6	9.95	2025-10-22	6	10.2924
627	2025-10-23	ALEXANDROUPOLI (AIRPORT)	6	14.25	2025-10-23	6	16.4525
627	2025-10-24	ALEXANDROUPOLI (AIRPORT)	6	18.25	2025-10-24	6	17.8263
627	2025-10-25	ALEXANDROUPOLI (AIRPORT)	6	14.15	2025-10-25	6	12.537
627	2025-10-26	ALEXANDROUPOLI (AIRPORT)	6	14.25	2025-10-26	6	14.2834
627	2025-10-27	ALEXANDROUPOLI (AIRPORT)	6	18.75	2025-10-27	6	17.2904
627	2025-10-28	ALEXANDROUPOLI (AIRPORT)	6	9.25	2025-10-28	6	9.67398
627	2025-10-29	ALEXANDROUPOLI (AIRPORT)	6	6.45	2025-10-29	6	5.84839
627	2025-10-30	ALEXANDROUPOLI (AIRPORT)	6	5.75	2025-10-30	6	7.45403
627	2025-10-31	ALEXANDROUPOLI (AIRPORT)	6	10.65	2025-10-31	6	13.4761
632	2025-10-01	KOZANI (AIRPORT)	6	7.75	2025-10-01	6	10.5309
632	2025-10-02	KOZANI (AIRPORT)	6	10.25	2025-10-02	6	10.6881
632	2025-10-03	KOZANI (AIRPORT)	6	1.45	2025-10-03	6	2.37968
632	2025-10-04	KOZANI (AIRPORT)	6	-1.05	2025-10-04	6	1.14933
632	2025-10-05	KOZANI (AIRPORT)	6	4.65	2025-10-05	6	4.93888
632	2025-10-06	KOZANI (AIRPORT)	6	10.95	2025-10-06	6	10.9051
632	2025-10-07	KOZANI (AIRPORT)	6	1.95	2025-10-07	6	2.79434
632	2025-10-08	KOZANI (AIRPORT)	6	4.45	2025-10-08	6	4.70865
632	2025-10-09	KOZANI (AIRPORT)	6	4.25	2025-10-09	6	6.20963
632	2025-10-10	KOZANI (AIRPORT)	6	5.25	2025-10-10	6	7.34806
632	2025-10-11	KOZANI (AIRPORT)	6	6.15	2025-10-11	6	8.44693
632	2025-10-12	KOZANI (AIRPORT)	6	5.25	2025-10-12	6	6.83096
632	2025-10-13	KOZANI (AIRPORT)	6	5.45	2025-10-13	6	7.68449
632	2025-10-14	KOZANI (AIRPORT)	6	1.95	2025-10-14	6	6.69644
632	2025-10-15	KOZANI (AIRPORT)	6	3.45	2025-10-15	6	6.78796
632	2025-10-16	KOZANI (AIRPORT)	6	5.75	2025-10-16	6	9.21402
632	2025-10-17	KOZANI (AIRPORT)	6	9.75	2025-10-17	6	8.48843
632	2025-10-19	KOZANI (AIRPORT)	6	7.45	2025-10-19	6	9.44617
632	2025-10-20	KOZANI (AIRPORT)	6	5.95	2025-10-20	6	6.57682
632	2025-10-21	KOZANI (AIRPORT)	6	10.45	2025-10-21	6	10.07
632	2025-10-22	KOZANI (AIRPORT)	6	11.75	2025-10-22	6	10.7494
632	2025-10-23	KOZANI (AIRPORT)	6	12.15	2025-10-23	6	11.018
632	2025-10-24	KOZANI (AIRPORT)	6	11.25	2025-10-24	6	12.0177
632	2025-10-25	KOZANI (AIRPORT)	6	5.15	2025-10-25	6	7.67179
632	2025-10-26	KOZANI (AIRPORT)	6	6.95	2025-10-26	6	8.44254
632	2025-10-27	KOZANI (AIRPORT)	6	10.75	2025-10-27	6	11.7231
632	2025-10-28	KOZANI (AIRPORT)	6	4.95	2025-10-28	6	5.51969
632	2025-10-29	KOZANI (AIRPORT)	6	5.15	2025-10-29	6	6.3396
632	2025-10-30	KOZANI (AIRPORT)	6	7.15	2025-10-30	6	7.22844
632	2025-10-31	KOZANI (AIRPORT)	6	5.95	2025-10-31	6	6.71045
641	2025-10-01	KERKYRA (AIRPORT)	6	15.15	2025-10-01	6	15.3063
641	2025-10-02	KERKYRA (AIRPORT)	6	14.25	2025-10-02	6	13.6588
641	2025-10-03	KERKYRA (AIRPORT)	6	9.15	2025-10-03	6	9.95097
641	2025-10-04	KERKYRA (AIRPORT)	6	7.45	2025-10-04	6	9.93839
641	2025-10-05	KERKYRA (AIRPORT)	6	9.25	2025-10-05	6	11.2631
641	2025-10-06	KERKYRA (AIRPORT)	6	15.65	2025-10-06	6	15.5018
641	2025-10-07	KERKYRA (AIRPORT)	6	8.25	2025-10-07	6	10.6283
641	2025-10-08	KERKYRA (AIRPORT)	6	6.95	2025-10-08	6	9.53678
641	2025-10-09	KERKYRA (AIRPORT)	6	9.25	2025-10-09	6	10.5504
641	2025-10-10	KERKYRA (AIRPORT)	6	11.45	2025-10-10	6	13.309
641	2025-10-11	KERKYRA (AIRPORT)	6	12.25	2025-10-11	6	14.2653
641	2025-10-12	KERKYRA (AIRPORT)	6	10.25	2025-10-12	6	10.0194
641	2025-10-13	KERKYRA (AIRPORT)	6	11.65	2025-10-13	6	14.2236
641	2025-10-14	KERKYRA (AIRPORT)	6	11.45	2025-10-14	6	13.7853
641	2025-10-15	KERKYRA (AIRPORT)	6	11.75	2025-10-15	6	13.2323
641	2025-10-16	KERKYRA (AIRPORT)	6	13.95	2025-10-16	6	13.9777
641	2025-10-17	KERKYRA (AIRPORT)	6	15.15	2025-10-17	6	13.3039
641	2025-10-18	KERKYRA (AIRPORT)	6	15.95	2025-10-18	6	13.9061
641	2025-10-19	KERKYRA (AIRPORT)	6	13.45	2025-10-19	6	15.577
641	2025-10-20	KERKYRA (AIRPORT)	6	13.25	2025-10-20	6	13.61
641	2025-10-21	KERKYRA (AIRPORT)	6	12.15	2025-10-21	6	15.1852
641	2025-10-22	KERKYRA (AIRPORT)	6	16.15	2025-10-22	6	15.3324
641	2025-10-23	KERKYRA (AIRPORT)	6	16.95	2025-10-23	6	15.5649
641	2025-10-24	KERKYRA (AIRPORT)	6	18.75	2025-10-24	6	15.8781
641	2025-10-25	KERKYRA (AIRPORT)	6	13.65	2025-10-25	6	14.9452
641	2025-10-26	KERKYRA (AIRPORT)	6	15.75	2025-10-26	6	16.0402
641	2025-10-27	KERKYRA (AIRPORT)	6	19.25	2025-10-27	6	18.0668
641	2025-10-28	KERKYRA (AIRPORT)	6	12.45	2025-10-28	6	14.588
641	2025-10-29	KERKYRA (AIRPORT)	6	10.75	2025-10-29	6	12.615
641	2025-10-30	KERKYRA (AIRPORT)	6	11.25	2025-10-30	6	11.8534
641	2025-10-31	KERKYRA (AIRPORT)	6	13.45	2025-10-31	6	12.2817
642	2025-10-01	IOANNINA (AIRPORT)	6	8.75	2025-10-01	6	11.2751
642	2025-10-02	IOANNINA (AIRPORT)	6	13.75	2025-10-02	6	12.6969
642	2025-10-03	IOANNINA (AIRPORT)	6	8.95	2025-10-03	6	7.95195
642	2025-10-04	IOANNINA (AIRPORT)	6	8.45	2025-10-04	6	8.1464
642	2025-10-05	IOANNINA (AIRPORT)	6	7.25	2025-10-05	6	7.83048
642	2025-10-06	IOANNINA (AIRPORT)	6	14.45	2025-10-06	6	12.9383
642	2025-10-07	IOANNINA (AIRPORT)	6	7.95	2025-10-07	6	7.4213
642	2025-10-08	IOANNINA (AIRPORT)	6	4.95	2025-10-08	6	5.2399
642	2025-10-09	IOANNINA (AIRPORT)	6	5.95	2025-10-09	6	7.0524
642	2025-10-10	IOANNINA (AIRPORT)	6	7.25	2025-10-10	6	8.66056
642	2025-10-11	IOANNINA (AIRPORT)	6	7.95	2025-10-11	6	9.78189
642	2025-10-12	IOANNINA (AIRPORT)	6	5.25	2025-10-12	6	7.86221
642	2025-10-14	IOANNINA (AIRPORT)	6	8.65	2025-10-14	6	8.90152
642	2025-10-15	IOANNINA (AIRPORT)	6	8.25	2025-10-15	6	9.03406
642	2025-10-16	IOANNINA (AIRPORT)	6	10.75	2025-10-16	6	11.0431
642	2025-10-17	IOANNINA (AIRPORT)	6	10.75	2025-10-17	6	10.9142
642	2025-10-18	IOANNINA (AIRPORT)	6	12.95	2025-10-18	6	12.0809
642	2025-10-19	IOANNINA (AIRPORT)	6	11.45	2025-10-19	6	10.8485
642	2025-10-20	IOANNINA (AIRPORT)	6	10.75	2025-10-20	6	9.70865
642	2025-10-21	IOANNINA (AIRPORT)	6	10.95	2025-10-21	6	11.5075
642	2025-10-22	IOANNINA (AIRPORT)	6	12.95	2025-10-22	6	12.4233
642	2025-10-23	IOANNINA (AIRPORT)	6	13.75	2025-10-23	6	12.1488
642	2025-10-24	IOANNINA (AIRPORT)	6	15.95	2025-10-24	6	13.8048
642	2025-10-25	IOANNINA (AIRPORT)	6	8.65	2025-10-25	6	9.44425
642	2025-10-26	IOANNINA (AIRPORT)	6	12.45	2025-10-26	6	11.7384
642	2025-10-27	IOANNINA (AIRPORT)	6	16.45	2025-10-27	6	13.7358
642	2025-10-28	IOANNINA (AIRPORT)	6	9.75	2025-10-28	6	8.83512
642	2025-10-29	IOANNINA (AIRPORT)	6	8.15	2025-10-29	6	7.0144
642	2025-10-30	IOANNINA (AIRPORT)	6	4.65	2025-10-30	6	7.16106
642	2025-10-31	IOANNINA (AIRPORT)	6	7.25	2025-10-31	6	8.69873
643	2025-10-01	AKTION (AIRPORT)	6	16.75	2025-10-01	6	15.319
643	2025-10-02	AKTION (AIRPORT)	6	15.95	2025-10-02	6	15.9918
643	2025-10-03	AKTION (AIRPORT)	6	10.65	2025-10-03	6	10.3885
643	2025-10-04	AKTION (AIRPORT)	6	12.25	2025-10-04	6	10.4589
643	2025-10-05	AKTION (AIRPORT)	6	12.15	2025-10-05	6	12.6156
643	2025-10-06	AKTION (AIRPORT)	6	17.45	2025-10-06	6	16.8621
643	2025-10-07	AKTION (AIRPORT)	6	8.75	2025-10-07	6	12.2885
643	2025-10-08	AKTION (AIRPORT)	6	6.65	2025-10-08	6	10.0251
643	2025-10-09	AKTION (AIRPORT)	6	10.25	2025-10-09	6	11.9606
643	2025-10-10	AKTION (AIRPORT)	6	13.25	2025-10-10	6	12.9535
643	2025-10-11	AKTION (AIRPORT)	6	14.65	2025-10-11	6	14.3112
643	2025-10-12	AKTION (AIRPORT)	6	6.65	2025-10-12	6	9.85147
643	2025-10-13	AKTION (AIRPORT)	6	11.95	2025-10-13	6	13.1269
643	2025-10-14	AKTION (AIRPORT)	6	13.75	2025-10-14	6	14.2863
643	2025-10-15	AKTION (AIRPORT)	6	14.25	2025-10-15	6	14.5848
643	2025-10-16	AKTION (AIRPORT)	6	13.75	2025-10-16	6	13.3634
643	2025-10-17	AKTION (AIRPORT)	6	13.75	2025-10-17	6	11.6935
643	2025-10-18	AKTION (AIRPORT)	6	16.75	2025-10-18	6	15.6238
643	2025-10-19	AKTION (AIRPORT)	6	16.25	2025-10-19	6	15.9305
643	2025-10-20	AKTION (AIRPORT)	6	13.95	2025-10-20	6	14.3493
643	2025-10-21	AKTION (AIRPORT)	6	14.95	2025-10-21	6	15.6442
643	2025-10-22	AKTION (AIRPORT)	6	16.25	2025-10-22	6	15.6235
643	2025-10-23	AKTION (AIRPORT)	6	16.65	2025-10-23	6	15.6664
643	2025-10-24	AKTION (AIRPORT)	6	18.15	2025-10-24	6	17.8019
643	2025-10-25	AKTION (AIRPORT)	6	14.45	2025-10-25	6	14.8124
643	2025-10-26	AKTION (AIRPORT)	6	14.95	2025-10-26	6	14.5255
643	2025-10-27	AKTION (AIRPORT)	6	18.75	2025-10-27	6	19.683
643	2025-10-28	AKTION (AIRPORT)	6	14.45	2025-10-28	6	12.5685
643	2025-10-29	AKTION (AIRPORT)	6	12.95	2025-10-29	6	12.9998
643	2025-10-30	AKTION (AIRPORT)	6	12.95	2025-10-30	6	12.2431
643	2025-10-31	AKTION (AIRPORT)	6	12.15	2025-10-31	6	12.8198
648	2025-10-01	LARISSA (AIRPORT)	6	15.75	2025-10-01	6	14.1784
648	2025-10-02	LARISSA (AIRPORT)	6	14.25	2025-10-02	6	14.0142
648	2025-10-03	LARISSA (AIRPORT)	6	9.75	2025-10-03	6	11.2498
648	2025-10-04	LARISSA (AIRPORT)	6	7.25	2025-10-04	6	7.61417
648	2025-10-05	LARISSA (AIRPORT)	6	10.25	2025-10-05	6	8.31388
648	2025-10-06	LARISSA (AIRPORT)	6	12.95	2025-10-06	6	13.2596
648	2025-10-07	LARISSA (AIRPORT)	6	7.45	2025-10-07	6	9.00333
648	2025-10-08	LARISSA (AIRPORT)	6	7.65	2025-10-08	6	6.65103
648	2025-10-09	LARISSA (AIRPORT)	6	7.65	2025-10-09	6	7.37369
648	2025-10-10	LARISSA (AIRPORT)	6	10.45	2025-10-10	6	9.61075
648	2025-10-11	LARISSA (AIRPORT)	6	10.65	2025-10-11	6	11.0504
648	2025-10-12	LARISSA (AIRPORT)	6	6.65	2025-10-12	6	7.96866
648	2025-10-13	LARISSA (AIRPORT)	6	8.25	2025-10-13	6	8.68352
648	2025-10-14	LARISSA (AIRPORT)	6	9.45	2025-10-14	6	10.3224
648	2025-10-15	LARISSA (AIRPORT)	6	9.65	2025-10-15	6	8.93347
648	2025-10-16	LARISSA (AIRPORT)	6	10.95	2025-10-16	6	11.6945
648	2025-10-17	LARISSA (AIRPORT)	6	13.75	2025-10-17	6	12.8517
648	2025-10-18	LARISSA (AIRPORT)	6	14.65	2025-10-18	6	13.8875
648	2025-10-19	LARISSA (AIRPORT)	6	13.95	2025-10-19	6	13.6757
648	2025-10-20	LARISSA (AIRPORT)	6	10.25	2025-10-20	6	10.0856
648	2025-10-21	LARISSA (AIRPORT)	6	15.25	2025-10-21	6	12.1237
648	2025-10-22	LARISSA (AIRPORT)	6	14.65	2025-10-22	6	13.0483
648	2025-10-23	LARISSA (AIRPORT)	6	12.65	2025-10-23	6	12.4057
648	2025-10-24	LARISSA (AIRPORT)	6	14.65	2025-10-24	6	13.9591
648	2025-10-25	LARISSA (AIRPORT)	6	7.25	2025-10-25	6	8.91397
648	2025-10-26	LARISSA (AIRPORT)	6	8.65	2025-10-26	6	8.8693
648	2025-10-27	LARISSA (AIRPORT)	6	13.25	2025-10-27	6	13.6781
648	2025-10-28	LARISSA (AIRPORT)	6	9.25	2025-10-28	6	8.47281
648	2025-10-29	LARISSA (AIRPORT)	6	8.75	2025-10-29	6	7.15112
648	2025-10-30	LARISSA (AIRPORT)	6	7.75	2025-10-30	6	7.99602
648	2025-10-31	LARISSA (AIRPORT)	6	8.65	2025-10-31	6	7.97705
650	2025-10-01	LIMNOS (AIRPORT)	6	12.95	2025-10-01	6	12.237
650	2025-10-02	LIMNOS (AIRPORT)	6	8.75	2025-10-02	6	10.6617
650	2025-10-03	LIMNOS (AIRPORT)	6	14.65	2025-10-03	6	13.8689
650	2025-10-04	LIMNOS (AIRPORT)	6	12.95	2025-10-04	6	11.2138
650	2025-10-05	LIMNOS (AIRPORT)	6	12.45	2025-10-05	6	13.059
650	2025-10-06	LIMNOS (AIRPORT)	6	16.75	2025-10-06	6	14.8797
650	2025-10-07	LIMNOS (AIRPORT)	6	12.45	2025-10-07	6	12.8754
650	2025-10-08	LIMNOS (AIRPORT)	6	11.95	2025-10-08	6	10.7116
