obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	ecmwf_dates	ecmwf_td_table_h	ecmwf_td_table
606	2025-11-02	SERRAI	9	9.95	2025-11-01	33	7.86043
606	2025-11-03	SERRAI	9	9.95	2025-11-02	33	7.15794
606	2025-11-04	SERRAI	9	15.15	2025-11-03	33	12.8308
606	2025-11-05	SERRAI	9	12.45	2025-11-04	33	9.68486
606	2025-11-06	SERRAI	9	11.45	2025-11-05	33	9.41095
606	2025-11-07	SERRAI	9	11.45	2025-11-06	33	10.4331
606	2025-11-08	SERRAI	9	12.95	2025-11-07	33	11.1935
606	2025-11-09	SERRAI	9	14.95	2025-11-08	33	13.592
606	2025-11-10	SERRAI	9	14.65	2025-11-09	33	12.8508
606	2025-11-11	SERRAI	9	11.45	2025-11-10	33	11.2878
606	2025-11-12	SERRAI	9	7.75	2025-11-11	33	6.07291
606	2025-11-13	SERRAI	9	7.75	2025-11-12	33	6.07191
606	2025-11-14	SERRAI	9	7.75	2025-11-13	33	5.79703
606	2025-11-15	SERRAI	9	7.95	2025-11-14	33	7.54071
606	2025-11-16	SERRAI	9	8.75	2025-11-15	33	7.43839
606	2025-11-17	SERRAI	9	9.25	2025-11-16	33	8.36452
606	2025-11-18	SERRAI	9	12.75	2025-11-17	33	13.0529
606	2025-11-19	SERRAI	9	14.25	2025-11-18	33	13.128
606	2025-11-20	SERRAI	9	13.95	2025-11-19	33	13.0235
606	2025-11-24	SERRAI	9	5.15	2025-11-23	33	3.14799
606	2025-11-25	SERRAI	9	5.25	2025-11-24	33	3.26973
606	2025-11-26	SERRAI	9	10.75	2025-11-25	33	10.7865
606	2025-11-27	SERRAI	9	14.45	2025-11-26	33	12.177
606	2025-11-28	SERRAI	9	10.45	2025-11-27	33	10.2021
613	2025-11-02	FLORINA	9	9.65	2025-11-01	33	9.71199
613	2025-11-03	FLORINA	9	10.65	2025-11-02	33	10.8884
613	2025-11-05	FLORINA	9	6.95	2025-11-04	33	4.34892
613	2025-11-06	FLORINA	9	9.25	2025-11-05	33	6.41388
613	2025-11-07	FLORINA	9	9.75	2025-11-06	33	7.31784
613	2025-11-09	FLORINA	9	11.75	2025-11-08	33	9.92301
613	2025-11-10	FLORINA	9	12.95	2025-11-09	33	10.5227
613	2025-11-11	FLORINA	9	10.25	2025-11-10	33	8.39136
613	2025-11-12	FLORINA	9	5.65	2025-11-11	33	2.7731
613	2025-11-13	FLORINA	9	3.25	2025-11-12	33	3.19398
613	2025-11-14	FLORINA	9	5.25	2025-11-13	33	4.20133
613	2025-11-15	FLORINA	9	4.95	2025-11-14	33	4.06805
613	2025-11-16	FLORINA	9	3.95	2025-11-15	33	2.95597
613	2025-11-17	FLORINA	9	4.95	2025-11-16	33	4.87428
613	2025-11-18	FLORINA	9	10.15	2025-11-17	33	11.2766
613	2025-11-20	FLORINA	9	9.45	2025-11-19	33	9.13292
613	2025-11-21	FLORINA	9	11.25	2025-11-20	33	8.22064
613	2025-11-22	FLORINA	9	7.75	2025-11-21	33	8.72954
613	2025-11-23	FLORINA	9	3.45	2025-11-22	33	2.23511
613	2025-11-24	FLORINA	9	1.25	2025-11-23	33	0.695847
613	2025-11-25	FLORINA	9	3.45	2025-11-24	33	4.06075
613	2025-11-26	FLORINA	9	8.75	2025-11-25	33	8.19865
613	2025-11-29	FLORINA	9	5.25	2025-11-28	33	2.67247
613	2025-11-30	FLORINA	9	4.45	2025-11-29	33	0.963272
622	2025-11-02	THESSALONIKI (AIRPORT)	9	12.25	2025-11-01	33	9.27058
622	2025-11-03	THESSALONIKI (AIRPORT)	9	11.95	2025-11-02	33	12.0896
622	2025-11-04	THESSALONIKI (AIRPORT)	9	14.45	2025-11-03	33	11.7556
622	2025-11-05	THESSALONIKI (AIRPORT)	9	9.95	2025-11-04	33	9.8499
622	2025-11-06	THESSALONIKI (AIRPORT)	9	12.15	2025-11-05	33	10.618
622	2025-11-07	THESSALONIKI (AIRPORT)	9	10.95	2025-11-06	33	11.1079
622	2025-11-08	THESSALONIKI (AIRPORT)	9	13.95	2025-11-07	33	13.298
622	2025-11-09	THESSALONIKI (AIRPORT)	9	16.75	2025-11-08	33	15.4289
622	2025-11-10	THESSALONIKI (AIRPORT)	9	16.25	2025-11-09	33	16.2034
622	2025-11-11	THESSALONIKI (AIRPORT)	9	11.25	2025-11-10	33	10.0154
622	2025-11-12	THESSALONIKI (AIRPORT)	9	4.95	2025-11-11	33	4.11099
622	2025-11-13	THESSALONIKI (AIRPORT)	9	8.15	2025-11-12	33	6.09633
622	2025-11-14	THESSALONIKI (AIRPORT)	9	10.25	2025-11-13	33	6.90055
622	2025-11-15	THESSALONIKI (AIRPORT)	9	8.95	2025-11-14	33	9.92743
622	2025-11-16	THESSALONIKI (AIRPORT)	9	10.65	2025-11-15	33	9.90226
622	2025-11-17	THESSALONIKI (AIRPORT)	9	13.45	2025-11-16	33	13.0335
622	2025-11-18	THESSALONIKI (AIRPORT)	9	15.75	2025-11-17	33	13.0197
622	2025-11-19	THESSALONIKI (AIRPORT)	9	15.65	2025-11-18	33	12.8663
622	2025-11-20	THESSALONIKI (AIRPORT)	9	15.95	2025-11-19	33	14.2892
622	2025-11-21	THESSALONIKI (AIRPORT)	9	16.75	2025-11-20	33	15.374
622	2025-11-22	THESSALONIKI (AIRPORT)	9	16.45	2025-11-21	33	13.6036
622	2025-11-23	THESSALONIKI (AIRPORT)	9	6.65	2025-11-22	33	8.83667
622	2025-11-24	THESSALONIKI (AIRPORT)	9	2.45	2025-11-23	33	2.43413
622	2025-11-25	THESSALONIKI (AIRPORT)	9	8.75	2025-11-24	33	8.35957
622	2025-11-26	THESSALONIKI (AIRPORT)	9	13.45	2025-11-25	33	12.478
622	2025-11-27	THESSALONIKI (AIRPORT)	9	16.45	2025-11-26	33	12.6761
622	2025-11-28	THESSALONIKI (AIRPORT)	9	11.95	2025-11-27	33	10.5527
622	2025-11-29	THESSALONIKI (AIRPORT)	9	9.65	2025-11-28	33	6.86192
622	2025-11-30	THESSALONIKI (AIRPORT)	9	2.65	2025-11-29	33	2.14784
624	2025-11-02	CHRYSOPOULI (AIRPORT)	9	13.65	2025-11-01	33	9.28914
624	2025-11-03	CHRYSOPOULI (AIRPORT)	9	14.75	2025-11-02	33	11.3718
624	2025-11-04	CHRYSOPOULI (AIRPORT)	9	14.95	2025-11-03	33	12.5163
624	2025-11-05	CHRYSOPOULI (AIRPORT)	9	13.45	2025-11-04	33	8.24834
624	2025-11-06	CHRYSOPOULI (AIRPORT)	9	10.95	2025-11-05	33	5.43634
624	2025-11-07	CHRYSOPOULI (AIRPORT)	9	14.25	2025-11-06	33	9.79147
624	2025-11-08	CHRYSOPOULI (AIRPORT)	9	16.95	2025-11-07	33	13.7706
624	2025-11-09	CHRYSOPOULI (AIRPORT)	9	18.25	2025-11-08	33	14.6281
624	2025-11-10	CHRYSOPOULI (AIRPORT)	9	16.65	2025-11-09	33	16.4758
624	2025-11-11	CHRYSOPOULI (AIRPORT)	9	15.45	2025-11-10	33	11.9353
624	2025-11-12	CHRYSOPOULI (AIRPORT)	9	11.95	2025-11-11	33	10.5368
624	2025-11-13	CHRYSOPOULI (AIRPORT)	9	11.75	2025-11-12	33	8.73988
624	2025-11-14	CHRYSOPOULI (AIRPORT)	9	12.65	2025-11-13	33	8.69059
624	2025-11-15	CHRYSOPOULI (AIRPORT)	9	13.45	2025-11-14	33	9.99872
624	2025-11-16	CHRYSOPOULI (AIRPORT)	9	12.65	2025-11-15	33	11.8368
624	2025-11-17	CHRYSOPOULI (AIRPORT)	9	14.25	2025-11-16	33	11.8284
624	2025-11-18	CHRYSOPOULI (AIRPORT)	9	16.95	2025-11-17	33	15.0686
624	2025-11-19	CHRYSOPOULI (AIRPORT)	9	16.75	2025-11-18	33	16.2452
624	2025-11-20	CHRYSOPOULI (AIRPORT)	9	16.45	2025-11-19	33	15.6456
624	2025-11-21	CHRYSOPOULI (AIRPORT)	9	17.95	2025-11-20	33	15.539
624	2025-11-22	CHRYSOPOULI (AIRPORT)	9	18.25	2025-11-21	33	15.6084
624	2025-11-23	CHRYSOPOULI (AIRPORT)	9	13.45	2025-11-22	33	9.03882
624	2025-11-24	CHRYSOPOULI (AIRPORT)	9	5.15	2025-11-23	33	5.31499
624	2025-11-25	CHRYSOPOULI (AIRPORT)	9	9.45	2025-11-24	33	4.79024
624	2025-11-26	CHRYSOPOULI (AIRPORT)	9	15.45	2025-11-25	33	12.4828
624	2025-11-27	CHRYSOPOULI (AIRPORT)	9	15.65	2025-11-26	33	14.3216
624	2025-11-28	CHRYSOPOULI (AIRPORT)	9	14.45	2025-11-27	33	12.0927
624	2025-11-29	CHRYSOPOULI (AIRPORT)	9	10.65	2025-11-28	33	10.2887
624	2025-11-30	CHRYSOPOULI (AIRPORT)	9	9.75	2025-11-29	33	7.53749
627	2025-11-02	ALEXANDROUPOLI (AIRPORT)	9	14.95	2025-11-01	33	10.3262
627	2025-11-03	ALEXANDROUPOLI (AIRPORT)	9	13.75	2025-11-02	33	12.4333
627	2025-11-04	ALEXANDROUPOLI (AIRPORT)	9	14.15	2025-11-03	33	12.0007
627	2025-11-05	ALEXANDROUPOLI (AIRPORT)	9	10.25	2025-11-04	33	9.36064
627	2025-11-06	ALEXANDROUPOLI (AIRPORT)	9	9.15	2025-11-05	33	10.0574
627	2025-11-07	ALEXANDROUPOLI (AIRPORT)	9	12.75	2025-11-06	33	12.0102
627	2025-11-08	ALEXANDROUPOLI (AIRPORT)	9	15.75	2025-11-07	33	14.0812
