obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	ecmwf_dates	ecmwf_temp_table_h	ecmwf_temp_table	ecmwf_station_names
606	2025-09-01	0	17.64	SERRAI	2025-09-01	0	19.7677	SERRAI
606	2025-09-02	0	19.94	SERRAI	2025-09-02	0	21.2489	SERRAI
606	2025-09-03	0	19.74	SERRAI	2025-09-03	0	22.3175	SERRAI
606	2025-09-04	0	22.94	SERRAI	2025-09-04	0	22.5495	SERRAI
606	2025-09-05	0	21.14	SERRAI	2025-09-05	0	23.5375	SERRAI
606	2025-09-06	0	19.44	SERRAI	2025-09-06	0	21.1955	SERRAI
606	2025-09-07	0	19.24	SERRAI	2025-09-07	0	19.1357	SERRAI
606	2025-09-08	0	17.94	SERRAI	2025-09-08	0	19.7189	SERRAI
606	2025-09-09	0	17.94	SERRAI	2025-09-09	0	19.8044	SERRAI
606	2025-09-10	0	18.74	SERRAI	2025-09-10	0	19.8	SERRAI
606	2025-09-11	0	19.94	SERRAI	2025-09-11	0	20.9689	SERRAI
606	2025-09-12	0	19.94	SERRAI	2025-09-12	0	20.9504	SERRAI
606	2025-09-13	0	19.64	SERRAI	2025-09-13	0	21.3776	SERRAI
606	2025-09-14	0	22.64	SERRAI	2025-09-14	0	20.5341	SERRAI
606	2025-09-15	0	19.24	SERRAI	2025-09-15	0	20.6657	SERRAI
606	2025-09-16	0	18.74	SERRAI	2025-09-16	0	18.4545	SERRAI
606	2025-09-17	0	17.74	SERRAI	2025-09-17	0	17.8149	SERRAI
606	2025-09-18	0	19.94	SERRAI	2025-09-18	0	17.7228	SERRAI
606	2025-09-19	0	12.94	SERRAI	2025-09-19	0	15.5497	SERRAI
606	2025-09-20	0	13.74	SERRAI	2025-09-20	0	15.3463	SERRAI
606	2025-09-21	0	15.14	SERRAI	2025-09-21	0	18.3586	SERRAI
606	2025-09-22	0	16.64	SERRAI	2025-09-22	0	17.5338	SERRAI
606	2025-09-23	0	13.94	SERRAI	2025-09-23	0	17.8842	SERRAI
606	2025-09-24	0	16.24	SERRAI	2025-09-24	0	18.3046	SERRAI
606	2025-09-25	0	17.14	SERRAI	2025-09-25	0	18.9958	SERRAI
606	2025-09-26	0	20.24	SERRAI	2025-09-26	0	18.911	SERRAI
606	2025-09-27	0	19.24	SERRAI	2025-09-27	0	18.361	SERRAI
606	2025-09-28	0	14.44	SERRAI	2025-09-28	0	15.4723	SERRAI
606	2025-09-29	0	13.64	SERRAI	2025-09-29	0	14.4948	SERRAI
606	2025-09-30	0	15.94	SERRAI	2025-09-30	0	14.8307	SERRAI
613	2025-09-01	0	10.14	FLORINA	2025-09-01	0	13.7502	FLORINA
613	2025-09-02	0	11.64	FLORINA	2025-09-02	0	15.4482	FLORINA
613	2025-09-03	0	15.24	FLORINA	2025-09-03	0	17.1925	FLORINA
613	2025-09-04	0	14.74	FLORINA	2025-09-04	0	16.6012	FLORINA
613	2025-09-05	0	14.94	FLORINA	2025-09-05	0	17.2387	FLORINA
613	2025-09-06	0	12.24	FLORINA	2025-09-06	0	16.2072	FLORINA
613	2025-09-07	0	11.74	FLORINA	2025-09-07	0	16.3954	FLORINA
613	2025-09-08	0	11.24	FLORINA	2025-09-08	0	14.6564	FLORINA
613	2025-09-09	0	14.24	FLORINA	2025-09-09	0	15.2331	FLORINA
613	2025-09-10	0	11.74	FLORINA	2025-09-10	0	15.1779	FLORINA
613	2025-09-11	0	17.94	FLORINA	2025-09-11	0	17.6935	FLORINA
613	2025-09-12	0	14.44	FLORINA	2025-09-12	0	15.0509	FLORINA
613	2025-09-13	0	11.74	FLORINA	2025-09-13	0	15.7985	FLORINA
613	2025-09-14	0	18.64	FLORINA	2025-09-14	0	14.8847	FLORINA
613	2025-09-15	0	14.44	FLORINA	2025-09-15	0	16.5905	FLORINA
613	2025-09-16	0	11.44	FLORINA	2025-09-16	0	15.1527	FLORINA
613	2025-09-17	0	13.74	FLORINA	2025-09-17	0	12.3715	FLORINA
613	2025-09-18	0	11.74	FLORINA	2025-09-18	0	12.7052	FLORINA
613	2025-09-19	0	12.64	FLORINA	2025-09-19	0	10.8378	FLORINA
613	2025-09-20	0	10.94	FLORINA	2025-09-20	0	13.1295	FLORINA
613	2025-09-21	0	13.74	FLORINA	2025-09-21	0	14.9035	FLORINA
613	2025-09-22	0	11.44	FLORINA	2025-09-22	0	11.7145	FLORINA
613	2025-09-23	0	13.24	FLORINA	2025-09-23	0	12.8217	FLORINA
613	2025-09-24	0	9.24	FLORINA	2025-09-24	0	12.9286	FLORINA
613	2025-09-25	0	13.64	FLORINA	2025-09-25	0	14.3669	FLORINA
613	2025-09-26	0	17.64	FLORINA	2025-09-26	0	16.1259	FLORINA
613	2025-09-27	0	15.94	FLORINA	2025-09-27	0	15.0026	FLORINA
613	2025-09-28	0	12.74	FLORINA	2025-09-28	0	13.5231	FLORINA
613	2025-09-29	0	11.94	FLORINA	2025-09-29	0	11.7018	FLORINA
613	2025-09-30	0	11.94	FLORINA	2025-09-30	0	11.6178	FLORINA
622	2025-09-01	0	23.64	THESSALONIKI (AIRPORT)	2025-09-01	0	22.5343	THESSALONIKI (AIRPORT)
622	2025-09-02	0	24.74	THESSALONIKI (AIRPORT)	2025-09-02	0	22.3749	THESSALONIKI (AIRPORT)
622	2025-09-03	0	22.24	THESSALONIKI (AIRPORT)	2025-09-03	0	22.0939	THESSALONIKI (AIRPORT)
622	2025-09-04	0	26.94	THESSALONIKI (AIRPORT)	2025-09-04	0	23.8454	THESSALONIKI (AIRPORT)
622	2025-09-05	0	25.44	THESSALONIKI (AIRPORT)	2025-09-05	0	22.1283	THESSALONIKI (AIRPORT)
622	2025-09-06	0	22.74	THESSALONIKI (AIRPORT)	2025-09-06	0	21.0519	THESSALONIKI (AIRPORT)
622	2025-09-07	0	21.24	THESSALONIKI (AIRPORT)	2025-09-07	0	20.3651	THESSALONIKI (AIRPORT)
622	2025-09-08	0	20.24	THESSALONIKI (AIRPORT)	2025-09-08	0	19.9318	THESSALONIKI (AIRPORT)
622	2025-09-09	0	19.94	THESSALONIKI (AIRPORT)	2025-09-09	0	20.0563	THESSALONIKI (AIRPORT)
622	2025-09-10	0	20.24	THESSALONIKI (AIRPORT)	2025-09-10	0	19.9357	THESSALONIKI (AIRPORT)
622	2025-09-11	0	19.94	THESSALONIKI (AIRPORT)	2025-09-11	0	21.9113	THESSALONIKI (AIRPORT)
622	2025-09-12	0	20.44	THESSALONIKI (AIRPORT)	2025-09-12	0	21.6896	THESSALONIKI (AIRPORT)
622	2025-09-13	0	20.64	THESSALONIKI (AIRPORT)	2025-09-13	0	21.3112	THESSALONIKI (AIRPORT)
622	2025-09-14	0	20.24	THESSALONIKI (AIRPORT)	2025-09-14	0	20.4706	THESSALONIKI (AIRPORT)
622	2025-09-15	0	20.94	THESSALONIKI (AIRPORT)	2025-09-15	0	20.2292	THESSALONIKI (AIRPORT)
622	2025-09-16	0	19.64	THESSALONIKI (AIRPORT)	2025-09-16	0	19.1225	THESSALONIKI (AIRPORT)
622	2025-09-17	0	19.74	THESSALONIKI (AIRPORT)	2025-09-17	0	18.2934	THESSALONIKI (AIRPORT)
622	2025-09-18	0	21.44	THESSALONIKI (AIRPORT)	2025-09-18	0	19.7697	THESSALONIKI (AIRPORT)
622	2025-09-19	0	15.94	THESSALONIKI (AIRPORT)	2025-09-19	0	15.6444	THESSALONIKI (AIRPORT)
622	2025-09-20	0	15.74	THESSALONIKI (AIRPORT)	2025-09-20	0	15.4831	THESSALONIKI (AIRPORT)
622	2025-09-21	0	16.74	THESSALONIKI (AIRPORT)	2025-09-21	0	18.2082	THESSALONIKI (AIRPORT)
622	2025-09-22	0	18.24	THESSALONIKI (AIRPORT)	2025-09-22	0	18.5895	THESSALONIKI (AIRPORT)
622	2025-09-23	0	15.44	THESSALONIKI (AIRPORT)	2025-09-23	0	17.3149	THESSALONIKI (AIRPORT)
622	2025-09-24	0	16.74	THESSALONIKI (AIRPORT)	2025-09-24	0	17.5331	THESSALONIKI (AIRPORT)
622	2025-09-25	0	17.74	THESSALONIKI (AIRPORT)	2025-09-25	0	17.8063	THESSALONIKI (AIRPORT)
622	2025-09-26	0	18.94	THESSALONIKI (AIRPORT)	2025-09-26	0	19.4638	THESSALONIKI (AIRPORT)
622	2025-09-27	0	21.24	THESSALONIKI (AIRPORT)	2025-09-27	0	19.987	THESSALONIKI (AIRPORT)
622	2025-09-28	0	15.94	THESSALONIKI (AIRPORT)	2025-09-28	0	16.8678	THESSALONIKI (AIRPORT)
622	2025-09-29	0	14.74	THESSALONIKI (AIRPORT)	2025-09-29	0	15.2399	THESSALONIKI (AIRPORT)
622	2025-09-30	0	15.94	THESSALONIKI (AIRPORT)	2025-09-30	0	16.5631	THESSALONIKI (AIRPORT)
627	2025-09-01	0	19.74	ALEXANDROUPOLI (AIRPORT)	2025-09-01	0	20.1027	ALEXANDROUPOLI (AIRPORT)
627	2025-09-02	0	22.94	ALEXANDROUPOLI (AIRPORT)	2025-09-02	0	23.2626	ALEXANDROUPOLI (AIRPORT)
627	2025-09-03	0	20.64	ALEXANDROUPOLI (AIRPORT)	2025-09-03	0	21.3761	ALEXANDROUPOLI (AIRPORT)
627	2025-09-04	0	23.24	ALEXANDROUPOLI (AIRPORT)	2025-09-04	0	22.8112	ALEXANDROUPOLI (AIRPORT)
627	2025-09-05	0	24.44	ALEXANDROUPOLI (AIRPORT)	2025-09-05	0	23.5854	ALEXANDROUPOLI (AIRPORT)
627	2025-09-06	0	21.64	ALEXANDROUPOLI (AIRPORT)	2025-09-06	0	21.9816	ALEXANDROUPOLI (AIRPORT)
627	2025-09-07	0	20.94	ALEXANDROUPOLI (AIRPORT)	2025-09-07	0	20.7138	ALEXANDROUPOLI (AIRPORT)
627	2025-09-08	0	20.44	ALEXANDROUPOLI (AIRPORT)	2025-09-08	0	20.6105	ALEXANDROUPOLI (AIRPORT)
627	2025-09-09	0	18.44	ALEXANDROUPOLI (AIRPORT)	2025-09-09	0	19.86	ALEXANDROUPOLI (AIRPORT)
627	2025-09-10	0	17.94	ALEXANDROUPOLI (AIRPORT)	2025-09-10	0	19.3371	ALEXANDROUPOLI (AIRPORT)
627	2025-09-11	0	19.24	ALEXANDROUPOLI (AIRPORT)	2025-09-11	0	21.1496	ALEXANDROUPOLI (AIRPORT)
627	2025-09-12	0	19.74	ALEXANDROUPOLI (AIRPORT)	2025-09-12	0	21.8615	ALEXANDROUPOLI (AIRPORT)
627	2025-09-13	0	22.94	ALEXANDROUPOLI (AIRPORT)	2025-09-13	0	21.8991	ALEXANDROUPOLI (AIRPORT)
627	2025-09-14	0	20.74	ALEXANDROUPOLI (AIRPORT)	2025-09-14	0	21.2616	ALEXANDROUPOLI (AIRPORT)
627	2025-09-15	0	18.74	ALEXANDROUPOLI (AIRPORT)	2025-09-15	0	19.1305	ALEXANDROUPOLI (AIRPORT)
627	2025-09-16	0	18.44	ALEXANDROUPOLI (AIRPORT)	2025-09-16	0	18.227	ALEXANDROUPOLI (AIRPORT)
627	2025-09-17	0	15.64	ALEXANDROUPOLI (AIRPORT)	2025-09-17	0	18.2709	ALEXANDROUPOLI (AIRPORT)
627	2025-09-18	0	17.94	ALEXANDROUPOLI (AIRPORT)	2025-09-18	0	19.1164	ALEXANDROUPOLI (AIRPORT)
627	2025-09-19	0	16.64	ALEXANDROUPOLI (AIRPORT)	2025-09-19	0	16.1093	ALEXANDROUPOLI (AIRPORT)
627	2025-09-20	0	14.94	ALEXANDROUPOLI (AIRPORT)	2025-09-20	0	16.3932	ALEXANDROUPOLI (AIRPORT)
627	2025-09-21	0	19.94	ALEXANDROUPOLI (AIRPORT)	2025-09-21	0	19.0861	ALEXANDROUPOLI (AIRPORT)
627	2025-09-22	0	19.24	ALEXANDROUPOLI (AIRPORT)	2025-09-22	0	18.5251	ALEXANDROUPOLI (AIRPORT)
627	2025-09-23	0	19.64	ALEXANDROUPOLI (AIRPORT)	2025-09-23	0	17.9867	ALEXANDROUPOLI (AIRPORT)
627	2025-09-24	0	15.94	ALEXANDROUPOLI (AIRPORT)	2025-09-24	0	15.7314	ALEXANDROUPOLI (AIRPORT)
627	2025-09-25	0	18.44	ALEXANDROUPOLI (AIRPORT)	2025-09-25	0	17.9635	ALEXANDROUPOLI (AIRPORT)
627	2025-09-26	0	18.74	ALEXANDROUPOLI (AIRPORT)	2025-09-26	0	18.7157	ALEXANDROUPOLI (AIRPORT)
627	2025-09-27	0	17.44	ALEXANDROUPOLI (AIRPORT)	2025-09-27	0	16.9557	ALEXANDROUPOLI (AIRPORT)
627	2025-09-28	0	15.44	ALEXANDROUPOLI (AIRPORT)	2025-09-28	0	14.7868	ALEXANDROUPOLI (AIRPORT)
627	2025-09-29	0	15.44	ALEXANDROUPOLI (AIRPORT)	2025-09-29	0	15.2643	ALEXANDROUPOLI (AIRPORT)
627	2025-09-30	0	12.94	ALEXANDROUPOLI (AIRPORT)	2025-09-30	0	13.2233	ALEXANDROUPOLI (AIRPORT)
632	2025-09-01	0	15.64	KOZANI (AIRPORT)	2025-09-01	0	16.0607	KOZANI (AIRPORT)
632	2025-09-02	0	18.94	KOZANI (AIRPORT)	2025-09-02	0	17.8036	KOZANI (AIRPORT)
632	2025-09-03	0	17.74	KOZANI (AIRPORT)	2025-09-03	0	20.0226	KOZANI (AIRPORT)
