obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	icon_dates	icon_temp_table_h	icon_temp_table	icon_station_names
622	2025-09-11	0	19.94	THESSALONIKI (AIRPORT)	2025-09-09	48	21.0539	THESSALONIKI (AIRPORT)
622	2025-09-12	0	20.44	THESSALONIKI (AIRPORT)	2025-09-10	48	21.6317	THESSALONIKI (AIRPORT)
622	2025-09-13	0	20.64	THESSALONIKI (AIRPORT)	2025-09-11	48	22.5236	THESSALONIKI (AIRPORT)
622	2025-09-14	0	20.24	THESSALONIKI (AIRPORT)	2025-09-12	48	21.3859	THESSALONIKI (AIRPORT)
622	2025-09-15	0	20.94	THESSALONIKI (AIRPORT)	2025-09-13	48	21.1813	THESSALONIKI (AIRPORT)
622	2025-09-16	0	19.64	THESSALONIKI (AIRPORT)	2025-09-14	48	20.321	THESSALONIKI (AIRPORT)
622	2025-09-17	0	19.74	THESSALONIKI (AIRPORT)	2025-09-15	48	20.1586	THESSALONIKI (AIRPORT)
622	2025-09-18	0	21.44	THESSALONIKI (AIRPORT)	2025-09-16	48	19.9418	THESSALONIKI (AIRPORT)
622	2025-09-19	0	15.94	THESSALONIKI (AIRPORT)	2025-09-17	48	15.8512	THESSALONIKI (AIRPORT)
622	2025-09-20	0	15.74	THESSALONIKI (AIRPORT)	2025-09-18	48	17.3717	THESSALONIKI (AIRPORT)
622	2025-09-21	0	16.74	THESSALONIKI (AIRPORT)	2025-09-19	48	18.6725	THESSALONIKI (AIRPORT)
622	2025-09-22	0	18.24	THESSALONIKI (AIRPORT)	2025-09-20	48	19.0722	THESSALONIKI (AIRPORT)
622	2025-09-23	0	15.44	THESSALONIKI (AIRPORT)	2025-09-21	48	17.2668	THESSALONIKI (AIRPORT)
622	2025-09-24	0	16.74	THESSALONIKI (AIRPORT)	2025-09-22	48	18.6349	THESSALONIKI (AIRPORT)
622	2025-09-26	0	18.94	THESSALONIKI (AIRPORT)	2025-09-24	48	19.1562	THESSALONIKI (AIRPORT)
622	2025-09-27	0	21.24	THESSALONIKI (AIRPORT)	2025-09-25	48	19.4662	THESSALONIKI (AIRPORT)
622	2025-09-28	0	15.94	THESSALONIKI (AIRPORT)	2025-09-26	48	18.2624	THESSALONIKI (AIRPORT)
622	2025-09-29	0	14.74	THESSALONIKI (AIRPORT)	2025-09-27	48	17.2594	THESSALONIKI (AIRPORT)
622	2025-09-30	0	15.94	THESSALONIKI (AIRPORT)	2025-09-28	48	16.7275	THESSALONIKI (AIRPORT)
627	2025-09-03	0	20.64	ALEXANDROUPOLI (AIRPORT)	2025-09-01	48	21.8378	ALEXANDROUPOLI (AIRPORT)
627	2025-09-04	0	23.24	ALEXANDROUPOLI (AIRPORT)	2025-09-02	48	23.0107	ALEXANDROUPOLI (AIRPORT)
627	2025-09-05	0	24.44	ALEXANDROUPOLI (AIRPORT)	2025-09-03	48	23.1327	ALEXANDROUPOLI (AIRPORT)
627	2025-09-06	0	21.64	ALEXANDROUPOLI (AIRPORT)	2025-09-04	48	22.0785	ALEXANDROUPOLI (AIRPORT)
627	2025-09-07	0	20.94	ALEXANDROUPOLI (AIRPORT)	2025-09-05	48	21.203	ALEXANDROUPOLI (AIRPORT)
627	2025-09-08	0	20.44	ALEXANDROUPOLI (AIRPORT)	2025-09-06	48	21.4706	ALEXANDROUPOLI (AIRPORT)
627	2025-09-09	0	18.44	ALEXANDROUPOLI (AIRPORT)	2025-09-07	48	20.2006	ALEXANDROUPOLI (AIRPORT)
627	2025-09-10	0	17.94	ALEXANDROUPOLI (AIRPORT)	2025-09-08	48	19.4438	ALEXANDROUPOLI (AIRPORT)
