obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	ecmwf_dates	ecmwf_temp_table_h	ecmwf_temp_table	ecmwf_station_names
606	2025-11-01	21	8.94	SERRAI	2025-11-01	21	13.3229	SERRAI
606	2025-11-02	21	9.44	SERRAI	2025-11-02	21	12.0797	SERRAI
606	2025-11-04	21	12.44	SERRAI	2025-11-04	21	12.537	SERRAI
606	2025-11-05	21	12.94	SERRAI	2025-11-05	21	13.3332	SERRAI
606	2025-11-06	21	12.74	SERRAI	2025-11-06	21	13.3417	SERRAI
606	2025-11-07	21	10.74	SERRAI	2025-11-07	21	11.5981	SERRAI
606	2025-11-08	21	14.64	SERRAI	2025-11-08	21	13.4037	SERRAI
606	2025-11-09	21	15.14	SERRAI	2025-11-09	21	14.6319	SERRAI
606	2025-11-10	21	14.14	SERRAI	2025-11-10	21	13.4941	SERRAI
606	2025-11-11	21	11.44	SERRAI	2025-11-11	21	10.9186	SERRAI
606	2025-11-12	21	6.44	SERRAI	2025-11-12	21	9.61808	SERRAI
606	2025-11-13	21	6.74	SERRAI	2025-11-13	21	9.56925	SERRAI
606	2025-11-14	21	6.94	SERRAI	2025-11-14	21	9.19132	SERRAI
606	2025-11-15	21	6.74	SERRAI	2025-11-15	21	10.3266	SERRAI
606	2025-11-16	21	7.74	SERRAI	2025-11-16	21	10.4506	SERRAI
606	2025-11-17	21	9.24	SERRAI	2025-11-17	21	12.456	SERRAI
606	2025-11-18	21	14.44	SERRAI	2025-11-18	21	14.6462	SERRAI
606	2025-11-19	21	13.24	SERRAI	2025-11-19	21	14.5427	SERRAI
606	2025-11-20	21	12.94	SERRAI	2025-11-20	21	13.8036	SERRAI
613	2025-11-01	21	5.94	FLORINA	2025-11-01	21	8.27603	FLORINA
613	2025-11-02	21	8.74	FLORINA	2025-11-02	21	9.20963	FLORINA
613	2025-11-03	21	12.44	FLORINA	2025-11-03	21	10.3808	FLORINA
613	2025-11-04	21	7.94	FLORINA	2025-11-04	21	7.40323	FLORINA
613	2025-11-05	21	9.24	FLORINA	2025-11-05	21	7.41715	FLORINA
613	2025-11-06	21	8.14	FLORINA	2025-11-06	21	8.98917	FLORINA
613	2025-11-07	21	10.94	FLORINA	2025-11-07	21	10.3012	FLORINA
613	2025-11-08	21	7.94	FLORINA	2025-11-08	21	7.6391	FLORINA
613	2025-11-09	21	11.24	FLORINA	2025-11-09	21	12.0938	FLORINA
