obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	ecmwf_dates	ecmwf_temp_table_h	ecmwf_temp_table	ecmwf_station_names
606	2025-11-01	9	14.14	SERRAI	2025-11-01	9	17.1523	SERRAI
606	2025-11-02	9	15.94	SERRAI	2025-11-02	9	17.7106	SERRAI
606	2025-11-03	9	16.44	SERRAI	2025-11-03	9	17.6325	SERRAI
606	2025-11-04	9	15.44	SERRAI	2025-11-04	9	14.7528	SERRAI
606	2025-11-05	9	14.44	SERRAI	2025-11-05	9	15.7677	SERRAI
606	2025-11-06	9	15.74	SERRAI	2025-11-06	9	15.8698	SERRAI
606	2025-11-07	9	14.64	SERRAI	2025-11-07	9	15.2135	SERRAI
606	2025-11-08	9	14.94	SERRAI	2025-11-08	9	17.3122	SERRAI
606	2025-11-09	9	15.74	SERRAI	2025-11-09	9	16.9162	SERRAI
606	2025-11-10	9	14.64	SERRAI	2025-11-10	9	17.6012	SERRAI
606	2025-11-11	9	19.64	SERRAI	2025-11-11	9	17.5397	SERRAI
606	2025-11-12	9	14.64	SERRAI	2025-11-12	9	13.8239	SERRAI
606	2025-11-13	9	12.44	SERRAI	2025-11-13	9	14.0346	SERRAI
606	2025-11-14	9	11.64	SERRAI	2025-11-14	9	14.192	SERRAI
606	2025-11-15	9	10.44	SERRAI	2025-11-15	9	14.0434	SERRAI
606	2025-11-16	9	11.24	SERRAI	2025-11-16	9	14.9355	SERRAI
606	2025-11-17	9	13.74	SERRAI	2025-11-17	9	16.516	SERRAI
606	2025-11-18	9	12.94	SERRAI	2025-11-18	9	15.9501	SERRAI
606	2025-11-19	9	14.24	SERRAI	2025-11-19	9	15.0271	SERRAI
606	2025-11-20	9	13.94	SERRAI	2025-11-20	9	18.0674	SERRAI
606	2025-11-24	9	14.44	SERRAI	2025-11-24	9	12.8994	SERRAI
606	2025-11-25	9	10.44	SERRAI	2025-11-25	9	13.9643	SERRAI
606	2025-11-26	9	13.44	SERRAI	2025-11-26	9	17.3572	SERRAI
606	2025-11-27	9	15.74	SERRAI	2025-11-27	9	15.3534	SERRAI
606	2025-11-28	9	11.24	SERRAI	2025-11-28	9	14.6066	SERRAI
613	2025-11-01	9	15.44	FLORINA	2025-11-01	9	14.4228	FLORINA
613	2025-11-02	9	14.44	FLORINA	2025-11-02	9	15.8083	FLORINA
613	2025-11-03	9	16.44	FLORINA	2025-11-03	9	16.6549	FLORINA
613	2025-11-04	9	9.44	FLORINA	2025-11-04	9	8.7753	FLORINA
613	2025-11-05	9	8.74	FLORINA	2025-11-05	9	9.7609	FLORINA
613	2025-11-06	9	11.74	FLORINA	2025-11-06	9	11.5758	FLORINA
613	2025-11-07	9	12.94	FLORINA	2025-11-07	9	13.3766	FLORINA
613	2025-11-08	9	12.44	FLORINA	2025-11-08	9	13.4694	FLORINA
613	2025-11-09	9	13.74	FLORINA	2025-11-09	9	15.4826	FLORINA
613	2025-11-10	9	13.24	FLORINA	2025-11-10	9	13.484	FLORINA
