obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	icon_dates	icon_temp_table_h	icon_temp_table	icon_station_names
606	2025-10-01	6	14.64	SERRAI	2025-10-01	6	14.3446	SERRAI
606	2025-10-02	6	12.74	SERRAI	2025-10-02	6	13.7323	SERRAI
606	2025-10-03	6	9.64	SERRAI	2025-10-03	6	10.8717	SERRAI
606	2025-10-04	6	8.24	SERRAI	2025-10-04	6	8.38419	SERRAI
606	2025-10-05	6	8.44	SERRAI	2025-10-05	6	8.3859	SERRAI
606	2025-10-06	6	12.94	SERRAI	2025-10-06	6	12.725	SERRAI
606	2025-10-07	6	13.64	SERRAI	2025-10-07	6	11.3063	SERRAI
606	2025-10-08	6	13.24	SERRAI	2025-10-08	6	10.6647	SERRAI
606	2025-10-09	6	12.44	SERRAI	2025-10-09	6	10.6779	SERRAI
606	2025-10-10	6	12.94	SERRAI	2025-10-10	6	11.5397	SERRAI
606	2025-10-11	6	18.74	SERRAI	2025-10-11	6	13.1374	SERRAI
606	2025-10-12	6	10.94	SERRAI	2025-10-12	6	10.0426	SERRAI
606	2025-10-13	6	10.44	SERRAI	2025-10-13	6	10.7956	SERRAI
606	2025-10-14	6	9.74	SERRAI	2025-10-14	6	9.83658	SERRAI
606	2025-10-15	6	12.64	SERRAI	2025-10-15	6	11.1	SERRAI
606	2025-10-16	6	11.94	SERRAI	2025-10-16	6	12.3617	SERRAI
606	2025-10-17	6	11.24	SERRAI	2025-10-17	6	12.9337	SERRAI
606	2025-10-18	6	13.94	SERRAI	2025-10-18	6	13.6967	SERRAI
606	2025-10-19	6	11.94	SERRAI	2025-10-19	6	12.6276	SERRAI
606	2025-10-20	6	10.44	SERRAI	2025-10-20	6	11.7126	SERRAI
606	2025-10-21	6	14.44	SERRAI	2025-10-21	6	13.5722	SERRAI
606	2025-10-22	6	12.94	SERRAI	2025-10-22	6	13.484	SERRAI
606	2025-10-23	6	13.24	SERRAI	2025-10-23	6	13.3366	SERRAI
606	2025-10-24	6	14.94	SERRAI	2025-10-24	6	16.1208	SERRAI
606	2025-10-27	6	12.94	SERRAI	2025-10-27	6	13.141	SERRAI
606	2025-10-28	6	7.74	SERRAI	2025-10-28	6	10.1645	SERRAI
606	2025-10-29	6	4.94	SERRAI	2025-10-29	6	7.08097	SERRAI
606	2025-10-30	6	4.74	SERRAI	2025-10-30	6	6.83048	SERRAI
606	2025-10-31	6	7.24	SERRAI	2025-10-31	6	8.60855	SERRAI
613	2025-10-01	6	11.44	FLORINA	2025-10-01	6	11.6855	FLORINA
613	2025-10-02	6	7.74	FLORINA	2025-10-02	6	8.37393	FLORINA
613	2025-10-03	6	3.74	FLORINA	2025-10-03	6	3.41764	FLORINA
613	2025-10-04	6	5.74	FLORINA	2025-10-04	6	3.80899	FLORINA
613	2025-10-05	6	6.24	FLORINA	2025-10-05	6	6.50601	FLORINA
613	2025-10-06	6	12.24	FLORINA	2025-10-06	6	11.8803	FLORINA
613	2025-10-07	6	7.74	FLORINA	2025-10-07	6	7.54459	FLORINA
613	2025-10-08	6	7.44	FLORINA	2025-10-08	6	8.00064	FLORINA
613	2025-10-09	6	11.74	FLORINA	2025-10-09	6	9.00601	FLORINA
613	2025-10-10	6	7.14	FLORINA	2025-10-10	6	9.08072	FLORINA
613	2025-10-11	6	10.24	FLORINA	2025-10-11	6	10.8307	FLORINA
613	2025-10-12	6	11.14	FLORINA	2025-10-12	6	9.92008	FLORINA
613	2025-10-13	6	5.44	FLORINA	2025-10-13	6	7.10807	FLORINA
613	2025-10-14	6	10.64	FLORINA	2025-10-14	6	7.12369	FLORINA
613	2025-10-15	6	6.94	FLORINA	2025-10-15	6	7.90177	FLORINA
613	2025-10-16	6	10.74	FLORINA	2025-10-16	6	10.643	FLORINA
613	2025-10-17	6	9.14	FLORINA	2025-10-17	6	10.1369	FLORINA
613	2025-10-18	6	11.64	FLORINA	2025-10-18	6	9.99259	FLORINA
613	2025-10-19	6	9.74	FLORINA	2025-10-19	6	10.7047	FLORINA
613	2025-10-20	6	2.94	FLORINA	2025-10-20	6	6.90396	FLORINA
613	2025-10-21	6	10.14	FLORINA	2025-10-21	6	10.5546	FLORINA
613	2025-10-22	6	12.74	FLORINA	2025-10-22	6	11.8473	FLORINA
613	2025-10-23	6	7.74	FLORINA	2025-10-23	6	9.26627	FLORINA
613	2025-10-24	6	15.24	FLORINA	2025-10-24	6	17.1647	FLORINA
613	2025-10-25	6	7.44	FLORINA	2025-10-25	6	9.31559	FLORINA
613	2025-10-26	6	13.24	FLORINA	2025-10-26	6	13.112	FLORINA
613	2025-10-27	6	13.94	FLORINA	2025-10-27	6	16.8695	FLORINA
613	2025-10-28	6	6.74	FLORINA	2025-10-28	6	8.76895	FLORINA
613	2025-10-29	6	2.24	FLORINA	2025-10-29	6	6.50186	FLORINA
613	2025-10-30	6	2.74	FLORINA	2025-10-30	6	6.74747	FLORINA
613	2025-10-31	6	4.44	FLORINA	2025-10-31	6	6.96402	FLORINA
622	2025-10-01	6	15.94	THESSALONIKI (AIRPORT)	2025-10-01	6	17.2362	THESSALONIKI (AIRPORT)
622	2025-10-02	6	15.74	THESSALONIKI (AIRPORT)	2025-10-02	6	15.6337	THESSALONIKI (AIRPORT)
622	2025-10-03	6	8.94	THESSALONIKI (AIRPORT)	2025-10-03	6	10.2887	THESSALONIKI (AIRPORT)
622	2025-10-04	6	11.24	THESSALONIKI (AIRPORT)	2025-10-04	6	9.84903	THESSALONIKI (AIRPORT)
622	2025-10-05	6	10.44	THESSALONIKI (AIRPORT)	2025-10-05	6	10.7912	THESSALONIKI (AIRPORT)
622	2025-10-06	6	15.94	THESSALONIKI (AIRPORT)	2025-10-06	6	15.8686	THESSALONIKI (AIRPORT)
622	2025-10-07	6	12.94	THESSALONIKI (AIRPORT)	2025-10-07	6	12.6501	THESSALONIKI (AIRPORT)
622	2025-10-08	6	13.94	THESSALONIKI (AIRPORT)	2025-10-08	6	13.0934	THESSALONIKI (AIRPORT)
622	2025-10-09	6	15.94	THESSALONIKI (AIRPORT)	2025-10-09	6	14.5197	THESSALONIKI (AIRPORT)
622	2025-10-10	6	12.94	THESSALONIKI (AIRPORT)	2025-10-10	6	13.174	THESSALONIKI (AIRPORT)
622	2025-10-11	6	17.94	THESSALONIKI (AIRPORT)	2025-10-11	6	16.402	THESSALONIKI (AIRPORT)
622	2025-10-12	6	11.24	THESSALONIKI (AIRPORT)	2025-10-12	6	12.2746	THESSALONIKI (AIRPORT)
622	2025-10-13	6	11.44	THESSALONIKI (AIRPORT)	2025-10-13	6	13.1711	THESSALONIKI (AIRPORT)
622	2025-10-14	6	10.44	THESSALONIKI (AIRPORT)	2025-10-14	6	10.9733	THESSALONIKI (AIRPORT)
