obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	icon_dates	icon_temp_table_h	icon_temp_table	icon_station_names
606	2025-11-01	12	18.74	SERRAI	2025-11-01	12	18.3766	SERRAI
606	2025-11-02	12	21.44	SERRAI	2025-11-02	12	18.9193	SERRAI
606	2025-11-03	12	22.74	SERRAI	2025-11-03	12	18.8351	SERRAI
606	2025-11-04	12	14.64	SERRAI	2025-11-04	12	13.9569	SERRAI
606	2025-11-05	12	18.44	SERRAI	2025-11-05	12	17.2709	SERRAI
606	2025-11-06	12	17.74	SERRAI	2025-11-06	12	15.7748	SERRAI
606	2025-11-07	12	16.74	SERRAI	2025-11-07	12	17.3293	SERRAI
606	2025-11-08	12	15.44	SERRAI	2025-11-08	12	17.1086	SERRAI
606	2025-11-09	12	19.24	SERRAI	2025-11-09	12	18.1955	SERRAI
606	2025-11-10	12	15.94	SERRAI	2025-11-10	12	16.6874	SERRAI
606	2025-11-11	12	19.74	SERRAI	2025-11-11	12	18.9411	SERRAI
606	2025-11-12	12	17.74	SERRAI	2025-11-12	12	16.0046	SERRAI
606	2025-11-13	12	15.94	SERRAI	2025-11-13	12	15.3456	SERRAI
606	2025-11-14	12	16.94	SERRAI	2025-11-14	12	15.3468	SERRAI
606	2025-11-15	12	17.24	SERRAI	2025-11-15	12	15.381	SERRAI
606	2025-11-16	12	17.74	SERRAI	2025-11-16	12	15.4032	SERRAI
606	2025-11-17	12	15.64	SERRAI	2025-11-17	12	15.2597	SERRAI
606	2025-11-18	12	13.44	SERRAI	2025-11-18	12	15.8556	SERRAI
606	2025-11-19	12	14.44	SERRAI	2025-11-19	12	16.0756	SERRAI
606	2025-11-20	12	16.24	SERRAI	2025-11-20	12	18.6541	SERRAI
606	2025-11-24	12	15.74	SERRAI	2025-11-24	12	14.5277	SERRAI
606	2025-11-25	12	11.64	SERRAI	2025-11-25	12	12.6272	SERRAI
606	2025-11-26	12	18.74	SERRAI	2025-11-26	12	18.5447	SERRAI
606	2025-11-27	12	18.24	SERRAI	2025-11-27	12	16.7663	SERRAI
606	2025-11-28	12	12.64	SERRAI	2025-11-28	12	14.9098	SERRAI
613	2025-11-01	12	18.14	FLORINA	2025-11-01	12	16.3551	FLORINA
613	2025-11-02	12	21.44	FLORINA	2025-11-02	12	17.2582	FLORINA
613	2025-11-03	12	19.74	FLORINA	2025-11-03	12	17.7834	FLORINA
613	2025-11-04	12	8.94	FLORINA	2025-11-04	12	9.24601	FLORINA
613	2025-11-05	12	10.74	FLORINA	2025-11-05	12	9.767	FLORINA
613	2025-11-06	12	12.14	FLORINA	2025-11-06	12	13.0766	FLORINA
613	2025-11-07	12	13.94	FLORINA	2025-11-07	12	16.1007	FLORINA
613	2025-11-08	12	15.94	FLORINA	2025-11-08	12	16.9474	FLORINA
613	2025-11-09	12	15.94	FLORINA	2025-11-09	12	15.2658	FLORINA
613	2025-11-10	12	12.24	FLORINA	2025-11-10	12	13.9101	FLORINA
613	2025-11-11	12	14.44	FLORINA	2025-11-11	12	13.7126	FLORINA
613	2025-11-12	12	14.74	FLORINA	2025-11-12	12	12.7419	FLORINA
613	2025-11-13	12	15.44	FLORINA	2025-11-13	12	12.7782	FLORINA
613	2025-11-14	12	15.44	FLORINA	2025-11-14	12	13.2804	FLORINA
613	2025-11-15	12	15.64	FLORINA	2025-11-15	12	13.3263	FLORINA
613	2025-11-16	12	16.44	FLORINA	2025-11-16	12	13.2978	FLORINA
613	2025-11-17	12	19.64	FLORINA	2025-11-17	12	19.0009	FLORINA
613	2025-11-18	12	13.74	FLORINA	2025-11-18	12	17.3996	FLORINA
613	2025-11-19	12	10.44	FLORINA	2025-11-19	12	14.477	FLORINA
613	2025-11-20	12	17.44	FLORINA	2025-11-20	12	17.2175	FLORINA
613	2025-11-21	12	13.94	FLORINA	2025-11-21	12	16.9109	FLORINA
613	2025-11-22	12	14.74	FLORINA	2025-11-22	12	14.9724	FLORINA
613	2025-11-23	12	12.64	FLORINA	2025-11-23	12	12.0519	FLORINA
613	2025-11-24	12	11.74	FLORINA	2025-11-24	12	10.2777	FLORINA
613	2025-11-25	12	11.14	FLORINA	2025-11-25	12	13.2659	FLORINA
613	2025-11-26	12	13.44	FLORINA	2025-11-26	12	14.6492	FLORINA
613	2025-11-27	12	10.24	FLORINA	2025-11-27	12	11.5485	FLORINA
613	2025-11-28	12	5.24	FLORINA	2025-11-28	12	6.15787	FLORINA
613	2025-11-29	12	7.14	FLORINA	2025-11-29	12	7.67765	FLORINA
613	2025-11-30	12	9.44	FLORINA	2025-11-30	12	7.80728	FLORINA
622	2025-11-01	12	17.94	THESSALONIKI (AIRPORT)	2025-11-01	12	17.6579	THESSALONIKI (AIRPORT)
