obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	icon_dates	icon_temp_table_h	icon_temp_table	icon_station_names
606	2025-09-01	0	17.64	SERRAI	2025-09-01	0	22.1012	SERRAI
606	2025-09-02	0	19.94	SERRAI	2025-09-02	0	23.4306	SERRAI
606	2025-09-03	0	19.74	SERRAI	2025-09-03	0	25.7179	SERRAI
606	2025-09-04	0	22.94	SERRAI	2025-09-04	0	25.1391	SERRAI
606	2025-09-05	0	21.14	SERRAI	2025-09-05	0	24.3725	SERRAI
606	2025-09-06	0	19.44	SERRAI	2025-09-06	0	24.5861	SERRAI
606	2025-09-07	0	19.24	SERRAI	2025-09-07	0	22.6051	SERRAI
606	2025-09-08	0	17.94	SERRAI	2025-09-08	0	23.091	SERRAI
606	2025-09-09	0	17.94	SERRAI	2025-09-09	0	23.1508	SERRAI
606	2025-09-10	0	18.74	SERRAI	2025-09-10	0	22.6567	SERRAI
606	2025-09-11	0	19.94	SERRAI	2025-09-11	0	23.5771	SERRAI
606	2025-09-12	0	19.94	SERRAI	2025-09-12	0	24.0004	SERRAI
606	2025-09-13	0	19.64	SERRAI	2025-09-13	0	24.4023	SERRAI
606	2025-09-14	0	22.64	SERRAI	2025-09-14	0	23.0705	SERRAI
606	2025-09-15	0	19.24	SERRAI	2025-09-15	0	22.557	SERRAI
606	2025-09-16	0	18.74	SERRAI	2025-09-16	0	21.0102	SERRAI
606	2025-09-17	0	17.74	SERRAI	2025-09-17	0	19.2314	SERRAI
606	2025-09-18	0	19.94	SERRAI	2025-09-18	0	18.7465	SERRAI
606	2025-09-19	0	12.94	SERRAI	2025-09-19	0	16.9254	SERRAI
606	2025-09-20	0	13.74	SERRAI	2025-09-20	0	18.3627	SERRAI
606	2025-09-21	0	15.14	SERRAI	2025-09-21	0	21.3781	SERRAI
606	2025-09-22	0	16.64	SERRAI	2025-09-22	0	19.4735	SERRAI
606	2025-09-23	0	13.94	SERRAI	2025-09-23	0	21.0768	SERRAI
606	2025-09-24	0	16.24	SERRAI	2025-09-24	0	20.6061	SERRAI
606	2025-09-25	0	17.14	SERRAI	2025-09-25	0	21.5063	SERRAI
606	2025-09-26	0	20.24	SERRAI	2025-09-26	0	20.7328	SERRAI
606	2025-09-27	0	19.24	SERRAI	2025-09-27	0	19.7607	SERRAI
606	2025-09-28	0	14.44	SERRAI	2025-09-28	0	17.413	SERRAI
606	2025-09-29	0	13.64	SERRAI	2025-09-29	0	14.7375	SERRAI
606	2025-09-30	0	15.94	SERRAI	2025-09-30	0	15.5673	SERRAI
613	2025-09-01	0	10.14	FLORINA	2025-09-01	0	13.5309	FLORINA
613	2025-09-02	0	11.64	FLORINA	2025-09-02	0	16.3681	FLORINA
613	2025-09-03	0	15.24	FLORINA	2025-09-03	0	18.0675	FLORINA
613	2025-09-04	0	14.74	FLORINA	2025-09-04	0	15.2426	FLORINA
613	2025-09-05	0	14.94	FLORINA	2025-09-05	0	18.6596	FLORINA
613	2025-09-06	0	12.24	FLORINA	2025-09-06	0	17.7951	FLORINA
613	2025-09-07	0	11.74	FLORINA	2025-09-07	0	18.1325	FLORINA
613	2025-09-08	0	11.24	FLORINA	2025-09-08	0	16.4054	FLORINA
613	2025-09-09	0	14.24	FLORINA	2025-09-09	0	16.5092	FLORINA
613	2025-09-10	0	11.74	FLORINA	2025-09-10	0	14.6791	FLORINA
613	2025-09-11	0	17.94	FLORINA	2025-09-11	0	18.997	FLORINA
613	2025-09-12	0	14.44	FLORINA	2025-09-12	0	15.0483	FLORINA
613	2025-09-13	0	11.74	FLORINA	2025-09-13	0	17.3612	FLORINA
613	2025-09-14	0	18.64	FLORINA	2025-09-14	0	15.0236	FLORINA
613	2025-09-15	0	14.44	FLORINA	2025-09-15	0	16.4369	FLORINA
613	2025-09-16	0	11.44	FLORINA	2025-09-16	0	16.8305	FLORINA
613	2025-09-17	0	13.74	FLORINA	2025-09-17	0	12.4862	FLORINA
613	2025-09-18	0	11.74	FLORINA	2025-09-18	0	10.5238	FLORINA
613	2025-09-19	0	12.64	FLORINA	2025-09-19	0	10.3747	FLORINA
613	2025-09-20	0	10.94	FLORINA	2025-09-20	0	14.5727	FLORINA
613	2025-09-21	0	13.74	FLORINA	2025-09-21	0	16.9406	FLORINA
613	2025-09-22	0	11.44	FLORINA	2025-09-22	0	12.1269	FLORINA
613	2025-09-23	0	13.24	FLORINA	2025-09-23	0	13.2096	FLORINA
613	2025-09-24	0	9.24	FLORINA	2025-09-24	0	14.1061	FLORINA
613	2025-09-25	0	13.64	FLORINA	2025-09-25	0	14.7338	FLORINA
613	2025-09-26	0	17.64	FLORINA	2025-09-26	0	16.2572	FLORINA
613	2025-09-27	0	15.94	FLORINA	2025-09-27	0	15.2304	FLORINA
613	2025-09-28	0	12.74	FLORINA	2025-09-28	0	12.6435	FLORINA
613	2025-09-29	0	11.94	FLORINA	2025-09-29	0	11.3742	FLORINA
613	2025-09-30	0	11.94	FLORINA	2025-09-30	0	11.1357	FLORINA
622	2025-09-01	0	23.64	THESSALONIKI (AIRPORT)	2025-09-01	0	23.8219	THESSALONIKI (AIRPORT)
622	2025-09-02	0	24.74	THESSALONIKI (AIRPORT)	2025-09-02	0	24.9872	THESSALONIKI (AIRPORT)
622	2025-09-03	0	22.24	THESSALONIKI (AIRPORT)	2025-09-03	0	24.2599	THESSALONIKI (AIRPORT)
622	2025-09-04	0	26.94	THESSALONIKI (AIRPORT)	2025-09-04	0	24.9584	THESSALONIKI (AIRPORT)
622	2025-09-05	0	25.44	THESSALONIKI (AIRPORT)	2025-09-05	0	24.9496	THESSALONIKI (AIRPORT)
622	2025-09-06	0	22.74	THESSALONIKI (AIRPORT)	2025-09-06	0	23.963	THESSALONIKI (AIRPORT)
622	2025-09-07	0	21.24	THESSALONIKI (AIRPORT)	2025-09-07	0	21.9284	THESSALONIKI (AIRPORT)
622	2025-09-08	0	20.24	THESSALONIKI (AIRPORT)	2025-09-08	0	22.258	THESSALONIKI (AIRPORT)
622	2025-09-09	0	19.94	THESSALONIKI (AIRPORT)	2025-09-09	0	21.5639	THESSALONIKI (AIRPORT)
622	2025-09-10	0	20.24	THESSALONIKI (AIRPORT)	2025-09-10	0	21.4184	THESSALONIKI (AIRPORT)
622	2025-09-11	0	19.94	THESSALONIKI (AIRPORT)	2025-09-11	0	23.0341	THESSALONIKI (AIRPORT)
622	2025-09-12	0	20.44	THESSALONIKI (AIRPORT)	2025-09-12	0	24.0102	THESSALONIKI (AIRPORT)
622	2025-09-13	0	20.64	THESSALONIKI (AIRPORT)	2025-09-13	0	23.3456	THESSALONIKI (AIRPORT)
622	2025-09-14	0	20.24	THESSALONIKI (AIRPORT)	2025-09-14	0	22.0607	THESSALONIKI (AIRPORT)
622	2025-09-15	0	20.94	THESSALONIKI (AIRPORT)	2025-09-15	0	21.4877	THESSALONIKI (AIRPORT)
622	2025-09-16	0	19.64	THESSALONIKI (AIRPORT)	2025-09-16	0	20.1762	THESSALONIKI (AIRPORT)
622	2025-09-17	0	19.74	THESSALONIKI (AIRPORT)	2025-09-17	0	18.7577	THESSALONIKI (AIRPORT)
622	2025-09-18	0	21.44	THESSALONIKI (AIRPORT)	2025-09-18	0	19.6234	THESSALONIKI (AIRPORT)
622	2025-09-19	0	15.94	THESSALONIKI (AIRPORT)	2025-09-19	0	18.0309	THESSALONIKI (AIRPORT)
622	2025-09-20	0	15.74	THESSALONIKI (AIRPORT)	2025-09-20	0	18.1127	THESSALONIKI (AIRPORT)
622	2025-09-21	0	16.74	THESSALONIKI (AIRPORT)	2025-09-21	0	21.1798	THESSALONIKI (AIRPORT)
622	2025-09-22	0	18.24	THESSALONIKI (AIRPORT)	2025-09-22	0	20.2626	THESSALONIKI (AIRPORT)
622	2025-09-23	0	15.44	THESSALONIKI (AIRPORT)	2025-09-23	0	20.0182	THESSALONIKI (AIRPORT)
622	2025-09-24	0	16.74	THESSALONIKI (AIRPORT)	2025-09-24	0	18.8239	THESSALONIKI (AIRPORT)
622	2025-09-25	0	17.74	THESSALONIKI (AIRPORT)	2025-09-25	0	19.3383	THESSALONIKI (AIRPORT)
622	2025-09-26	0	18.94	THESSALONIKI (AIRPORT)	2025-09-26	0	21.3266	THESSALONIKI (AIRPORT)
622	2025-09-27	0	21.24	THESSALONIKI (AIRPORT)	2025-09-27	0	20.4335	THESSALONIKI (AIRPORT)
622	2025-09-28	0	15.94	THESSALONIKI (AIRPORT)	2025-09-28	0	18.5487	THESSALONIKI (AIRPORT)
