obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	ecmwf_dates	ecmwf_temp_table_h	ecmwf_temp_table	ecmwf_station_names
606	2025-09-02	15	35.94	SERRAI	2025-09-01	39	28.515	SERRAI
606	2025-09-03	15	33.94	SERRAI	2025-09-02	39	29.248	SERRAI
606	2025-09-04	15	31.14	SERRAI	2025-09-03	39	28.1234	SERRAI
606	2025-09-05	15	34.44	SERRAI	2025-09-04	39	29.3285	SERRAI
606	2025-09-06	15	30.24	SERRAI	2025-09-05	39	27.767	SERRAI
606	2025-09-07	15	30.94	SERRAI	2025-09-06	39	27.7494	SERRAI
606	2025-09-08	15	29.64	SERRAI	2025-09-07	39	25.5614	SERRAI
606	2025-09-09	15	30.44	SERRAI	2025-09-08	39	26.6388	SERRAI
606	2025-09-10	15	31.44	SERRAI	2025-09-09	39	27.9225	SERRAI
606	2025-09-11	15	31.14	SERRAI	2025-09-10	39	27.3776	SERRAI
606	2025-09-12	15	34.44	SERRAI	2025-09-11	39	27.5619	SERRAI
606	2025-09-13	15	29.24	SERRAI	2025-09-12	39	26.8739	SERRAI
606	2025-09-14	15	29.24	SERRAI	2025-09-13	39	25.8908	SERRAI
606	2025-09-15	15	29.24	SERRAI	2025-09-14	39	26.4836	SERRAI
606	2025-09-16	15	31.64	SERRAI	2025-09-15	39	26.7589	SERRAI
606	2025-09-17	15	28.64	SERRAI	2025-09-16	39	28.6293	SERRAI
606	2025-09-18	15	27.74	SERRAI	2025-09-17	39	24.8293	SERRAI
606	2025-09-19	15	29.24	SERRAI	2025-09-18	39	24.3573	SERRAI
606	2025-09-20	15	29.44	SERRAI	2025-09-19	39	26.3173	SERRAI
606	2025-09-21	15	30.44	SERRAI	2025-09-20	39	25.8539	SERRAI
606	2025-09-22	15	27.74	SERRAI	2025-09-21	39	25.1234	SERRAI
606	2025-09-23	15	29.14	SERRAI	2025-09-22	39	25.4184	SERRAI
606	2025-09-24	15	29.74	SERRAI	2025-09-23	39	26.4323	SERRAI
606	2025-09-25	15	24.94	SERRAI	2025-09-24	39	23.963	SERRAI
606	2025-09-26	15	25.74	SERRAI	2025-09-25	39	23.6686	SERRAI
606	2025-09-27	15	22.44	SERRAI	2025-09-26	39	21.3942	SERRAI
606	2025-09-28	15	18.74	SERRAI	2025-09-27	39	19.8581	SERRAI
606	2025-09-29	15	22.94	SERRAI	2025-09-28	39	20.3688	SERRAI
606	2025-09-30	15	23.74	SERRAI	2025-09-29	39	19.3654	SERRAI
613	2025-09-02	15	32.44	FLORINA	2025-09-01	39	28.7758	FLORINA
613	2025-09-03	15	25.44	FLORINA	2025-09-02	39	25.3622	FLORINA
613	2025-09-04	15	23.94	FLORINA	2025-09-03	39	22.1332	FLORINA
613	2025-09-05	15	28.74	FLORINA	2025-09-04	39	27.3686	FLORINA
613	2025-09-06	15	28.94	FLORINA	2025-09-05	39	26.4233	FLORINA
613	2025-09-07	15	28.24	FLORINA	2025-09-06	39	26.0258	FLORINA
613	2025-09-08	15	29.44	FLORINA	2025-09-07	39	25.3485	FLORINA
613	2025-09-09	15	30.64	FLORINA	2025-09-08	39	25.6554	FLORINA
613	2025-09-10	15	28.94	FLORINA	2025-09-09	39	27.112	FLORINA
613	2025-09-11	15	23.44	FLORINA	2025-09-10	39	27.2838	FLORINA
613	2025-09-12	15	27.24	FLORINA	2025-09-11	39	25.183	FLORINA
613	2025-09-13	15	28.74	FLORINA	2025-09-12	39	24.3261	FLORINA
613	2025-09-14	15	27.94	FLORINA	2025-09-13	39	24.7775	FLORINA
613	2025-09-15	15	27.94	FLORINA	2025-09-14	39	24.0617	FLORINA
613	2025-09-16	15	30.24	FLORINA	2025-09-15	39	25.6857	FLORINA
613	2025-09-17	15	22.64	FLORINA	2025-09-16	39	22.0912	FLORINA
