obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	icon_dates	icon_temp_table_h	icon_temp_table	icon_station_names
606	2025-11-02	9	15.94	SERRAI	2025-11-01	33	15.4608	SERRAI
606	2025-11-03	9	16.44	SERRAI	2025-11-02	33	15.3654	SERRAI
606	2025-11-04	9	15.44	SERRAI	2025-11-03	33	13.3178	SERRAI
606	2025-11-05	9	14.44	SERRAI	2025-11-04	33	12.8202	SERRAI
606	2025-11-06	9	15.74	SERRAI	2025-11-05	33	14.3373	SERRAI
606	2025-11-07	9	14.64	SERRAI	2025-11-06	33	15.0614	SERRAI
606	2025-11-08	9	14.94	SERRAI	2025-11-07	33	16.2699	SERRAI
606	2025-11-09	9	15.74	SERRAI	2025-11-08	33	15.4335	SERRAI
606	2025-11-10	9	14.64	SERRAI	2025-11-09	33	17.3307	SERRAI
606	2025-11-11	9	19.64	SERRAI	2025-11-10	33	18.0993	SERRAI
606	2025-11-12	9	14.64	SERRAI	2025-11-11	33	13.248	SERRAI
606	2025-11-13	9	12.44	SERRAI	2025-11-12	33	12.672	SERRAI
606	2025-11-14	9	11.64	SERRAI	2025-11-13	33	12.0136	SERRAI
606	2025-11-15	9	10.44	SERRAI	2025-11-14	33	10.9909	SERRAI
606	2025-11-16	9	11.24	SERRAI	2025-11-15	33	10.7331	SERRAI
606	2025-11-17	9	13.74	SERRAI	2025-11-16	33	12.1366	SERRAI
606	2025-11-18	9	12.94	SERRAI	2025-11-17	33	14.1852	SERRAI
606	2025-11-19	9	14.24	SERRAI	2025-11-18	33	14.549	SERRAI
606	2025-11-20	9	13.94	SERRAI	2025-11-19	33	16.4264	SERRAI
606	2025-11-24	9	14.44	SERRAI	2025-11-23	33	11.3434	SERRAI
606	2025-11-25	9	10.44	SERRAI	2025-11-24	33	10.2475	SERRAI
606	2025-11-26	9	13.44	SERRAI	2025-11-25	33	13.1782	SERRAI
606	2025-11-27	9	15.74	SERRAI	2025-11-26	33	17.1454	SERRAI
606	2025-11-28	9	11.24	SERRAI	2025-11-27	33	13.4018	SERRAI
613	2025-11-02	9	14.44	FLORINA	2025-11-01	33	14.8183	FLORINA
613	2025-11-03	9	16.44	FLORINA	2025-11-02	33	14.7804	FLORINA
613	2025-11-04	9	9.44	FLORINA	2025-11-03	33	10.6889	FLORINA
613	2025-11-05	9	8.74	FLORINA	2025-11-04	33	9.00968	FLORINA
613	2025-11-06	9	11.74	FLORINA	2025-11-05	33	10.8979	FLORINA
613	2025-11-07	9	12.94	FLORINA	2025-11-06	33	14.0009	FLORINA
613	2025-11-08	9	12.44	FLORINA	2025-11-07	33	13.0483	FLORINA
613	2025-11-09	9	13.74	FLORINA	2025-11-08	33	14.3358	FLORINA
613	2025-11-10	9	13.24	FLORINA	2025-11-09	33	14.5153	FLORINA
613	2025-11-11	9	13.74	FLORINA	2025-11-10	33	11.7467	FLORINA
613	2025-11-12	9	11.64	FLORINA	2025-11-11	33	10.0966	FLORINA
613	2025-11-13	9	10.24	FLORINA	2025-11-12	33	9.96598	FLORINA
613	2025-11-14	9	10.44	FLORINA	2025-11-13	33	9.90811	FLORINA
613	2025-11-15	9	10.64	FLORINA	2025-11-14	33	8.80533	FLORINA
613	2025-11-16	9	11.24	FLORINA	2025-11-15	33	9.14225	FLORINA
613	2025-11-17	9	17.94	FLORINA	2025-11-16	33	14.12	FLORINA
613	2025-11-18	9	18.94	FLORINA	2025-11-17	33	17.4294	FLORINA
613	2025-11-19	9	11.14	FLORINA	2025-11-18	33	13.0343	FLORINA
613	2025-11-20	9	16.14	FLORINA	2025-11-19	33	15.2663	FLORINA
613	2025-11-21	9	13.94	FLORINA	2025-11-20	33	14.5355	FLORINA
613	2025-11-22	9	14.74	FLORINA	2025-11-21	33	14.2691	FLORINA
613	2025-11-23	9	10.44	FLORINA	2025-11-22	33	10.7813	FLORINA
613	2025-11-24	9	8.14	FLORINA	2025-11-23	33	6.18717	FLORINA
613	2025-11-25	9	10.74	FLORINA	2025-11-24	33	10.0298	FLORINA
613	2025-11-26	9	12.74	FLORINA	2025-11-25	33	11.644	FLORINA
613	2025-11-27	9	8.44	FLORINA	2025-11-26	33	11.7665	FLORINA
613	2025-11-28	9	4.74	FLORINA	2025-11-27	33	6.89981	FLORINA
613	2025-11-29	9	5.24	FLORINA	2025-11-28	33	6.69669	FLORINA
613	2025-11-30	9	5.94	FLORINA	2025-11-29	33	5.67203	FLORINA
622	2025-11-02	9	16.94	THESSALONIKI (AIRPORT)	2025-11-01	33	15.7812	THESSALONIKI (AIRPORT)
622	2025-11-03	9	16.64	THESSALONIKI (AIRPORT)	2025-11-02	33	16.7209	THESSALONIKI (AIRPORT)
622	2025-11-04	9	16.74	THESSALONIKI (AIRPORT)	2025-11-03	33	14.5024	THESSALONIKI (AIRPORT)
622	2025-11-05	9	14.94	THESSALONIKI (AIRPORT)	2025-11-04	33	14.6503	THESSALONIKI (AIRPORT)
622	2025-11-06	9	16.44	THESSALONIKI (AIRPORT)	2025-11-05	33	14.7484	THESSALONIKI (AIRPORT)
622	2025-11-07	9	17.44	THESSALONIKI (AIRPORT)	2025-11-06	33	15.3905	THESSALONIKI (AIRPORT)
622	2025-11-08	9	18.74	THESSALONIKI (AIRPORT)	2025-11-07	33	16.8656	THESSALONIKI (AIRPORT)
622	2025-11-09	9	16.74	THESSALONIKI (AIRPORT)	2025-11-08	33	17.665	THESSALONIKI (AIRPORT)
622	2025-11-10	9	16.24	THESSALONIKI (AIRPORT)	2025-11-09	33	16.7682	THESSALONIKI (AIRPORT)
622	2025-11-11	9	17.94	THESSALONIKI (AIRPORT)	2025-11-10	33	17.5124	THESSALONIKI (AIRPORT)
622	2025-11-12	9	15.94	THESSALONIKI (AIRPORT)	2025-11-11	33	15.08	THESSALONIKI (AIRPORT)
622	2025-11-13	9	13.74	THESSALONIKI (AIRPORT)	2025-11-12	33	12.9962	THESSALONIKI (AIRPORT)
622	2025-11-14	9	13.64	THESSALONIKI (AIRPORT)	2025-11-13	33	12.623	THESSALONIKI (AIRPORT)
622	2025-11-15	9	14.64	THESSALONIKI (AIRPORT)	2025-11-14	33	12.7555	THESSALONIKI (AIRPORT)
622	2025-11-16	9	13.94	THESSALONIKI (AIRPORT)	2025-11-15	33	13.0202	THESSALONIKI (AIRPORT)
622	2025-11-17	9	14.44	THESSALONIKI (AIRPORT)	2025-11-16	33	14.7157	THESSALONIKI (AIRPORT)
622	2025-11-18	9	15.74	THESSALONIKI (AIRPORT)	2025-11-17	33	18.0788	THESSALONIKI (AIRPORT)
622	2025-11-19	9	15.64	THESSALONIKI (AIRPORT)	2025-11-18	33	18.3429	THESSALONIKI (AIRPORT)
622	2025-11-20	9	15.94	THESSALONIKI (AIRPORT)	2025-11-19	33	18.5797	THESSALONIKI (AIRPORT)
622	2025-11-21	9	16.74	THESSALONIKI (AIRPORT)	2025-11-20	33	18.5668	THESSALONIKI (AIRPORT)
622	2025-11-22	9	16.44	THESSALONIKI (AIRPORT)	2025-11-21	33	19.4976	THESSALONIKI (AIRPORT)
622	2025-11-23	9	16.64	THESSALONIKI (AIRPORT)	2025-11-22	33	15.8858	THESSALONIKI (AIRPORT)
622	2025-11-24	9	13.24	THESSALONIKI (AIRPORT)	2025-11-23	33	12.0895	THESSALONIKI (AIRPORT)
622	2025-11-25	9	11.94	THESSALONIKI (AIRPORT)	2025-11-24	33	12.397	THESSALONIKI (AIRPORT)
622	2025-11-26	9	15.74	THESSALONIKI (AIRPORT)	2025-11-25	33	16.6762	THESSALONIKI (AIRPORT)
622	2025-11-27	9	16.44	THESSALONIKI (AIRPORT)	2025-11-26	33	16.1952	THESSALONIKI (AIRPORT)
622	2025-11-28	9	11.94	THESSALONIKI (AIRPORT)	2025-11-27	33	13.557	THESSALONIKI (AIRPORT)
622	2025-11-29	9	11.94	THESSALONIKI (AIRPORT)	2025-11-28	33	12.0951	THESSALONIKI (AIRPORT)
622	2025-11-30	9	11.44	THESSALONIKI (AIRPORT)	2025-11-29	33	11.4611	THESSALONIKI (AIRPORT)
624	2025-11-02	9	19.24	CHRYSOPOULI (AIRPORT)	2025-11-01	33	18.6112	CHRYSOPOULI (AIRPORT)
624	2025-11-03	9	18.64	CHRYSOPOULI (AIRPORT)	2025-11-02	33	18.5304	CHRYSOPOULI (AIRPORT)
624	2025-11-04	9	15.64	CHRYSOPOULI (AIRPORT)	2025-11-03	33	16.3041	CHRYSOPOULI (AIRPORT)
624	2025-11-05	9	15.64	CHRYSOPOULI (AIRPORT)	2025-11-04	33	15.3554	CHRYSOPOULI (AIRPORT)
624	2025-11-06	9	12.74	CHRYSOPOULI (AIRPORT)	2025-11-05	33	14.1566	CHRYSOPOULI (AIRPORT)
624	2025-11-07	9	14.64	CHRYSOPOULI (AIRPORT)	2025-11-06	33	15.6903	CHRYSOPOULI (AIRPORT)
624	2025-11-08	9	17.94	CHRYSOPOULI (AIRPORT)	2025-11-07	33	16.6801	CHRYSOPOULI (AIRPORT)
624	2025-11-09	9	19.74	CHRYSOPOULI (AIRPORT)	2025-11-08	33	17.4472	CHRYSOPOULI (AIRPORT)
624	2025-11-10	9	18.64	CHRYSOPOULI (AIRPORT)	2025-11-09	33	17.321	CHRYSOPOULI (AIRPORT)
624	2025-11-11	9	18.44	CHRYSOPOULI (AIRPORT)	2025-11-10	33	18.5212	CHRYSOPOULI (AIRPORT)
624	2025-11-12	9	15.64	CHRYSOPOULI (AIRPORT)	2025-11-11	33	16.54	CHRYSOPOULI (AIRPORT)
624	2025-11-13	9	15.74	CHRYSOPOULI (AIRPORT)	2025-11-12	33	15.9836	CHRYSOPOULI (AIRPORT)
624	2025-11-14	9	15.74	CHRYSOPOULI (AIRPORT)	2025-11-13	33	15.9482	CHRYSOPOULI (AIRPORT)
624	2025-11-15	9	15.64	CHRYSOPOULI (AIRPORT)	2025-11-14	33	15.7633	CHRYSOPOULI (AIRPORT)
624	2025-11-16	9	16.24	CHRYSOPOULI (AIRPORT)	2025-11-15	33	15.6715	CHRYSOPOULI (AIRPORT)
624	2025-11-17	9	16.64	CHRYSOPOULI (AIRPORT)	2025-11-16	33	17.0839	CHRYSOPOULI (AIRPORT)
624	2025-11-18	9	18.94	CHRYSOPOULI (AIRPORT)	2025-11-17	33	17.4303	CHRYSOPOULI (AIRPORT)
624	2025-11-19	9	19.94	CHRYSOPOULI (AIRPORT)	2025-11-18	33	18.8722	CHRYSOPOULI (AIRPORT)
