obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	icon_dates	icon_temp_table_h	icon_temp_table	icon_station_names
606	2025-11-02	15	16.74	SERRAI	2025-11-01	39	17.9635	SERRAI
606	2025-11-03	15	18.64	SERRAI	2025-11-02	39	17.6689	SERRAI
606	2025-11-04	15	13.24	SERRAI	2025-11-03	39	12.9652	SERRAI
606	2025-11-05	15	15.24	SERRAI	2025-11-04	39	13.6125	SERRAI
606	2025-11-06	15	15.74	SERRAI	2025-11-05	39	15.2885	SERRAI
606	2025-11-07	15	14.74	SERRAI	2025-11-06	39	16.3324	SERRAI
606	2025-11-08	15	15.24	SERRAI	2025-11-07	39	16.3129	SERRAI
606	2025-11-09	15	17.44	SERRAI	2025-11-08	39	17.7216	SERRAI
606	2025-11-10	15	16.24	SERRAI	2025-11-09	39	17.234	SERRAI
606	2025-11-11	15	17.24	SERRAI	2025-11-10	39	17.2777	SERRAI
606	2025-11-12	15	15.74	SERRAI	2025-11-11	39	14.5646	SERRAI
606	2025-11-13	15	13.94	SERRAI	2025-11-12	39	15.0773	SERRAI
606	2025-11-14	15	13.64	SERRAI	2025-11-13	39	14.6347	SERRAI
606	2025-11-15	15	12.74	SERRAI	2025-11-14	39	14.4491	SERRAI
606	2025-11-16	15	12.74	SERRAI	2025-11-15	39	14.4718	SERRAI
606	2025-11-17	15	13.74	SERRAI	2025-11-16	39	14.8886	SERRAI
606	2025-11-18	15	13.44	SERRAI	2025-11-17	39	15.0583	SERRAI
606	2025-11-19	15	14.14	SERRAI	2025-11-18	39	14.8337	SERRAI
606	2025-11-20	15	16.24	SERRAI	2025-11-19	39	17.9948	SERRAI
613	2025-11-02	15	16.64	FLORINA	2025-11-01	39	16.4713	FLORINA
613	2025-11-03	15	17.94	FLORINA	2025-11-02	39	16.8778	FLORINA
613	2025-11-04	15	8.94	FLORINA	2025-11-03	39	9.86368	FLORINA
613	2025-11-05	15	10.74	FLORINA	2025-11-04	39	10.132	FLORINA
613	2025-11-06	15	12.24	FLORINA	2025-11-05	39	12.7572	FLORINA
613	2025-11-07	15	13.24	FLORINA	2025-11-06	39	13.1869	FLORINA
613	2025-11-08	15	14.14	FLORINA	2025-11-07	39	14.2172	FLORINA
613	2025-11-09	15	13.64	FLORINA	2025-11-08	39	14.1601	FLORINA
613	2025-11-10	15	11.74	FLORINA	2025-11-09	39	13.8815	FLORINA
613	2025-11-11	15	12.24	FLORINA	2025-11-10	39	12.8451	FLORINA
613	2025-11-12	15	9.24	FLORINA	2025-11-11	39	12.3634	FLORINA
613	2025-11-13	15	10.74	FLORINA	2025-11-12	39	12.7843	FLORINA
613	2025-11-14	15	10.74	FLORINA	2025-11-13	39	12.9999	FLORINA
613	2025-11-15	15	9.74	FLORINA	2025-11-14	39	12.7206	FLORINA
613	2025-11-16	15	11.94	FLORINA	2025-11-15	39	13.1212	FLORINA
613	2025-11-17	15	14.94	FLORINA	2025-11-16	39	14.9882	FLORINA
613	2025-11-18	15	13.64	FLORINA	2025-11-17	39	14.8385	FLORINA
613	2025-11-19	15	10.64	FLORINA	2025-11-18	39	12.9587	FLORINA
613	2025-11-20	15	13.74	FLORINA	2025-11-19	39	15.6608	FLORINA
613	2025-11-21	15	11.64	FLORINA	2025-11-20	39	13.6623	FLORINA
613	2025-11-22	15	12.44	FLORINA	2025-11-21	39	13.382	FLORINA
613	2025-11-23	15	8.94	FLORINA	2025-11-22	39	8.50406	FLORINA
613	2025-11-24	15	8.64	FLORINA	2025-11-23	39	9.51163	FLORINA
613	2025-11-25	15	9.94	FLORINA	2025-11-24	39	9.71764	FLORINA
613	2025-11-26	15	10.94	FLORINA	2025-11-25	39	10.9547	FLORINA
613	2025-11-27	15	9.44	FLORINA	2025-11-26	39	8.6796	FLORINA
613	2025-11-28	15	4.74	FLORINA	2025-11-27	39	6.82437	FLORINA
613	2025-11-29	15	6.24	FLORINA	2025-11-28	39	7.62711	FLORINA
613	2025-11-30	15	6.24	FLORINA	2025-11-29	39	7.88468	FLORINA
622	2025-11-02	15	19.74	THESSALONIKI (AIRPORT)	2025-11-01	39	17.6628	THESSALONIKI (AIRPORT)
622	2025-11-03	15	18.94	THESSALONIKI (AIRPORT)	2025-11-02	39	17.4511	THESSALONIKI (AIRPORT)
622	2025-11-04	15	15.24	THESSALONIKI (AIRPORT)	2025-11-03	39	13.9008	THESSALONIKI (AIRPORT)
622	2025-11-05	15	15.44	THESSALONIKI (AIRPORT)	2025-11-04	39	14.9445	THESSALONIKI (AIRPORT)
622	2025-11-06	15	16.74	THESSALONIKI (AIRPORT)	2025-11-05	39	15.2983	THESSALONIKI (AIRPORT)
622	2025-11-07	15	18.44	THESSALONIKI (AIRPORT)	2025-11-06	39	16.3813	THESSALONIKI (AIRPORT)
622	2025-11-08	15	18.94	THESSALONIKI (AIRPORT)	2025-11-07	39	17.6137	THESSALONIKI (AIRPORT)
622	2025-11-09	15	18.24	THESSALONIKI (AIRPORT)	2025-11-08	39	18.0273	THESSALONIKI (AIRPORT)
